Game Hit,Hit Created At,Hit ID,ExitSpeed (KMH),Angle,Direction,SpinRate,Distance (Meters),Spin Direction,ContactPositionX (CM),ContactPositionY (CM),Left Hand Total Spin,Left Hand Spin Direction,Right Hand Total Spin,Right Hand Spin Direction,Hitter First Name,Hitter Last Name,Device Serial Number,Course
1,02-17-2026 02:39,1771295941,148.9,29,0,0,102,12:34,0,0,1106,12:34,1106,12:34,川尻,Masashi,MTD-22119CB2427,2
2,02-17-2026 02:39,1771295988,117.6,43,-34,0,78,10:54,0,0,2297,10:54,2297,10:54,川尻,Masashi,MTD-22119CB2427,8
3,02-17-2026 02:41,1771296118,118.4,11,-6,0,41,12:50,0,0,1331,12:50,1331,12:50,大越,Daichi,MTD-22119CB2427,1
4,02-17-2026 02:43,1771296195,139.8,-8,2,0,6,4:54,0,0,1902,4:54,1902,4:54,大越,Daichi,MTD-22119CB2427,5
5,02-17-2026 02:43,1771296203,125.4,6,1,0,31,2:50,0,0,1736,2:50,1736,2:50,大越,Daichi,MTD-22119CB2427,1
6,02-17-2026 02:45,1771296331,131.1,12,6,0,52,1:54,0,0,2140,1:54,2140,1:54,岩﨑遼,Akira,MTD-22119CB2427,5
7,02-17-2026 02:45,1771296354,119.9,10,18,0,38,2:22,0,0,2012,2:22,2012,2:22,岩﨑遼,Akira,MTD-22119CB2427,9
8,02-17-2026 02:48,1771296522,122.6,8,-15,0,36,8:50,0,0,2705,8:50,2705,8:50,小室,Yuuga,MTD-22119CB2427,4
9,02-17-2026 02:50,1771296615,103.4,53,-48,0,61,10:42,0,0,816,10:42,816,10:42,湯浅,Masashi,MTD-22119CB2427,8
10,02-17-2026 02:50,1771296630,123.7,-2,-29,0,9,7:34,0,0,1465,7:34,1465,7:34,湯浅,Masashi,MTD-22119CB2427,6
11,02-17-2026 02:50,1771296639,130.2,20,-20,0,70,10:38,0,0,538,10:38,538,10:38,湯浅,Masashi,MTD-22119CB2427,1
13,02-17-2026 02:51,1771296664,136.2,12,-2,0,53,1:26,0,0,2437,1:26,2437,1:26,湯浅,Masashi,MTD-22119CB2427,7
14,02-17-2026 02:51,1771296690,130.1,19,8,0,67,1:26,0,0,1859,1:26,1859,1:26,湯浅,Masashi,MTD-22119CB2427,5
15,02-17-2026 02:51,1771296699,115.1,39,-14,0,76,11:42,0,0,2616,11:42,2616,11:42,湯浅,Masashi,MTD-22119CB2427,2
16,02-17-2026 02:52,1771296774,120.2,46,22,0,80,12:58,0,0,781,12:58,781,12:58,髙橋海,Daichi,MTD-22119CB2427,5
18,02-17-2026 02:53,1771296807,135.2,-3,-6,0,7,5:40,0,0,2798,5:40,2798,5:40,髙橋海,Daichi,MTD-22119CB2427,8
19,02-17-2026 02:53,1771296833,160.7,8,-38,0,56,8:38,0,0,2030,8:38,2030,8:38,髙橋海,Daichi,MTD-22119CB2427,6
20,02-17-2026 02:54,1771296859,141.9,27,-30,0,92,10:24,0,0,604,10:24,604,10:24,髙橋海,Daichi,MTD-22119CB2427,1
21,02-17-2026 02:54,1771296869,121.5,50,17,0,79,12:46,0,0,2481,12:46,2481,12:46,髙橋海,Daichi,MTD-22119CB2427,6
22,02-17-2026 02:54,1771296886,131.5,38,-5,0,91,12:10,0,0,1217,12:10,1217,12:10,髙橋海,Daichi,MTD-22119CB2427,1
23,02-17-2026 02:55,1771296904,147.2,16,-9,0,73,11:52,0,0,2736,11:52,2736,11:52,髙橋海,Daichi,MTD-22119CB2427,1
24,02-17-2026 02:55,1771296912,146.2,26,-19,0,94,11:06,0,0,2280,11:06,2280,11:06,髙橋海,Daichi,MTD-22119CB2427,5
25,02-17-2026 02:56,1771296990,132.6,49,0,0,88,12:18,0,0,1734,12:18,1734,12:18,細谷,Akira,MTD-22119CB2427,1
26,02-17-2026 02:56,1771296999,132.7,30,38,0,87,1:40,0,0,593,1:40,593,1:40,細谷,Akira,MTD-22119CB2427,2
27,02-17-2026 02:56,1771297009,137.8,24,0,0,83,12:40,0,0,1892,12:40,1892,12:40,細谷,Akira,MTD-22119CB2427,1
28,02-17-2026 02:57,1771297028,141.8,10,-1,0,52,1:50,0,0,1438,1:50,1438,1:50,細谷,Akira,MTD-22119CB2427,1
29,02-17-2026 02:57,1771297048,147.2,19,11,0,82,1:32,0,0,2923,1:32,2923,1:32,細谷,Akira,MTD-22119CB2427,4
30,02-17-2026 02:58,1771297095,132.7,1,17,0,18,3:10,0,0,2828,3:10,2828,3:10,中村俊,Yuuga,MTD-22119CB2427,5
31,02-17-2026 02:58,1771297113,135.5,18,17,0,70,1:48,0,0,538,1:48,538,1:48,中村俊,Yuuga,MTD-22119CB2427,5
32,02-17-2026 02:58,1771297131,147.8,6,-7,0,42,4:10,0,0,1291,4:10,1291,4:10,中村俊,Yuuga,MTD-22119CB2427,4
33,02-17-2026 02:59,1771297184,146.1,-3,14,0,7,3:44,0,0,2359,3:44,2359,3:44,中村俊,Yuuga,MTD-22119CB2427,4
34,02-17-2026 03:02,1771297347,126.2,41,22,0,85,1:04,0,0,2721,1:04,2721,1:04,永田,Masashi,MTD-22119CB2427,5
35,02-17-2026 03:03,1771297394,124.5,26,7,0,74,1:02,0,0,1613,1:02,1613,1:02,永田,Masashi,MTD-22119CB2427,3
36,02-17-2026 03:03,1771297402,146.7,15,-31,0,70,9:22,0,0,2810,9:22,2810,9:22,永田,Masashi,MTD-22119CB2427,1
37,02-17-2026 03:03,1771297410,144.2,7,-5,0,42,2:34,0,0,1495,2:34,1495,2:34,永田,Masashi,MTD-22119CB2427,8
38,02-17-2026 03:04,1771297481,134.5,19,3,0,70,1:12,0,0,623,1:12,623,1:12,黒須,Daichi,MTD-22119CB2427,5
39,02-17-2026 03:05,1771297523,143.8,12,13,0,59,2:10,0,0,1805,2:10,1805,2:10,黒須,Daichi,MTD-22119CB2427,2
40,02-17-2026 03:05,1771297539,127,24,18,0,75,1:28,0,0,2015,1:28,2015,1:28,黒須,Daichi,MTD-22119CB2427,2
41,02-17-2026 03:05,1771297556,126.3,0,-1,0,14,4:36,0,0,2787,4:36,2787,4:36,黒須,Daichi,MTD-22119CB2427,5
42,02-17-2026 03:06,1771297583,127.3,40,11,0,87,12:46,0,0,1136,12:46,1136,12:46,黒須,Daichi,MTD-22119CB2427,2
43,02-17-2026 03:06,1771297600,131.4,14,-9,0,55,11:56,0,0,746,11:56,746,11:56,黒須,Daichi,MTD-22119CB2427,7
44,02-17-2026 03:07,1771297639,131.5,7,0,0,36,2:38,0,0,687,2:38,687,2:38,坂口,Akira,MTD-22119CB2427,8
45,02-17-2026 03:07,1771297647,128.9,16,-2,0,60,12:56,0,0,2062,12:56,2062,12:56,坂口,Akira,MTD-22119CB2427,5
46,02-17-2026 03:07,1771297672,100.2,9,-41,0,28,8:40,0,0,1858,8:40,1858,8:40,坂口,Akira,MTD-22119CB2427,9
47,02-17-2026 03:08,1771297698,120.8,22,-2,0,65,12:36,0,0,731,12:36,731,12:36,坂口,Akira,MTD-22119CB2427,1
48,02-17-2026 03:08,1771297715,132,14,-9,0,58,11:58,0,0,1614,11:58,1614,11:58,坂口,Akira,MTD-22119CB2427,2
49,02-17-2026 03:08,1771297723,138.5,2,-15,0,22,7:18,0,0,1930,7:18,1930,7:18,坂口,Akira,MTD-22119CB2427,5
50,02-17-2026 03:09,1771297767,127.6,35,-19,0,86,11:24,0,0,1672,11:24,1672,11:24,坂口,Akira,MTD-22119CB2427,2
51,02-17-2026 03:09,1771297775,125.4,12,-10,0,48,11:30,0,0,2198,11:30,2198,11:30,坂口,Akira,MTD-22119CB2427,5
52,02-17-2026 03:10,1771297816,139.1,10,-9,0,49,11:56,0,0,2127,11:56,2127,11:56,金子,Yuuga,MTD-22119CB2427,3
53,02-17-2026 03:11,1771297876,136.6,19,-17,0,73,10:54,0,0,1048,10:54,1048,10:54,金子,Yuuga,MTD-22119CB2427,1
54,02-17-2026 03:14,1771298094,132.6,0,1,0,14,4:24,0,0,1120,4:24,1120,4:24,岡西,Masashi,MTD-22119CB2427,3
55,02-17-2026 03:15,1771298102,137.3,-6,-4,0,6,5:30,0,0,1342,5:30,1342,5:30,岡西,Masashi,MTD-22119CB2427,1
56,02-17-2026 03:15,1771298117,128.7,18,13,0,64,1:40,0,0,2855,1:40,2855,1:40,岡西,Masashi,MTD-22119CB2427,6
57,02-17-2026 03:16,1771298174,117.6,17,12,0,53,1:44,0,0,2957,1:44,2957,1:44,岡西,Masashi,MTD-22119CB2427,5
