Game Pitch,Pitch Created At,PitchID,Pitch Type,Is Strike,PlateLocSide (CM),PlateLocHeight (CM),RelSpeed (KMH),SpinRate,TrueSpinRelease,Spin Efficiency,Spin Direction,InducedVertBreak (CM),HorzBreak (CM),HorzRelAngle,VertRelAngle,RelHeight (Meters),RelSide (Meters),Gyro Degree (deg),Right Hand Spin Direction,Right Hand Total Spin,Left Hand Spin Direction,Left Hand Total Spin,IntentType,Pitcher First Name,Pitcher Last Name,Device Serial Number,Latitude,Longitude,VerticalSSWBreak (Meters),HorizontalSSWBreak (Meters),Flagged
166,02-18-2026 04:22:51,1771388571,FB,Y,16,79,133.3,2065,1951,94,11:12,58.8,-33.0,-3.6,-1.2,1.5,-0.5,-19,0:0,0.00000,0:0,0.00000,high_intent,宮城,左a,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
165,02-18-2026 04:22:06,1771388526,SP,Y,-10,48,124.5,1397,1373,98,10:18,15.7,-39.7,-3.0,-0.3,1.5,-0.6,-10,0:0,0.00000,0:0,0.00000,high_intent,宮城,左a,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
164,02-18-2026 04:21:34,1771388494,SP,Y,2,63,124.8,1471,1431,97,10:36,36.0,-34.7,-3.5,-0.5,1.5,-0.6,-13,0:0,0.00000,0:0,0.00000,high_intent,宮城,左a,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
163,02-18-2026 04:20:49,1771388449,FB,Y,-9,77,139.3,2242,2157,96,10:44,33.8,-44.4,-3.2,-0.7,1.6,-0.5,-15,0:0,0.00000,0:0,0.00000,high_intent,宮城,左a,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
162,02-18-2026 04:20:09,1771388409,FB,N,16,147,138.0,1939,1834,94,12:56,49.4,1.4,-2.5,1.3,1.6,-0.5,-18,0:0,0.00000,0:0,0.00000,high_intent,宮城,左a,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
161,02-18-2026 04:19:41,1771388381,SL,Y,10,70,116.0,2186,1171,53,4:56,-21.8,34.9,-1.2,2.5,1.5,-0.6,-57,0:0,0.00000,0:0,0.00000,high_intent,宮城,左a,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
160,02-18-2026 04:18:23,1771388303,2S,N,-17,25,134.4,1833,1832,99,10:30,41.7,-36.7,-2.6,-2.5,1.5,-0.5,-2,0:0,0.00000,0:0,0.00000,high_intent,宮城,左a,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
159,02-18-2026 04:18:02,1771388282,FB,Y,-24,76,138.2,2139,2072,96,11:6,44.5,-32.4,-2.2,-1.1,1.6,-0.5,-14,0:0,0.00000,0:0,0.00000,high_intent,宮城,左a,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
158,02-18-2026 04:17:25,1771388245,CT,Y,22,49,125.7,0,0,0,12:0,8.4,7.9,-2.5,0.1,1.5,-0.6,0,0:0,0.00000,0:0,0.00000,high_intent,宮城,左a,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
157,02-18-2026 04:16:56,1771388216,FB,Y,20,57,137.0,2113,1982,93,11:12,49.5,-27.1,-3.5,-1.9,1.6,-0.5,-20,0:0,0.00000,0:0,0.00000,high_intent,宮城,左a,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
