PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,TaggedHitType,RelSpeed,
1,2026/2/20,1,1,香西,Left,1,Right,0,0,0,Slider,BallCalled,,,121,
2,2026/2/20,1,2,香西,Left,1,Right,0,1,0,Fastball,InPlay,Out,FlyBall,129,
3,2026/2/20,2,1,香西,Left,2,Left,1,0,0,Fastball,StrikeCalled,,,130,
4,2026/2/20,2,2,香西,Left,2,Left,1,0,1,Fastball,BallCalled,,,135,
5,2026/2/20,2,3,香西,Left,2,Left,1,1,1,Curveball,InPlay,Out,GroundBall,106,
6,2026/2/20,3,1,香西,Left,3,Right,2,0,0,Fastball,StrikeCalled,,,135,
7,2026/2/20,3,2,香西,Left,3,Right,2,0,1,Cutter,StrikeCalled,,,127,
8,2026/2/20,3,3,香西,Left,3,Right,2,0,2,Slider,FoulBallFieldable,,,,
9,2026/2/20,3,4,香西,Left,3,Right,2,0,2,Fastball,BallCalled,,,137,
10,2026/2/20,3,5,香西,Left,3,Right,2,1,2,Fastball,BallCalled,,,135,
11,2026/2/20,3,6,香西,Left,3,Right,2,2,2,Fastball,InPlay,Out,GroundBall,134,
12,2026/2/20,1,1,香西,Left,4,Left,0,0,0,Cutter,BallCalled,,,126,
13,2026/2/20,1,2,香西,Left,4,Left,0,1,0,Fastball,FoulBallFieldable,,,135,
14,2026/2/20,1,3,香西,Left,4,Left,0,1,1,Curveball,BallCalled,,,117,
15,2026/2/20,1,4,香西,Left,4,Left,0,2,1,Cutter,StrikeSwinging,,,122,
16,2026/2/20,1,5,香西,Left,4,Left,0,2,2,Fastball,InPlay,Out,FlyBall,135,
17,2026/2/20,2,1,香西,Left,5,Right,1,0,0,Fastball,StrikeCalled,,,135,
18,2026/2/20,2,2,香西,Left,5,Right,1,0,1,Fastball,BallCalled,,,132,
19,2026/2/20,2,3,香西,Left,5,Right,1,1,1,ChangeUp,InPlay,Out,FlyBall,118,
20,2026/2/20,3,1,香西,Left,6,Left,2,0,0,Fastball,BallCalled,,,137,
21,2026/2/20,3,2,香西,Left,6,Left,2,1,0,Fastball,FoulBallFieldable,,,136,
22,2026/2/20,3,3,香西,Left,6,Left,2,1,1,Fastball,BallCalled,,,136,
23,2026/2/20,3,4,香西,Left,6,Left,2,2,1,Fastball,InPlay,Out,GroundBall,135,
24,2026/2/20,1,1,香西,Left,7,Left,0,0,0,Curveball,StrikeCalled,,,106,
25,2026/2/20,1,2,香西,Left,7,Left,0,0,1,Splitter,BallCalled,,,116,
26,2026/2/20,1,3,香西,Left,7,Left,0,1,1,Curveball,BallCalled,,,110,
27,2026/2/20,1,4,香西,Left,7,Left,0,2,1,Fastball,BallCalled,,,135,
28,2026/2/20,1,5,香西,Left,7,Left,0,3,1,Fastball,InPlay,Out,FlyBall,134,
29,2026/2/20,2,1,香西,Left,8,Left,1,0,0,Slider,StrikeCalled,,,114,
30,2026/2/20,2,2,香西,Left,8,Left,1,0,1,Fastball,BallCalled,,,135,
31,2026/2/20,2,3,香西,Left,8,Left,1,1,1,Fastball,BallCalled,,,134,
32,2026/2/20,2,4,香西,Left,8,Left,1,2,1,Fastball,StrikeCalled,,,137,
33,2026/2/20,2,5,香西,Left,8,Left,1,2,2,Fastball,InPlay,Single,GroundBall,136,
34,2026/2/20,3,1,香西,Left,9,Left,1,0,0,Cutter,StrikeCalled,,,126,
35,2026/2/20,3,2,香西,Left,9,Left,1,0,1,Cutter,InPlay,Out,GroundBall,126,
36,2026/2/20,4,1,香西,Left,1,Right,2,0,0,Curveball,BallCalled,,,112,
37,2026/2/20,4,2,香西,Left,1,Right,2,1,0,Fastball,FoulBallFieldable,,,134,
38,2026/2/20,4,3,香西,Left,1,Right,2,1,1,Splitter,BallCalled,,,,盗塁死
1,2026/2/20,1,4,宮城,Left,1,Right,0,0,0,Cutter,StrikeCalled,,,125,
2,2026/2/20,1,5,宮城,Left,1,Right,0,0,1,Slider,BallCalled,HitByPitch,,,
3,2026/2/20,2,1,宮城,Left,2,Left,0,0,0,Fastball,StrikeCalled,,,139,
4,2026/2/20,2,2,宮城,Left,2,Left,0,0,1,Fastball,InPlay,Out,GroundBall,138,
5,2026/2/20,3,1,宮城,Left,3,Right,2,0,0,Fastball,InPlay,Out,GroundBall,138,
