PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,RelSpeed,Runner
1,2026/2/4,1,1,宮城,Left,"Mito, Souta",Left,0,0,0,Fastball,StrikeCalled,,137,
2,2026/2/4,1,2,宮城,Left,"Mito, Souta",Left,0,0,1,Fastball,InPlay,Out,137,
3,2026/2/4,2,1,宮城,Left,"Yamane, Juntaro",Right,1,0,0,Splitter,BallCalled,,131,
4,2026/2/4,2,2,宮城,Left,"Yamane, Juntaro",Right,1,1,0,Cutter,BallCalled,,127,
5,2026/2/4,2,3,宮城,Left,"Yamane, Juntaro",Right,1,2,0,Fastball,FoulBallFieldable,,137,
6,2026/2/4,2,4,宮城,Left,"Yamane, Juntaro",Right,1,2,1,Cutter,BallCalled,,129,
7,2026/2/4,2,5,宮城,Left,"Yamane, Juntaro",Right,1,3,1,Fastball,InPlay,Single,,
8,2026/2/4,3,1,宮城,Left,"Okanishi, Yuya",Left,1,0,0,Fastball,BallCalled,,136,1
9,2026/2/4,3,2,宮城,Left,"Okanishi, Yuya",Left,1,1,0,Fastball,InPlay,Single,137,1
10,2026/2/4,4,1,宮城,Left,"Terao, Kensei",Right,1,0,0,Cutter,StrikeCalled,,129,1.2
11,2026/2/4,4,2,宮城,Left,"Terao, Kensei",Right,1,0,1,Splitter,BallCalled,,132,1.2
12,2026/2/4,4,3,宮城,Left,"Terao, Kensei",Right,1,1,1,Splitter,BallCalled,,132,1.2
13,2026/2/4,4,4,宮城,Left,"Terao, Kensei",Right,1,2,1,Fastball,StrikeCalled,,134,1.2
14,2026/2/4,4,5,宮城,Left,"Terao, Kensei",Right,1,2,2,ChangeUp,FoulBallFieldable,,128,1.2
15,2026/2/4,4,6,宮城,Left,"Terao, Kensei",Right,1,2,2,Splitter,FoulBallFieldable,,131,1.2
16,2026/2/4,4,7,宮城,Left,"Terao, Kensei",Right,1,2,2,Fastball,InPlay,Double,137,1.2
17,2026/2/4,5,1,宮城,Left,"Okoshi, Rui",Right,1,0,0,Splitter,BallCalled,,131,2.3
18,2026/2/4,5,2,宮城,Left,"Okoshi, Rui",Right,1,1,0,Cutter,StrikeCalled,,127,2.3
19,2026/2/4,5,3,宮城,Left,"Okoshi, Rui",Right,1,1,1,Cutter,FoulBallFieldable,,128,2.3
20,2026/2/4,5,4,宮城,Left,"Okoshi, Rui",Right,1,1,2,Fastball,BallCalled,,134,2.3
21,2026/2/4,5,5,宮城,Left,"Okoshi, Rui",Right,1,2,2,Cutter,InPlay,Out,128,2.3
22,2026/2/4,6,1,宮城,Left,"Takahashi, Hiroto",Right,2,0,0,Fastball,InPlay,Out,134,2.3
23,2026/2/4,1,1,宮城,Left,"Tokumaru, Kaisei",Left,0,0,0,Cutter,StrikeCalled,,128,
24,2026/2/4,1,2,宮城,Left,"Tokumaru, Kaisei",Left,0,0,1,Splitter,BallCalled,,131,
25,2026/2/4,1,3,宮城,Left,"Tokumaru, Kaisei",Left,0,1,1,Cutter,StrikeCalled,,127,
26,2026/2/4,1,4,宮城,Left,"Tokumaru, Kaisei",Left,0,1,2,Fastball,FoulBallFieldable,,137,
27,2026/2/4,1,5,宮城,Left,"Tokumaru, Kaisei",Left,0,1,2,Slider,InPlay,Out,127,
28,2026/2/4,2,1,宮城,Left,"Izakura, Yuto",Left,1,0,0,Cutter,InPlay,Out,125,
29,2026/2/4,3,1,宮城,Left,"Yuasa, Ousuke",Right,2,0,0,Fastball,BallCalled,,135,
30,2026/2/4,3,2,宮城,Left,"Yuasa, Ousuke",Right,2,1,0,Fastball,StrikeCalled,,134,
