PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/3/23,1,1,安田,Right,1,Left,0,0,0,Curveball,BallCalled,,,
2,2026/3/23,1,2,安田,Right,1,Left,0,1,0,Fastball,StrikeSwinging,,,
3,2026/3/23,1,3,安田,Right,1,Left,0,1,1,Fastball,FoulBallFieldable,,,
4,2026/3/23,1,4,安田,Right,1,Left,0,1,2,TwoSeamFastball,BallCalled,,,
5,2026/3/23,1,5,安田,Right,1,Left,0,2,2,Cutter,StrikeSwinging,,Strikeout,
6,2026/3/23,2,1,安田,Right,2,Left,1,0,0,Fastball,BallCalled,,,
7,2026/3/23,2,2,安田,Right,2,Left,1,1,0,Fastball,StrikeSwinging,,,
8,2026/3/23,2,3,安田,Right,2,Left,1,1,1,TwoSeamFastball,StrikeCalled,,,
9,2026/3/23,2,4,安田,Right,2,Left,1,1,2,TwoSeamFastball,FoulBallFieldable,,,
10,2026/3/23,2,5,安田,Right,2,Left,1,1,2,Curveball,BallCalled,,,
11,2026/3/23,2,6,安田,Right,2,Left,1,2,2,Fastball,BallCalled,,,
12,2026/3/23,2,7,安田,Right,2,Left,1,3,2,TwoSeamFastball,StrikeSwinging,,Strikeout,
13,2026/3/23,3,1,安田,Right,3,Left,2,0,0,ChangeUp,StrikeCalled,,,
14,2026/3/23,3,2,安田,Right,3,Left,2,0,1,Slider,StrikeSwinging,,,
15,2026/3/23,3,3,安田,Right,3,Left,2,0,2,Fastball,BallCalled,,,
16,2026/3/23,3,4,安田,Right,3,Left,2,1,2,ChangeUp,BallCalled,,,
17,2026/3/23,3,5,安田,Right,3,Left,2,2,2,Fastball,FoulBallFieldable,,,
18,2026/3/23,3,6,安田,Right,3,Left,2,2,2,TwoSeamFastball,BallCalled,,,
19,2026/3/23,3,7,安田,Right,3,Left,2,3,2,TwoSeamFastball,StrikeSwinging,,Strikeout,
20,2026/3/23,1,1,安田,Right,4,Left,0,0,0,TwoSeamFastball,FoulBallFieldable,,,
21,2026/3/23,1,2,安田,Right,4,Left,0,0,1,ChangeUp,InPlay,,Out,GroundBall
22,2026/3/23,2,1,安田,Right,5,Right,1,0,0,Fastball,BallCalled,,,
23,2026/3/23,2,2,安田,Right,5,Right,1,1,0,Fastball,BallCalled,,,
24,2026/3/23,2,3,安田,Right,5,Right,1,2,0,Fastball,FoulBallFieldable,,,
25,2026/3/23,2,4,安田,Right,5,Right,1,2,1,TwoSeamFastball,BallCalled,,,
26,2026/3/23,2,5,安田,Right,5,Right,1,3,1,TwoSeamFastball,InPlay,,Out,FlyBall
27,2026/3/23,3,1,安田,Right,6,Right,2,0,0,Fastball,BallCalled,,,
