PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/3/27,1,1,髙橋煌,Right,1,Right,0,0,0,Cutter,BallCalled,135,,
2,2026/3/27,1,2,髙橋煌,Right,1,Right,0,0,0,Cutter,StrikeCalled,131,,
3,2026/3/27,1,3,髙橋煌,Right,1,Right,0,0,0,Fastball,FoulBallFieldable,148,,
4,2026/3/27,1,4,髙橋煌,Right,1,Right,0,0,0,Fastball,FoulBallFieldable,152,,
5,2026/3/27,1,5,髙橋煌,Right,1,Right,0,0,0,Cutter,FoulBallFieldable,131,,
6,2026/3/27,1,6,髙橋煌,Right,1,Right,0,0,0,Splitter,InPlay,136,Out,FlyBall
7,2026/3/27,2,1,髙橋煌,Right,2,Left,0,0,0,Fastball,StrikeCalled,148,,
8,2026/3/27,2,2,髙橋煌,Right,2,Left,0,0,0,Splitter,StrikeCalled,131,,
9,2026/3/27,2,3,髙橋煌,Right,2,Left,0,0,0,Fastball,InPlay,149,Out,FlyBall
10,2026/3/27,3,1,髙橋煌,Right,3,Right,0,0,0,Fastball,StrikeCalled,150,,
11,2026/3/27,3,2,髙橋煌,Right,3,Right,0,0,0,Fastball,InPlay,150,Out,GroundBall
12,2026/3/27,4,1,髙橋煌,Right,4,Right,0,0,0,Fastball,StrikeCalled,146,,
13,2026/3/27,4,2,髙橋煌,Right,4,Right,0,0,0,Cutter,StrikeCalled,136,,
14,2026/3/27,4,3,髙橋煌,Right,4,Right,0,0,0,Fastball,BallCalled,151,,
15,2026/3/27,4,4,髙橋煌,Right,4,Right,0,0,0,Cutter,FoulBallFieldable,133,,
16,2026/3/27,4,5,髙橋煌,Right,4,Right,0,0,0,Cutter,FoulBallFieldable,134,,
17,2026/3/27,4,6,髙橋煌,Right,4,Right,0,0,0,Fastball,BallCalled,151,,
18,2026/3/27,4,7,髙橋煌,Right,4,Right,0,0,0,Fastball,BallCalled,149,,
19,2026/3/27,4,8,髙橋煌,Right,4,Right,0,0,0,Fastball,BallCalled,149,Walk,
20,2026/3/27,5,1,髙橋煌,Right,5,Left,0,0,0,Fastball,FoulBallFieldable,149,,
21,2026/3/27,5,2,髙橋煌,Right,5,Left,0,0,0,Fastball,StrikeCalled,146,,
22,2026/3/27,5,3,髙橋煌,Right,5,Left,0,0,0,Fastball,BallCalled,150,,
23,2026/3/27,5,4,髙橋煌,Right,5,Left,0,0,0,Splitter,BallCalled,135,,
24,2026/3/27,5,5,髙橋煌,Right,5,Left,0,0,0,Fastball,FoulBallFieldable,148,,
25,2026/3/27,5,6,髙橋煌,Right,5,Left,0,0,0,Cutter,StrikeCalled,134,Strikeout,
26,2026/3/27,6,1,髙橋煌,Right,6,Right,0,0,0,Fastball,StrikeCalled,148,,
27,2026/3/27,6,2,髙橋煌,Right,6,Right,0,0,0,Fastball,BallCalled,148,,
28,2026/3/27,6,3,髙橋煌,Right,6,Right,0,0,0,Fastball,BallCalled,147,,
29,2026/3/27,6,4,髙橋煌,Right,6,Right,0,0,0,Splitter,BallCalled,136,,
30,2026/3/27,6,5,髙橋煌,Right,6,Right,0,0,0,Cutter,BallCalled,133,Walk,
31,2026/3/27,7,1,髙橋煌,Right,7,Right,1,0,0,Cutter,InPlay,135,Out,GroundBall
32,2026/3/27,8,1,髙橋煌,Right,8,Right,2,0,0,Cutter,StrikeCalled,134,,
33,2026/3/27,8,2,髙橋煌,Right,8,Right,2,0,1,Cutter,BallCalled,139,,
34,2026/3/27,8,3,髙橋煌,Right,8,Right,2,1,1,Slider,InPlay,126,Single,GroundBall
35,2026/3/27,9,1,髙橋煌,Right,9,Left,2,0,0,Fastball,BallCalled,143,,
36,2026/3/27,9,2,髙橋煌,Right,9,Left,2,1,0,Cutter,BallCalled,137,,
37,2026/3/27,9,3,髙橋煌,Right,9,Left,2,2,0,Fastball,BallCalled,140,,
38,2026/3/27,9,4,髙橋煌,Right,9,Left,2,3,0,Fastball,BallCalled,139,Walk,
39,2026/3/27,1,1,髙橋煌,Right,1,Right,2,0,0,Cutter,BallCalled,136,,
40,2026/3/27,1,2,髙橋煌,Right,1,Right,2,1,0,Cutter,InPlay,132,Sacrifice,Bunt
41,2026/3/27,1,1,髙橋煌,Right,2,Left,0,0,0,Cutter,StrikeCalled,133,,
42,2026/3/27,1,2,髙橋煌,Right,2,Left,0,0,1,Splitter,StrikeSwinging,137,,
