PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/3/28,1,1,齋藤士,Right,1,Left,0,0,0,Slider,BallCalled,,,
2,2026/3/28,1,2,齋藤士,Right,1,Left,0,1,0,Fastball,BallCalled,,,
3,2026/3/28,1,3,齋藤士,Right,1,Left,0,2,0,Fastball,InPlay,,Out,FlyBall
4,2026/3/28,2,1,齋藤士,Right,2,Left,1,0,0,Splitter,FoulBallFieldable,,,
5,2026/3/28,2,2,齋藤士,Right,2,Left,1,0,1,Slider,BallCalled,,,
6,2026/3/28,2,3,齋藤士,Right,2,Left,1,1,1,Fastball,FoulBallFieldable,,,
7,2026/3/28,2,4,齋藤士,Right,2,Left,1,1,2,Splitter,StrikeSwinging,,Strikeout,
8,2026/3/28,3,1,齋藤士,Right,3,Right,2,0,0,Slider,StrikeCalled,,,
9,2026/3/28,3,2,齋藤士,Right,3,Right,2,0,1,Fastball,BallCalled,,,
10,2026/3/28,3,3,齋藤士,Right,3,Right,2,1,1,Fastball,FoulBallFieldable,,,
11,2026/3/28,3,4,齋藤士,Right,3,Right,2,1,2,Fastball,FoulBallFieldable,,,
12,2026/3/28,3,5,齋藤士,Right,3,Right,2,1,2,Slider,BallCalled,,,
13,2026/3/28,3,6,齋藤士,Right,3,Right,2,2,2,Fastball,StrikeSwinging,,Strikeout,
14,2026/3/28,1,1,齋藤士,Right,4,Right,0,0,0,Fastball,StrikeCalled,,,
15,2026/3/28,1,2,齋藤士,Right,4,Right,0,0,1,Cutter,StrikeSwinging,,,
16,2026/3/28,1,3,齋藤士,Right,4,Right,0,0,2,Splitter,FoulBallFieldable,,,
17,2026/3/28,1,4,齋藤士,Right,4,Right,0,0,2,Splitter,InPlay,,Single,GroundBall
18,2026/3/28,2,1,齋藤士,Right,5,Right,0,0,0,Splitter,StrikeCalled,,,
19,2026/3/28,2,2,齋藤士,Right,5,Right,0,0,1,Cutter,BallCalled,,,
20,2026/3/28,2,3,齋藤士,Right,5,Right,0,1,1,Cutter,FoulBallFieldable,,,
21,2026/3/28,2,4,齋藤士,Right,5,Right,0,1,2,Splitter,BallCalled,,,
22,2026/3/28,2,5,齋藤士,Right,5,Right,0,2,2,Slider,BallCalled,,,
23,2026/3/28,2,6,齋藤士,Right,5,Right,0,3,2,Fastball,InPlay,,Out,FlyBall
24,2026/3/28,3,1,齋藤士,Right,6,Left,1,0,0,Fastball,BallCalled,,,
25,2026/3/28,3,2,齋藤士,Right,6,Left,1,1,0,Fastball,BallCalled,,,
26,2026/3/28,3,3,齋藤士,Right,6,Left,1,2,0,Fastball,StrikeCalled,,,
27,2026/3/28,3,4,齋藤士,Right,6,Left,1,2,1,Splitter,StrikeSwinging,,,
28,2026/3/28,3,5,齋藤士,Right,6,Left,1,2,2,Splitter,StrikeSwinging,,Strikeout,
29,2026/3/28,4,1,齋藤士,Right,7,Left,2,0,0,Cutter,InPlay,,Out,GroundBall
30,2026/3/28,1,1,齋藤士,Right,8,Right,0,0,0,Fastball,InPlay,,Out,GroundBall
31,2026/3/28,2,1,齋藤士,Right,9,Right,1,0,0,Fastball,StrikeCalled,,,
32,2026/3/28,2,2,齋藤士,Right,9,Right,1,0,1,Cutter,StrikeCalled,,,
