PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/4/1,1,1,越井,Right,1,Right,0,0,0,Slider,BallCalled,123,,
2,2026/4/1,1,2,越井,Right,1,Right,0,1,0,Slider,BallCalled,122,,
3,2026/4/1,1,3,越井,Right,1,Right,0,2,0,Fastball,BallCalled,134,,
4,2026/4/1,1,4,越井,Right,1,Right,0,3,0,Fastball,StrikeCalled,136,,
5,2026/4/1,1,5,越井,Right,1,Right,0,3,1,Cutter,InPlay,136,Out,GroundBall
6,2026/4/1,2,1,越井,Right,2,Left,1,0,0,Fastball,BallCalled,141,,
7,2026/4/1,2,2,越井,Right,2,Left,1,1,0,Fastball,BallCalled,139,,
8,2026/4/1,2,3,越井,Right,2,Left,1,2,0,Fastball,InPlay,137,Out,GroundBall
9,2026/4/1,3,1,越井,Right,3,Left,2,0,0,Fastball,BallCalled,140,,
10,2026/4/1,3,2,越井,Right,3,Left,2,1,0,Fastball,BallCalled,139,,
11,2026/4/1,3,3,越井,Right,3,Left,2,2,0,Fastball,FoulBallFieldable,140,,
12,2026/4/1,3,4,越井,Right,3,Left,2,2,1,Fastball,BallCalled,139,,
13,2026/4/1,3,5,越井,Right,3,Left,2,3,1,Fastball,FoulBallFieldable,138,,
14,2026/4/1,3,6,越井,Right,3,Left,2,3,2,Fastball,FoulBallFieldable,141,,
15,2026/4/1,3,7,越井,Right,3,Left,2,3,2,Fastball,InPlay,141,Single,GroundBall
16,2026/4/1,4,1,越井,Right,4,Right,2,0,0,Slider,BallCalled,131,,
17,2026/4/1,4,2,越井,Right,4,Right,2,1,0,Slider,StrikeCalled,131,,
18,2026/4/1,4,3,越井,Right,4,Right,2,1,1,Slider,StrikeCalled,131,Double,FlyBall
19,2026/4/1,5,1,越井,Right,5,Right,2,0,0,Fastball,StrikeCalled,140,,
20,2026/4/1,5,2,越井,Right,5,Right,2,0,1,Fastball,BallCalled,140,,
21,2026/4/1,5,3,越井,Right,5,Right,2,1,1,Fastball,FoulBallFieldable,139,,
22,2026/4/1,5,4,越井,Right,5,Right,2,1,2,Curveball,InPlay,125,Triple,FlyBall
23,2026/4/1,6,1,越井,Right,6,Right,2,0,0,Fastball,BallCalled,134,,
24,2026/4/1,6,2,越井,Right,6,Right,2,1,0,Slider,BallCalled,132,,
25,2026/4/1,6,3,越井,Right,6,Right,2,2,0,Fastball,InPlay,136,Out,GroundBall
26,2026/4/1,1,1,越井,Right,7,Left,0,0,0,Slider,FoulBallFieldable,127,,
27,2026/4/1,1,2,越井,Right,7,Left,0,0,1,Splitter,BallCalled,127,,
28,2026/4/1,1,3,越井,Right,7,Left,0,1,1,Fastball,FoulBallFieldable,141,,
29,2026/4/1,1,4,越井,Right,7,Left,0,1,2,Fastball,BallCalled,143,,
30,2026/4/1,1,5,越井,Right,7,Left,0,2,2,Fastball,FoulBallFieldable,142,,
31,2026/4/1,1,6,越井,Right,7,Left,0,2,2,Fastball,BallCalled,141,,
32,2026/4/1,1,7,越井,Right,7,Left,0,3,2,Fastball,BallCalled,141,Walk,
33,2026/4/1,2,1,越井,Right,8,Right,0,0,0,Cutter,FoulBallFieldable,130,,
34,2026/4/1,2,2,越井,Right,8,Right,0,0,1,Cutter,FoulBallFieldable,133,,
35,2026/4/1,2,3,越井,Right,8,Right,0,0,2,Fastball,BallCalled,138,,
36,2026/4/1,2,4,越井,Right,8,Right,0,1,2,Curveball,StrikeSwinging,122,Strikeout,
37,2026/4/1,3,1,越井,Right,9,Right,2,0,0,Fastball,BallCalled,142,,
38,2026/4/1,3,2,越井,Right,9,Right,2,1,0,Fastball,BallCalled,142,,
39,2026/4/1,3,3,越井,Right,9,Right,2,2,0,Fastball,BallCalled,138,HitByPitch,
40,2026/4/1,4,1,越井,Right,1,Right,2,0,0,Fastball,BallCalled,137,,
41,2026/4/1,4,2,越井,Right,1,Right,2,1,0,Fastball,InPlay,138,Single,
42,2026/4/1,5,1,越井,Right,2,Left,2,0,0,Fastball,StrikeCalled,140,,
43,2026/4/1,5,2,越井,Right,2,Left,2,0,1,Fastball,StrikeCalled,140,Out,
44,2026/4/1,1,3,越井,Right,2,Left,0,0,0,Fastball,StrikeSwinging,137,,
45,2026/4/1,1,4,越井,Right,2,Left,0,0,1,Fastball,InPlay,137,Out,GroundBall
46,2026/4/1,2,1,越井,Right,3,Left,1,0,0,Slider,InPlay,127,Out,FlyBall
47,2026/4/1,3,1,越井,Right,4,Right,2,0,0,Fastball,BallCalled,138,,
48,2026/4/1,3,2,越井,Right,4,Right,2,1,0,Cutter,FoulBallFieldable,132,,
49,2026/4/1,3,3,越井,Right,4,Right,2,1,1,Slider,BallCalled,130,,
50,2026/4/1,3,4,越井,Right,4,Right,2,2,1,Slider,StrikeSwinging,122,,
51,2026/4/1,3,5,越井,Right,4,Right,2,2,2,Fastball,BallCalled,140,,
52,2026/4/1,3,6,越井,Right,4,Right,2,3,2,Slider,FoulBallFieldable,127,,
53,2026/4/1,3,7,越井,Right,4,Right,2,3,2,Fastball,FoulBallFieldable,140,,
54,2026/4/1,3,8,越井,Right,4,Right,2,3,2,Fastball,FoulBallFieldable,134,,
