PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/4/3,1,1,安田,Right,,Right,0,0,0,TwoSeamFastball,StrikeCalled,126,,
2,2026/4/3,1,2,安田,Right,,Right,0,0,1,Curveball,BallCalled,109,,
3,2026/4/3,1,3,安田,Right,,Right,0,1,1,TwoSeamFastball,FoulBallFieldable,121,,
4,2026/4/3,1,4,安田,Right,,Right,0,2,1,Fastball,BallCalled,140,,
5,2026/4/3,1,5,安田,Right,,Right,0,2,1,TwoSeamFastball,InPlay,121,,
6,2026/4/3,1,6,安田,Right,,Right,0,2,2,Fastball,StrikeCalled,136,Single,FlyBall
7,2026/4/3,2,7,安田,Right,,Right,0,0,0,TwoSeamFastball,BallCalled,122,,
8,2026/4/3,2,8,安田,Right,,Right,0,1,0,TwoSeamFastball,FoulBallFieldable,121,,
9,2026/4/3,2,9,安田,Right,,Right,0,1,1,Curveball,BallCalled,111,,
10,2026/4/3,2,10,安田,Right,,Right,0,2,1,TwoSeamFastball,InPlay,121,Out,FlyBall
11,2026/4/3,3,11,安田,Right,,Right,1,0,0,TwoSeamFastball,FoulBallFieldable,121,,
12,2026/4/3,3,12,安田,Right,,Right,1,0,1,TwoSeamFastball,InPlay,123,Out,FlyBall
13,2026/4/3,4,13,安田,Right,,Left,2,0,0,TwoSeamFastball,FoulBallFieldable,121,,
14,2026/4/3,4,14,安田,Right,,Left,2,0,1,TwoSeamFastball,InPlay,124,Single,FlyBall
15,2026/4/3,5,15,安田,Right,,Left,2,0,0,ChangeUp,BallCalled,95,,
16,2026/4/3,5,16,安田,Right,,Left,2,1,0,TwoSeamFastball,FoulBallFieldable,124,,
17,2026/4/3,5,17,安田,Right,,Left,2,1,1,ChangeUp,BallCalled,110,,
18,2026/4/3,5,18,安田,Right,,Left,2,2,1,TwoSeamFastball,InPlay,123,Out,GroundBall
19,2026/4/3,1,19,安田,Right,,Left,0,0,0,Fastball,BallCalled,138,,
20,2026/4/3,1,20,安田,Right,,Left,0,1,0,TwoSeamFastball,FoulBallFieldable,122,,
21,2026/4/3,1,21,安田,Right,,Left,0,1,1,TwoSeamFastball,BallCalled,125,,
22,2026/4/3,1,22,安田,Right,,Left,0,2,1,TwoSeamFastball,StrikeSwinging,121,,
23,2026/4/3,1,23,安田,Right,,Left,0,2,2,ChangeUp,FoulBallFieldable,108,,
24,2026/4/3,1,24,安田,Right,,Left,0,2,2,Fastball,StrikeSwinging,138,Strikeout,
25,2026/4/3,2,25,安田,Right,,Right,1,0,0,TwoSeamFastball,StrikeSwinging,124,,
26,2026/4/3,2,26,安田,Right,,Right,1,0,1,Fastball,FoulBallFieldable,141,,
27,2026/4/3,2,27,安田,Right,,Right,1,0,2,Fastball,FoulBallFieldable,143,,
28,2026/4/3,2,28,安田,Right,,Right,1,0,2,Fastball,BallCalled,142,,
29,2026/4/3,2,29,安田,Right,,Right,1,1,2,Fastball,InPlay,142,Out,GroundBall
30,2026/4/3,3,30,安田,Right,,Right,2,0,0,Fastball,StrikeCalled,141,,
31,2026/4/3,3,31,安田,Right,,Right,2,0,1,Curveball,StrikeCalled,110,,
32,2026/4/3,3,32,安田,Right,,Right,2,0,2,Curveball,FoulBallFieldable,117,,
