PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
1,2026/3/23,1,1,藪下,Left,"Yuta, Sakaguchi",Right,0,0,0,Fastball,FoulBallFieldable,,,,
2,2026/3/23,1,2,藪下,Left,"Yuta, Sakaguchi",Right,0,0,1,Fastball,FoulBallFieldable,,,,
3,2026/3/23,1,3,藪下,Left,"Yuta, Sakaguchi",Right,0,0,2,Slider,BallCalled,,,,
4,2026/3/23,1,4,藪下,Left,"Yuta, Sakaguchi",Right,0,1,2,Slider,FoulBallFieldable,,,,
5,2026/3/23,1,5,藪下,Left,"Yuta, Sakaguchi",Right,0,1,2,Fastball,InPlay,,Double,GroundBall,
6,2026/3/23,2,1,藪下,Left,"Shutaro, konno",Right,0,0,0,Fastball,InPlay,,Sacrifice,GroundBall,
7,2026/3/23,3,1,藪下,Left,"Hiroto, takahashi",Right,1,0,0,Slider,BallCalled,,,,
8,2026/3/23,3,2,藪下,Left,"Hiroto, takahashi",Right,1,1,0,Slider,InPlay,,HomeRun,FlyBall,
9,2026/3/23,4,1,藪下,Left,"Shunsuke, Hosotani",Left,1,0,0,Slider,StrikeSwinging,,,,
10,2026/3/23,4,2,藪下,Left,"Shunsuke, Hosotani",Left,1,0,1,Slider,BallCalled,,,,
11,2026/3/23,4,3,藪下,Left,"Shunsuke, Hosotani",Left,1,1,1,Fastball,FoulBallFieldable,,,,
12,2026/3/23,4,4,藪下,Left,"Shunsuke, Hosotani",Left,1,1,2,Slider,BallCalled,,,,
13,2026/3/23,4,5,藪下,Left,"Shunsuke, Hosotani",Left,1,2,2,Slider,StrikeCalled,,,,
14,2026/3/23,4,6,藪下,Left,"Shunsuke, Hosotani",Left,1,2,2,Slider,StrikeSwinging,,Out,,
15,2026/3/23,5,1,藪下,Left,"Ryosuke, yamamoto",Right,2,0,0,Curveball,BallCalled,,,,
16,2026/3/23,5,2,藪下,Left,"Ryosuke, yamamoto",Right,2,1,0,Fastball,BallCalled,,,,
17,2026/3/23,5,3,藪下,Left,"Ryosuke, yamamoto",Right,2,2,0,Slider,StrikeCalled,,,,
18,2026/3/23,5,4,藪下,Left,"Ryosuke, yamamoto",Right,2,2,1,Slider,InPlay,,Out,FlyBall,
1,2026/3/23,1,1,千葉,Left,"Aoi, yamamoto",Left,0,0,0,Fastball,BallCalled,,,,
2,2026/3/23,1,2,千葉,Left,"Aoi, yamamoto",Left,0,1,0,Fastball,StrikeCalled,,,,
3,2026/3/23,1,3,千葉,Left,"Aoi, yamamoto",Left,0,1,1,Fastball,StrikeCalled,,,,
4,2026/3/23,1,4,千葉,Left,"Aoi, yamamoto",Left,0,1,2,Slider,StrikeCalled,,Out,,
5,2026/3/23,2,1,千葉,Left,"Ryota,Yokoi",Right,1,0,0,Fastball,BallCalled,,,,
6,2026/3/23,2,2,千葉,Left,"Ryota,Yokoi",Right,1,1,0,Fastball,InPlay,,Single,GroundBall,
7,2026/3/23,3,1,千葉,Left,"Rioto, nakamura",Right,1,0,0,Slider,BallCalled,,,,
8,2026/3/23,3,2,千葉,Left,"Rioto, nakamura",Right,1,1,0,Fastball,InPlay,,Out,GroundBall,
1,2026/3/23,1,1,藪下,Left,"Kosuke, kataoka",Left,0,0,0,Fastball,StrikeCalled,,,,
2,2026/3/23,1,2,藪下,Left,"Kosuke, kataoka",Left,0,0,1,Fastball,StrikeCalled,,,,
3,2026/3/23,1,3,藪下,Left,"Kosuke, kataoka",Left,0,0,2,Slider,BallCalled,,,,
4,2026/3/23,1,4,藪下,Left,"Kosuke, kataoka",Left,0,1,2,Slider,BallCalled,,,,
5,2026/3/23,1,5,藪下,Left,"Kosuke, kataoka",Left,0,2,2,Fastball,InPlay,,Single,GroundBall,
6,2026/3/23,2,1,藪下,Left,"Sho, ngato",Right,0,0,0,Fastball,InPlay,,Sacrifice,GroundBall,
7,2026/3/23,3,1,藪下,Left,"Ritsuha, funabashi",Right,1,0,0,Fastball,BallCalled,,,,
8,2026/3/23,3,2,藪下,Left,"Ritsuha, funabashi",Right,1,1,0,Slider,InPlay,,Single,GroundBall,
9,2026/3/23,4,1,藪下,Left,"Masaaki, suzuki",Left,1,0,0,Fastball,BallCalled,,,,
10,2026/3/23,4,2,藪下,Left,"Masaaki, suzuki",Left,1,1,0,Slider,FoulBallFieldable,,,,
11,2026/3/23,4,3,藪下,Left,"Masaaki, suzuki",Left,1,1,1,Slider,BallCalled,,,,
12,2026/3/23,4,4,藪下,Left,"Masaaki, suzuki",Left,1,2,1,Fastball,BallCalled,,,,
13,2026/3/23,4,5,藪下,Left,"Masaaki, suzuki",Left,1,3,1,Slider,FoulBallFieldable,,,,
14,2026/3/23,4,6,藪下,Left,"Masaaki, suzuki",Left,1,3,2,Slider,InPlay,,Double,LineDrive,
15,2026/3/23,5,1,藪下,Left,"Yuta, Sakaguchi",Right,1,0,0,Fastball,InPlay,,FieldersChoice,GroundBall,
16,2026/3/23,6,1,藪下,Left,"Shutaro, konno",Right,1,0,0,Fastball,StrikeCalled,,,,
17,2026/3/23,6,2,藪下,Left,"Shutaro, konno",Right,1,0,1,Slider,BallCalled,,,,
18,2026/3/23,6,3,藪下,Left,"Shutaro, konno",Right,1,1,1,Slider,StrikeCalled,,,,
19,2026/3/23,6,4,藪下,Left,"Shutaro, konno",Right,1,1,2,Slider,FoulBallFieldable,,,,
20,2026/3/23,6,5,藪下,Left,"Shutaro, konno",Right,1,1,2,Fastball,BallCalled,,,,
21,2026/3/23,6,6,藪下,Left,"Shutaro, konno",Right,1,2,2,Fastball,BallCalled,,,,
22,2026/3/23,6,7,藪下,Left,"Shutaro, konno",Right,1,3,2,Fastball,InPlay,,Out,FlyBall,
1,2026/3/23,1,1,千葉,Left,"Yoshinari, atumi",Left,0,0,0,Fastball,StrikeCalled,,,,
2,2026/3/23,1,2,千葉,Left,"Yoshinari, atumi",Left,0,0,1,Slider,StrikeSwinging,,,,
3,2026/3/23,1,3,千葉,Left,"Yoshinari, atumi",Left,0,0,2,Slider,BallCalled,,,,
4,2026/3/23,1,4,千葉,Left,"Yoshinari, atumi",Left,0,1,2,Slider,StrikeCalled,,Out,,
5,2026/3/23,2,1,千葉,Left,"Daichi, kaneko",Left,1,0,0,Fastball,InPlay,,Out,GroundBall,
6,2026/3/23,3,1,千葉,Left,"Shoto,nishitani",Right,2,0,0,Curveball,InPlay,,Out,FlyBall,
1,2026/3/23,1,1,藪下,Left,"Hiroto, takahashi",Right,0,0,0,Fastball,BallCalled,,,,
2,2026/3/23,1,2,藪下,Left,"Hiroto, takahashi",Right,0,1,0,Fastball,FoulBallFieldable,,,,
3,2026/3/23,1,3,藪下,Left,"Hiroto, takahashi",Right,0,1,1,Slider,InPlay,,Out,FlyBall,
4,2026/3/23,2,1,藪下,Left,"Shunsuke, hosotani",Left,1,0,0,Fastball,BallCalled,,,,
5,2026/3/23,2,2,藪下,Left,"Shunsuke, hosotani",Left,1,1,0,Fastball,StrikeSwinging,,,,
6,2026/3/23,2,3,藪下,Left,"Shunsuke, hosotani",Left,1,1,1,Curveball,BallCalled,,,,
7,2026/3/23,2,4,藪下,Left,"Shunsuke, hosotani",Left,1,2,1,Fastball,BallCalled,,,,
8,2026/3/23,2,5,藪下,Left,"Shunsuke, hosotani",Left,1,3,1,Slider,BallCalled,,Walk,,
9,2026/3/23,3,1,藪下,Left,"Ryosuke, yamamoto",Right,1,0,0,Fastball,BallCalled,,,,
10,2026/3/23,3,2,藪下,Left,"Ryosuke, yamamoto",Right,1,1,0,Slider,InPlay,,Out,FlyBall,
11,2026/3/23,4,1,藪下,Left,"Kosuke, kataoka",Left,2,0,0,Fastball,FoulBallFieldable,,,,
12,2026/3/23,4,2,藪下,Left,"Kosuke, kataoka",Left,2,0,1,Fastball,BallCalled,,,,
13,2026/3/23,4,3,藪下,Left,"Kosuke, kataoka",Left,2,1,1,Fastball,FoulBallFieldable,,,,
14,2026/3/23,4,4,藪下,Left,"Kosuke, kataoka",Left,2,1,2,Fastball,BallCalled,,,,
15,2026/3/23,4,5,藪下,Left,"Kosuke, kataoka",Left,2,2,2,Curveball,InPlay,,Single,GroundBall,
16,2026/3/23,5,1,藪下,Left,"Sho, ngato",Right,2,0,0,Slider,BallCalled,,,,
17,2026/3/23,5,2,藪下,Left,"Sho, ngato",Right,2,1,0,Fastball,InPlay,,FieldersChoice,GroundBall,
1,2026/3/23,1,1,千葉,Left,"Shintaro, Kurosu",Left,0,0,0,Fastball,StrikeCalled,,,,
2,2026/3/23,1,2,千葉,Left,"Shintaro, Kurosu",Left,0,0,1,Slider,BallCalled,,,,
3,2026/3/23,1,3,千葉,Left,"Shintaro, Kurosu",Left,0,1,1,Curveball,BallCalled,,,,
4,2026/3/23,1,4,千葉,Left,"Shintaro, Kurosu",Left,0,2,1,Fastball,InPlay,,Single,FlyBall,
5,2026/3/23,2,1,千葉,Right,"Ryuki, komatsu",Left,0,0,0,Slider,StrikeCalled,,,,
6,2026/3/23,2,2,千葉,Left,"Ryuki, komatsu",Left,0,0,1,Fastball,BallCalled,,,,
7,2026/3/23,2,3,千葉,Left,"Ryuki, komatsu",Left,0,1,1,Slider,BallCalled,,,,
8,2026/3/23,2,4,千葉,Left,"Ryuki, komatsu",Left,0,2,1,Slider,BallCalled,,,,
9,2026/3/23,2,5,千葉,Left,"Ryuki, komatsu",Left,0,3,1,Fastball,BallCalled,,Walk,,
10,2026/3/23,3,1,千葉,Left,"Ibuki, tsuda",Left,0,0,0,Fastball,FoulBallFieldable,,,,
11,2026/3/23,3,2,千葉,Left,"Ibuki, tsuda",Left,0,0,1,Fastball,InPlay,,Out,GroundBall,
12,2026/3/23,4,1,千葉,Left,"Aoi, yamamoto",Left,1,0,0,Slider,StrikeCalled,,,,
13,2026/3/23,4,2,千葉,Left,"Aoi, yamamoto",Left,1,0,1,Fastball,InPlay,,Double,FlyBall,
14,2026/3/23,5,1,千葉,Left,"Ryota,Yokoi",Right,1,0,0,Slider,BallCalled,,,,
15,2026/3/23,5,2,千葉,Left,"Ryota,Yokoi",Left,1,1,0,Fastball,FoulBallFieldable,,,,
16,2026/3/23,5,3,千葉,Left,"Ryota,Yokoi",Left,1,1,1,Slider,FoulBallFieldable,,,,
17,2026/3/23,5,4,千葉,Left,"Ryota,Yokoi",Left,1,1,2,Slider,BallCalled,,,,
18,2026/3/23,5,5,千葉,Left,"Ryota,Yokoi",Left,1,2,2,Fastball,InPlay,,Out,GroundBall,
19,2026/3/23,6,1,千葉,Left,"Rioto, nakamura",Right,2,0,0,Fastball,StrikeCalled,,,,
20,2026/3/23,6,2,千葉,Left,"Rioto, nakamura",Left,2,0,1,Slider,BallCalled,,,,
21,2026/3/23,6,3,千葉,Left,"Rioto, nakamura",Left,2,1,1,Slider,BallCalled,,,,
22,2026/3/23,6,4,千葉,Left,"Rioto, nakamura",Left,2,2,1,Slider,FoulBallFieldable,,,,
23,2026/3/23,6,5,千葉,Left,"Rioto, nakamura",Left,2,2,2,Fastball,BallCalled,,,,
24,2026/3/23,6,6,千葉,Left,"Rioto, nakamura",Left,2,3,2,Fastball,StrikeSwinging,,Out,FlyBall,
1,2026/3/23,1,1,藪下,Left,"Ritsuha, funabashi",Right,0,0,0,Curveball,StrikeCalled,,,,
2,2026/3/23,1,2,藪下,Left,"Ritsuha, funabashi",Right,0,0,1,Curveball,BallCalled,,,,
3,2026/3/23,1,3,藪下,Left,"Ritsuha, funabashi",Right,0,1,1,Fastball,FoulBallFieldable,,,,
4,2026/3/23,1,4,藪下,Left,"Ritsuha, funabashi",Right,0,1,2,Slider,BallCalled,,,,
5,2026/3/23,1,5,藪下,Left,"Ritsuha, funabashi",Right,0,2,2,TwoSeamFastball,InPlay,,Out,GroundBall,
6,2026/3/23,2,1,藪下,Left,"Masaaki, suzuki",Left,1,0,0,Fastball,BallCalled,,,,
7,2026/3/23,2,2,藪下,Left,"Masaaki, suzuki",Left,1,1,0,Fastball,BallCalled,,,,
8,2026/3/23,2,3,藪下,Left,"Masaaki, suzuki",Left,1,2,0,Curveball,StrikeCalled,,,,
9,2026/3/23,2,4,藪下,Left,"Masaaki, suzuki",Left,1,2,1,Fastball,StrikeCalled,,,,
10,2026/3/23,2,5,藪下,Left,"Masaaki, suzuki",Left,1,2,2,Fastball,FoulBallFieldable,,,,
11,2026/3/23,2,6,藪下,Left,"Masaaki, suzuki",Left,1,2,2,Fastball,FoulBallFieldable,,,,
12,2026/3/23,2,7,藪下,Left,"Masaaki, suzuki",Left,1,2,2,Fastball,BallCalled,,Walk,,
13,2026/3/23,3,1,藪下,Left,"Yuta, Sakaguchi",Right,1,0,0,Slider,BallCalled,,,,
14,2026/3/23,3,2,藪下,Left,"Yuta, Sakaguchi",Right,1,1,0,Fastball,InPlay,,FieldersChoice,GroundBall,
15,2026/3/23,4,1,藪下,Left,"Shutaro, konno",Right,1,0,0,Fastball,StrikeCalled,,,,
16,2026/3/23,4,2,藪下,Left,"Shutaro, konno",Right,1,0,1,Fastball,BallCalled,,,,
17,2026/3/23,4,3,藪下,Left,"Shutaro, konno",Right,1,1,1,Fastball,InPlay,,Error,GroundBall,
18,2026/3/23,5,1,藪下,Left,"Hiroto, takahashi",Right,1,0,0,Fastball,StrikeCalled,,,,
19,2026/3/23,5,2,藪下,Left,"Hiroto, takahashi",Right,1,0,1,TwoSeamFastball,BallCalled,,,,
20,2026/3/23,5,3,藪下,Left,"Hiroto, takahashi",Right,1,1,1,Curveball,BallCalled,,,,
21,2026/3/23,5,4,藪下,Left,"Hiroto, takahashi",Right,1,2,1,Fastball,BallCalled,,,,
22,2026/3/23,5,5,藪下,Left,"Hiroto, takahashi",Right,1,3,1,Fastball,BallCalled,,Walk,,
1,2026/3/23,1,1,足達,Right,"Shunsuke, hosotani",Left,2,0,0,Fastball,BallCalled,,,,
2,2026/3/23,1,2,足達,Right,"Shunsuke, hosotani",Left,2,1,0,Fastball,StrikeCalled,,,,
1,2026/3/23,1,1,千葉,Left,"Yoshinari, atumi",Left,0,0,0,Fastball,BallCalled,,,,
2,2026/3/23,1,2,千葉,Left,"Yoshinari, atumi",Left,0,1,0,Slider,StrikeCalled,,,,
3,2026/3/23,1,3,千葉,Left,"Yoshinari, atumi",Left,0,1,1,Slider,BallCalled,,,,
4,2026/3/23,1,4,千葉,Left,"Yoshinari, atumi",Left,0,2,1,Fastball,InPlay,,Out,FlyBall,
5,2026/3/23,2,1,千葉,Left,"Daichi, kaneko",Right,1,0,0,Fastball,StrikeCalled,,,,
6,2026/3/23,2,2,千葉,Left,"Daichi, kaneko",Right,1,0,1,Fastball,InPlay,,Out,GroundBall,
7,2026/3/23,3,1,千葉,Left,"Shoto,nishitani",Left,2,0,0,Fastball,StrikeCalled,,,,
8,2026/3/23,3,2,千葉,Left,"Shoto,nishitani",Left,2,0,1,Slider,BallCalled,,,,
9,2026/3/23,3,3,千葉,Left,"Shoto,nishitani",Left,2,1,1,Slider,StrikeCalled,,,,
10,2026/3/23,3,4,千葉,Left,"Shoto,nishitani",Left,2,1,2,Fastball,FoulBallFieldable,,,,
11,2026/3/23,3,5,千葉,Left,"Shoto,nishitani",Left,2,1,2,Slider,BallCalled,,,,
12,2026/3/23,3,6,千葉,Left,"Shoto,nishitani",Left,2,2,2,Slider,BallCalled,,,,
