PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/7/11,1,1,岡村,Right,井櫻,Left,0,0,0,Fastball,BallCalled,135,,
2,2026/7/11,1,2,岡村,Right,井櫻,Left,0,1,0,Fastball,StrikeCalled,135,,
3,2026/7/11,1,3,岡村,Right,井櫻,Left,0,1,1,Fastball,InPlay,136,Out,FlyBall
4,2026/7/11,2,1,岡村,Right,吉田壮,Left,1,0,0,Fastball,StrikeCalled,137,,
5,2026/7/11,2,2,岡村,Right,吉田壮,Left,1,0,1,Fastball,BallCalled,137,,
6,2026/7/11,2,3,岡村,Right,吉田壮,Left,1,1,1,Fastball,InPlay,137,Single,GroundBall
7,2026/7/11,3,1,岡村,Right,尾形,Left,1,0,0,Fastball,BallCalled,137,,
8,2026/7/11,3,2,岡村,Right,尾形,Left,1,1,0,ChangeUp,InPlay,124,Single,LineDrive
9,2026/7/11,4,1,岡村,Right,大平,Right,1,0,0,Cutter,BallCalled,119,,
10,2026/7/11,4,2,岡村,Right,大平,Right,1,1,0,Fastball,BallCalled,130,,
11,2026/7/11,4,3,岡村,Right,大平,Right,1,2,0,ChangeUp,BallCalled,125,,
12,2026/7/11,4,4,岡村,Right,大平,Right,1,3,0,Fastball,BallCalled,133,Walk,
13,2026/7/11,5,1,岡村,Right,髙橋海,Right,1,0,0,Cutter,StrikeSwinging,,,
14,2026/7/11,5,2,岡村,Right,髙橋海,Right,1,0,1,Cutter,StrikeCalled,121,,
15,2026/7/11,5,3,岡村,Right,髙橋海,Right,1,0,2,Fastball,BallCalled,135,,
16,2026/7/11,5,4,岡村,Right,髙橋海,Right,1,1,2,Fastball,BallCalled,135,,
17,2026/7/11,5,5,岡村,Right,髙橋海,Right,1,2,2,ChangeUp,InPlay,121,Double,LineDrive
18,2026/7/11,6,1,岡村,Right,中村俊,Left,1,0,0,Fastball,BallCalled,135,,
19,2026/7/11,6,2,岡村,Right,中村俊,Left,1,1,0,Fastball,StrikeCalled,135,,
20,2026/7/11,6,3,岡村,Right,中村俊,Left,1,1,1,Cutter,InPlay,124,Out,FlyBall
21,2026/7/11,7,1,岡村,Right,片岡,Left,2,0,0,ChangeUp,StrikeCalled,118,,
22,2026/7/11,7,2,岡村,Right,片岡,Left,2,0,1,ChangeUp,StrikeCalled,123,,
23,2026/7/11,7,3,岡村,Right,片岡,Left,2,0,2,ChangeUp,BallCalled,123,,
24,2026/7/11,7,4,岡村,Right,片岡,Left,2,1,2,Curveball,InPlay,109,Double,LineDrive
25,2026/7/11,8,1,岡村,Right,渡邊康,Right,2,0,0,Cutter,FoulBallFieldable,118,,
26,2026/7/11,8,2,岡村,Right,渡邊康,Right,2,0,1,Fastball,BallCalled,132,,
27,2026/7/11,8,3,岡村,Right,渡邊康,Right,2,1,1,Cutter,BallCalled,115,,
28,2026/7/11,8,4,岡村,Right,渡邊康,Right,2,2,1,Cutter,InPlay,120,Single,LineDrive
1,2026/7/11,1,1,安田,Right,阿部,Left,0,0,0,Fastball,InPlay,135,Out,GroundBall
2,2026/7/11,2,1,安田,Right,山根,Right,1,0,0,Fastball,StrikeCalled,136,,
3,2026/7/11,2,2,安田,Right,山根,Right,1,0,1,Fastball,BallCalled,137,,
4,2026/7/11,2,3,安田,Right,山根,Right,1,1,1,TwoSeamFastball,InPlay,127,Out,FlyBall
5,2026/7/11,3,1,安田,Right,川尻,Right,2,0,0,Curveball,BallCalled,106,,
6,2026/7/11,3,2,安田,Right,川尻,Right,2,1,0,TwoSeamFastball,BallCalled,,,
7,2026/7/11,3,3,安田,Right,川尻,Right,2,2,0,ChangeUp,BallCalled,,,
8,2026/7/11,3,4,安田,Right,川尻,Right,2,3,0,Cutter,StrikeSwinging,128,,
9,2026/7/11,3,5,安田,Right,川尻,Right,2,3,1,Curveball,InPlay,107,Out,GroundBall
1,2026/7/11,1,1,岡村,Right,箭原,Left,0,0,0,ChangeUp,FoulBallFieldable,125,,
2,2026/7/11,1,2,岡村,Right,箭原,Left,0,0,1,Curveball,BallCalled,108,,
3,2026/7/11,1,3,岡村,Right,箭原,Left,0,1,1,Fastball,FoulBallFieldable,135,,
4,2026/7/11,1,4,岡村,Right,箭原,Left,0,1,2,ChangeUp,BallCalled,122,,
5,2026/7/11,1,5,岡村,Right,箭原,Left,0,2,2,Fastball,BallCalled,126,,
6,2026/7/11,1,6,岡村,Right,箭原,Left,0,3,2,Fastball,InPlay,,Out,LineDrive
7,2026/7/11,2,1,岡村,Right,井櫻,Left,1,0,0,Cutter,BallCalled,125,,
8,2026/7/11,2,2,岡村,Right,井櫻,Left,1,1,0,Cutter,InPlay,125,Out,FlyBall
9,2026/7/11,3,1,岡村,Right,吉田壮,Left,2,0,0,Fastball,StrikeCalled,,,
10,2026/7/11,3,2,岡村,Right,吉田壮,Left,2,0,1,ChangeUp,StrikeSwinging,121,,
11,2026/7/11,3,3,岡村,Right,吉田壮,Left,2,0,2,ChangeUp,BallCalled,121,,
12,2026/7/11,3,4,岡村,Right,吉田壮,Left,2,1,2,ChangeUp,BallCalled,122,,
13,2026/7/11,3,5,岡村,Right,吉田壮,Left,2,2,2,Fastball,InPlay,136,Single,GroundBall
14,2026/7/11,4,1,岡村,Right,尾形,Left,2,0,0,ChangeUp,BallCalled,125,,
15,2026/7/11,4,2,岡村,Right,尾形,Left,2,1,0,ChangeUp,BallCalled,125,,
16,2026/7/11,4,3,岡村,Right,尾形,Left,2,2,0,Fastball,InPlay,,Out,GroundBall
1,2026/7/11,1,1,安田,Right,寺尾,Right,0,0,0,TwoSeamFastball,InPlay,125,HomeRun,
2,2026/7/11,2,1,安田,Right,大越,Right,0,0,0,Curveball,StrikeCalled,115,,
3,2026/7/11,2,2,安田,Right,大越,Right,0,0,1,Fastball,StrikeCalled,,,
4,2026/7/11,2,3,安田,Right,大越,Right,0,0,2,Fastball,FoulBallFieldable,130,,
5,2026/7/11,2,4,安田,Right,大越,Right,0,0,2,Fastball,BallCalled,135,,
6,2026/7/11,2,5,安田,Right,大越,Right,0,1,2,TwoSeamFastball,InPlay,,Double,FlyBall
7,2026/7/11,3,1,安田,Right,三戸,Left,0,0,0,TwoSeamFastball,FoulBallFieldable,,,
8,2026/7/11,3,2,安田,Right,三戸,Left,0,0,1,Fastball,InPlay,134,Out,FlyBall
9,2026/7/11,4,1,安田,Right,永田,Right,1,0,0,Fastball,InPlay,133,Double,FlyBall
10,2026/7/11,5,1,安田,Right,大内,Left,1,0,0,Fastball,BallCalled,,,
11,2026/7/11,5,2,安田,Right,大内,Left,1,1,0,Fastball,FoulBallFieldable,136,,
