PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,,
1,2026/7/11,1,1,千葉,Left,高崎,Right,0,0,0,Fastball,StrikeCalled,125,,,,
2,2026/7/11,1,2,千葉,Left,高崎,Right,0,0,1,Fastball,BallCalled,127,,,,
3,2026/7/11,1,3,千葉,Left,高崎,Right,0,1,1,Curveball,BallCalled,107,,,,
4,2026/7/11,1,4,千葉,Left,高崎,Right,0,2,1,Fastball,BallCalled,,,,,
5,2026/7/11,1,5,千葉,Left,高崎,Right,0,3,1,Fastball,InPlay,125,Out,GroundBall,,
6,2026/7/11,2,1,千葉,Left,奈良,Right,1,0,0,Fastball,BallCalled,123,,,,
7,2026/7/11,2,2,千葉,Left,奈良,Right,1,1,0,Fastball,FoulBallFieldable,125,,,,
8,2026/7/11,2,3,千葉,Left,奈良,Right,1,1,1,Fastball,StrikeSwinging,,,,,
9,2026/7/11,2,4,千葉,Left,奈良,Right,1,1,2,Fastball,BallCalled,129,,,,
10,2026/7/11,2,5,千葉,Left,奈良,Right,1,2,2,Fastball,FoulBallFieldable,128,,,,
11,2026/7/11,2,6,千葉,Left,奈良,Right,1,2,2,Fastball,BallCalled,,,,,
12,2026/7/11,2,7,千葉,Left,奈良,Right,1,3,2,Fastball,BallCalled,,,,,
13,2026/7/11,2,8,千葉,Left,奈良,Right,1,0,2,Fastball,InPlay,127,Error,GroundBall,,
14,2026/7/11,3,1,千葉,Left,新井,Left,1,0,0,Fastball,BallCalled,125,,,,
15,2026/7/11,3,2,千葉,Left,新井,Left,1,1,0,Fastball,StrikeCalled,124,,,,
16,2026/7/11,3,3,千葉,Left,新井,Left,1,1,1,Curveball,StrikeCalled,,,,,
17,2026/7/11,3,4,千葉,Left,新井,Left,1,1,2,Fastball,StrikeSwinging,128,Strikeout,,,
18,2026/7/11,4,1,千葉,Left,古田,Right,2,0,0,Curveball,BallCalled,95,,,,
19,2026/7/11,4,2,千葉,Left,古田,Right,2,1,0,Fastball,StrikeCalled,127,,,,
20,2026/7/11,4,3,千葉,Left,古田,Right,2,1,1,Fastball,InPlay,128,Single,GroundBall,,
1,2026/7/11,1,1,足達,Right,野田,Left,0,0,0,Fastball,BallCalled,,,,,
2,2026/7/11,1,2,足達,Right,野田,Left,0,1,0,Fastball,BallCalled,128,,,,
3,2026/7/11,1,3,足達,Right,野田,Left,0,2,0,Fastball,StrikeCalled,,,,,
4,2026/7/11,1,4,足達,Right,野田,Left,0,2,1,Fastball,StrikeCalled,129,,,,
5,2026/7/11,1,5,足達,Right,野田,Left,0,2,2,Fastball,BallCalled,125,,,,
6,2026/7/11,1,6,足達,Right,野田,Left,0,3,2,Fastball,StrikeCalled,126,Strikeout,,,
7,2026/7/11,2,1,足達,Right,小室,Right,1,0,0,Slider,StrikeCalled,109,,,,
8,2026/7/11,2,2,足達,Right,小室,Right,1,0,1,Fastball,FoulBallFieldable,132,,,,
9,2026/7/11,2,3,足達,Right,小室,Right,1,0,2,Slider,BallCalled,111,,,,
10,2026/7/11,2,4,足達,Right,小室,Right,1,1,2,Fastball,FoulBallFieldable,134,,,,
11,2026/7/11,2,5,足達,Right,小室,Right,1,1,2,Slider,InPlay,109,Out,FlyBall,,
12,2026/7/11,3,1,足達,Right,舟橋,Right,2,0,0,Curveball,StrikeCalled,106,,,,
13,2026/7/11,3,2,足達,Right,舟橋,Right,2,0,1,Fastball,InPlay,,Out,GroundBall,,
1,2026/7/11,1,1,千葉,Left,國光,Left,0,0,0,Fastball,InPlay,125,Single,FlyBall,,
2,2026/7/11,2,1,千葉,Left,豊田,Right,0,0,0,ChangeUp,StrikeSwinging,118,,,,
3,2026/7/11,2,2,千葉,Left,豊田,Right,0,0,1,Fastball,StrikeSwinging,124,,,,
4,2026/7/11,2,3,千葉,Left,豊田,Right,0,0,2,Slider,FoulBallFieldable,,,,,
5,2026/7/11,2,4,千葉,Left,豊田,Right,0,0,2,Fastball,InPlay,124,Out,,,
6,2026/7/11,3,1,千葉,Left,佐藤拓,Right,2,0,0,Curveball,BallCalled,,,,,
7,2026/7/11,3,2,千葉,Left,佐藤拓,Right,2,1,0,Slider,InPlay,,Single,GroundBall,,
8,2026/7/11,4,1,千葉,Left,原口,Right,2,0,0,Fastball,InPlay,121,Out,GroundBall,,
1,2026/7/11,1,1,足達,Right,佐藤寛,Left,0,0,0,Cutter,BallCalled,118,,,,
2,2026/7/11,1,2,足達,Right,佐藤寛,Left,0,1,0,Fastball,InPlay,127,Double,LineDrive,,
3,2026/7/11,2,1,足達,Right,茨木,Left,0,0,0,Fastball,InPlay,120,Sacrifice,Bunt,,
4,2026/7/11,3,1,足達,Right,鈴木,Left,1,0,0,Curveball,StrikeCalled,108,,,,
5,2026/7/11,3,2,足達,Right,鈴木,Left,1,0,1,Slider,BallCalled,103,,,,
6,2026/7/11,3,3,足達,Right,鈴木,Left,1,1,1,Fastball,InPlay,132,Out,GroundBall,,
7,2026/7/11,4,1,足達,Right,片山,Left,2,0,0,Fastball,StrikeCalled,128,,,,
8,2026/7/11,4,2,足達,Right,片山,Left,2,0,1,Fastball,StrikeCalled,135,,,,
9,2026/7/11,4,3,足達,Right,片山,Left,2,0,2,Fastball,InPlay,133,Single,GroundBall,,
10,2026/7/11,5,1,足達,Right,石松,Left,2,0,0,Slider,StrikeCalled,105,,,,
11,2026/7/11,5,2,足達,Right,石松,Left,2,0,1,ChangeUp,BallCalled,122,,,,
12,2026/7/11,5,3,足達,Right,石松,Left,2,1,1,Slider,InPlay,102,Out,FlyBall,,
1,2026/7/11,1,1,千葉,Left,笠尾,Right,0,0,0,Fastball,StrikeCalled,,,,,
2,2026/7/11,1,2,千葉,Left,笠尾,Right,0,0,1,ChangeUp,BallCalled,117,,,,
3,2026/7/11,1,3,千葉,Left,笠尾,Right,0,1,1,Fastball,FoulBallFieldable,121,,,,
4,2026/7/11,1,4,千葉,Left,笠尾,Right,0,1,2,Fastball,BallCalled,,,,,
5,2026/7/11,1,5,千葉,Left,笠尾,Right,0,2,2,Fastball,BallCalled,,,,,
6,2026/7/11,1,6,千葉,Left,笠尾,Right,0,3,2,Fastball,InPlay,122,Out,FlyBall,,
7,2026/7/11,2,1,千葉,Left,高崎,Right,1,0,0,Fastball,InPlay,123,Out,GroundBall,,
8,2026/7/11,3,1,千葉,Left,奈良,Right,2,0,0,Fastball,InPlay,123,Out,Bunt,,
1,2026/7/11,1,1,足達,Right,風見,Right,0,0,0,Fastball,BallCalled,127,,,,
2,2026/7/11,1,2,足達,Right,風見,Right,0,1,0,Fastball,FoulBallFieldable,126,,,,
3,2026/7/11,1,3,足達,Right,風見,Right,0,1,1,Cutter,BallCalled,,,,,
4,2026/7/11,1,4,足達,Right,風見,Right,0,2,1,Fastball,BallCalled,,,,,
5,2026/7/11,1,5,足達,Right,風見,Right,0,3,1,Fastball,InPlay,130,Out,GroundBall,,
6,2026/7/11,2,1,足達,Right,野田,Left,1,0,0,Fastball,StrikeCalled,130,,,,
7,2026/7/11,2,2,足達,Right,野田,Left,1,0,1,Slider,InPlay,107,Out,GroundBall,,
8,2026/7/11,3,1,足達,Right,小室,Right,2,0,0,Fastball,StrikeCalled,,,,,
9,2026/7/11,3,2,足達,Right,小室,Right,2,0,1,Fastball,InPlay,129,Single,GroundBall,,
10,2026/7/11,4,1,足達,Right,舟橋,Right,2,0,0,Slider,InPlay,100,Out,FlyBall,,
1,2026/7/11,1,1,千葉,Left,新井,Left,0,0,0,Fastball,StrikeSwinging,120,,,,
2,2026/7/11,1,2,千葉,Left,新井,Left,0,0,1,Curveball,BallCalled,,,,,
3,2026/7/11,1,3,千葉,Left,新井,Left,0,1,1,Fastball,StrikeSwinging,124,,,,
4,2026/7/11,1,4,千葉,Left,新井,Left,0,1,2,Slider,StrikeSwinging,114,Strikeout,,,
5,2026/7/11,2,1,千葉,Left,古田,Right,1,0,0,Curveball,FoulBallFieldable,,,,,
6,2026/7/11,2,2,千葉,Left,古田,Right,1,0,1,ChangeUp,BallCalled,,,,,
7,2026/7/11,2,3,千葉,Left,古田,Right,1,1,1,Fastball,FoulBallFieldable,,,,,
8,2026/7/11,2,4,千葉,Left,古田,Right,1,1,2,ChangeUp,BallCalled,116,,,,
9,2026/7/11,2,5,千葉,Left,古田,Right,1,2,2,Fastball,FoulBallFieldable,121,,,,
10,2026/7/11,2,6,千葉,Left,古田,Right,1,2,2,Fastball,StrikeCalled,127,Strikeout,,,
11,2026/7/11,3,1,千葉,Left,國光,Left,2,0,0,Fastball,BallCalled,122,,,,
12,2026/7/11,3,2,千葉,Left,國光,Left,2,1,0,Fastball,FoulBallFieldable,121,,,,
13,2026/7/11,3,3,千葉,Left,國光,Left,2,1,1,Curveball,StrikeSwinging,105,,,,
14,2026/7/11,3,4,千葉,Left,國光,Left,2,1,2,Fastball,InPlay,128,Single,FlyBall,,
15,2026/7/11,4,1,千葉,Left,豊田,Right,2,0,0,Fastball,StrikeCalled,114,,,,
16,2026/7/11,4,2,千葉,Left,豊田,Right,2,0,1,Slider,BallCalled,,,,,
17,2026/7/11,4,3,千葉,Left,豊田,Right,2,1,1,ChangeUp,StrikeCalled,118,,,,
18,2026/7/11,4,4,千葉,Left,豊田,Right,2,1,2,ChangeUp,StrikeSwinging,116,Strikeout,,,
1,2026/7/11,1,1,足達,Right,佐藤寛,Left,0,0,0,Fastball,StrikeSwinging,131,,,,
2,2026/7/11,1,2,足達,Right,佐藤寛,Left,0,0,1,Fastball,StrikeCalled,135,,,,
3,2026/7/11,1,3,足達,Right,佐藤寛,Left,0,0,2,Cutter,InPlay,,Single,LineDrive,,
4,2026/7/11,2,1,足達,Right,茨木,Left,0,0,0,Fastball,BallCalled,135,,,,
5,2026/7/11,2,2,足達,Right,茨木,Left,0,1,0,Fastball,InPlay,135,Out,GroundBall,,
