PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/7/12,1,1,佐々木,Left,金子,Right,0,0,0,Slider,InPlay,115,Out,FlyBall
2,2026/7/12,2,1,佐々木,Left,横井,Right,1,0,0,Curveball,BallCalled,110,,
3,2026/7/12,2,2,佐々木,Left,横井,Right,1,1,0,Fastball,BallCalled,128,,
4,2026/7/12,2,3,佐々木,Left,横井,Right,1,2,0,Fastball,InPlay,128,Error,GroundBall
5,2026/7/12,3,1,佐々木,Left,佐藤寛,Left,1,0,0,Fastball,InPlay,127,Out,FlyBall
6,2026/7/12,4,1,佐々木,Left,中村吏,Right,2,0,0,Slider,StrikeCalled,113,,
7,2026/7/12,4,2,佐々木,Left,中村吏,Right,2,0,1,TwoSeamFastball,FoulBallFieldable,118,,
8,2026/7/12,4,3,佐々木,Left,中村吏,Right,2,0,2,Curveball,BallCalled,104,,
9,2026/7/12,4,4,佐々木,Left,中村吏,Right,2,1,2,Fastball,FoulBallFieldable,130,,
10,2026/7/12,4,5,佐々木,Left,中村吏,Right,2,1,2,Slider,BallCalled,117,,
11,2026/7/12,4,6,佐々木,Left,中村吏,Right,2,2,2,Fastball,StrikeSwinging,129,Strikeout,
1,2026/7/12,1,1,田中,Right,黒須,Left,0,0,0,TwoSeamFastball,StrikeCalled,120,,
2,2026/7/12,1,2,田中,Right,黒須,Left,0,0,1,Fastball,InPlay,140,Single,GroundBall
3,2026/7/12,2,1,田中,Right,箭原,Left,0,0,0,Fastball,BallCalled,,,
4,2026/7/12,2,2,田中,Right,箭原,Left,0,1,0,Fastball,FoulBallFieldable,,,
5,2026/7/12,2,3,田中,Right,箭原,Left,0,1,1,Fastball,InPlay,134,Out,Bunt
6,2026/7/12,3,1,田中,Right,片岡,Left,1,0,0,TwoSeamFastball,StrikeCalled,122,,
7,2026/7/12,3,2,田中,Right,片岡,Left,1,0,1,Fastball,StrikeCalled,133,,
8,2026/7/12,3,3,田中,Right,片岡,Left,1,0,2,Fastball,BallCalled,136,,
9,2026/7/12,3,4,田中,Right,片岡,Left,1,1,2,Fastball,FoulBallFieldable,,,
10,2026/7/12,3,5,田中,Right,片岡,Left,1,1,2,TwoSeamFastball,FoulBallFieldable,,,
11,2026/7/12,3,6,田中,Right,片岡,Left,1,1,2,Fastball,InPlay,139,Single,FlyBall
12,2026/7/12,4,1,田中,Right,大平,Right,1,0,0,Fastball,StrikeCalled,,,
13,2026/7/12,4,2,田中,Right,大平,Right,1,0,1,Cutter,BallCalled,124,,
14,2026/7/12,4,3,田中,Right,大平,Right,1,1,1,TwoSeamFastball,BallCalled,117,,
15,2026/7/12,4,4,田中,Right,大平,Right,1,2,1,Fastball,BallCalled,133,,
16,2026/7/12,4,5,田中,Right,大平,Right,1,3,1,Fastball,BallCalled,132,Undefined,
17,2026/7/12,5,1,田中,Right,山元,Right,1,0,0,Cutter,BallCalled,124,,
18,2026/7/12,5,2,田中,Right,山元,Right,1,1,0,Cutter,FoulBallFieldable,128,,
19,2026/7/12,5,3,田中,Right,山元,Right,1,1,1,Cutter,BallCalled,127,,
20,2026/7/12,5,4,田中,Right,山元,Right,1,2,1,Fastball,StrikeCalled,,,
21,2026/7/12,5,5,田中,Right,山元,Right,1,2,2,TwoSeamFastball,InPlay,117,Double,LineDrive
