PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
1,2026/7/19,1,1,宮城,Left,田澤,Left,0,0,0,Cutter,BallCalled,122,,,
2,2026/7/19,1,2,宮城,Left,田澤,Left,0,1,0,Cutter,BallCalled,119,,,
3,2026/7/19,1,3,宮城,Left,田澤,Left,0,2,0,Fastball,FoulBallFieldable,142,,,
4,2026/7/19,1,4,宮城,Left,田澤,Left,0,2,1,Fastball,BallCalled,144,,,
5,2026/7/19,1,5,宮城,Left,田澤,Left,0,3,1,Fastball,BallCalled,138,Walk,,
6,2026/7/19,2,1,宮城,Left,高井,Right,0,0,0,Splitter,BallCalled,123,,,
7,2026/7/19,2,2,宮城,Left,高井,Right,0,1,0,Fastball,StrikeCalled,141,,,
8,2026/7/19,2,3,宮城,Left,高井,Right,0,1,1,Splitter,StrikeCalled,124,,,
9,2026/7/19,2,4,宮城,Left,高井,Right,0,1,2,Splitter,FoulBallFieldable,129,,,
10,2026/7/19,2,5,宮城,Left,高井,Right,0,1,2,Fastball,InPlay,145,Single,LineDrive,
11,2026/7/19,3,1,宮城,Left,谷川,Left,0,0,0,Fastball,StrikeSwinging,145,,Bunt,
12,2026/7/19,3,2,宮城,Left,谷川,Left,1,0,1,Cutter,BallCalled,121,,,
13,2026/7/19,3,3,宮城,Left,谷川,Left,1,1,1,Splitter,InPlay,130,Out,GroundBall,
14,2026/7/19,4,1,宮城,Left,松本,Right,2,0,0,Cutter,BallCalled,121,,,
15,2026/7/19,4,2,宮城,Left,松本,Right,2,1,0,Fastball,FoulBallNotFieldable,143,,,
16,2026/7/19,4,3,宮城,Left,松本,Right,2,1,1,Cutter,FoulBallFieldable,123,,,
17,2026/7/19,4,4,宮城,Left,松本,Right,2,1,2,Splitter,FoulBallFieldable,132,,,
18,2026/7/19,4,5,宮城,Left,松本,Right,2,1,2,Splitter,StrikeSwinging,124,Strikeout,,
19,2026/7/19,1,1,宮城,Left,山崎,Left,0,0,0,Curveball,InPlay,112,Single,GroundBall,
20,2026/7/19,2,1,宮城,Left,坂井,Right,0,0,0,Cutter,InPlay,124,Sacrifice,Bunt,
21,2026/7/19,3,1,宮城,Left,永田,Right,1,0,0,Fastball,BallCalled,142,,,
22,2026/7/19,3,2,宮城,Left,永田,Right,1,1,0,Fastball,BallCalled,143,,,
23,2026/7/19,3,3,宮城,Left,永田,Right,1,2,0,Fastball,InPlay,141,Out,GroundBall,
24,2026/7/19,4,1,宮城,Left,渡辺,Right,2,0,0,Splitter,InPlay,128,Out,FlyBall,
25,2026/7/19,1,1,宮城,Left,丹羽,Left,0,0,0,Fastball,BallCalled,142,,,
26,2026/7/19,1,2,宮城,Left,丹羽,Left,0,1,0,Fastball,StrikeCalled,140,,,
27,2026/7/19,1,3,宮城,Left,丹羽,Left,0,1,1,Fastball,StrikeSwinging,140,,,
28,2026/7/19,1,4,宮城,Left,丹羽,Left,0,1,2,Slider,BallCalled,112,,,
29,2026/7/19,1,5,宮城,Left,丹羽,Left,0,2,2,Fastball,InPlay,136,Error,GroundBall,
30,2026/7/19,2,1,宮城,Left,田澤,Left,0,0,0,Fastball,StrikeCalled,,,,
31,2026/7/19,2,2,宮城,Left,田澤,Left,0,0,1,Splitter,FoulBallFieldable,127,,,
32,2026/7/19,2,3,宮城,Left,田澤,Left,0,0,2,Fastball,InPlay,143,Triple,LineDrive,
33,2026/7/19,3,1,宮城,Left,高井,Right,0,0,0,Cutter,FoulBallFieldable,120,,Bunt,
34,2026/7/19,3,2,宮城,Left,高井,Right,0,0,1,Cutter,BallCalled,121,,,
35,2026/7/19,3,3,宮城,Left,高井,Right,0,1,1,Splitter,BallCalled,128,,,
36,2026/7/19,3,4,宮城,Left,高井,Right,0,2,1,Splitter,BallCalled,127,,,
37,2026/7/19,3,5,宮城,Left,高井,Right,0,3,1,Splitter,InPlay,126,Out,GroundBall,
38,2026/7/19,4,1,宮城,Left,谷川,Left,1,0,0,Fastball,BallCalled,138,,,
39,2026/7/19,4,2,宮城,Left,谷川,Left,1,1,0,Splitter,BallCalled,127,,,
40,2026/7/19,4,3,宮城,Left,谷川,Left,1,2,0,Fastball,StrikeCalled,135,,,
41,2026/7/19,4,4,宮城,Left,谷川,Left,1,2,1,Fastball,FoulBallFieldable,142,,,
42,2026/7/19,4,5,宮城,Left,谷川,Left,1,2,2,Cutter,StrikeCalled,125,Strikeout,Bunt,
43,2026/7/19,5,1,宮城,Left,松本,Right,2,0,0,Fastball,BallCalled,143,,,
44,2026/7/19,5,2,宮城,Left,松本,Right,2,1,0,Fastball,BallCalled,143,,,
45,2026/7/19,5,3,宮城,Left,松本,Right,2,2,0,Fastball,StrikeSwinging,144,,,
46,2026/7/19,5,4,宮城,Left,松本,Right,2,2,1,Splitter,InPlay,131,Out,GroundBall,
1,2026/7/19,1,1,髙橋煌,Right,山崎,Left,0,0,0,Fastball,FoulBallFieldable,140,,,
2,2026/7/19,1,2,髙橋煌,Right,山崎,Left,0,0,1,Splitter,BallCalled,137,,,
3,2026/7/19,1,3,髙橋煌,Right,山崎,Left,0,1,1,Fastball,FoulBallFieldable,142,Out,FlyBall,
4,2026/7/19,2,1,髙橋煌,Right,坂井,Right,1,0,0,Fastball,StrikeCalled,150,,,
5,2026/7/19,2,2,髙橋煌,Right,坂井,Right,1,0,1,Curveball,BallCalled,114,,,
6,2026/7/19,2,3,髙橋煌,Right,坂井,Right,1,1,1,Curveball,StrikeCalled,121,,,
7,2026/7/19,2,4,髙橋煌,Right,坂井,Right,1,1,2,Fastball,FoulBallFieldable,150,,,
8,2026/7/19,2,5,髙橋煌,Right,坂井,Right,1,1,2,Fastball,BallCalled,151,,,
9,2026/7/19,2,6,髙橋煌,Right,坂井,Right,1,2,2,Cutter,InPlay,,Out,FlyBall,
