PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,,
1,2026/7/19,1,1,田中,Right,湯浅,Right,0,0,0,Fastball,FoulBallFieldable,133,,,,
2,2026/7/19,1,2,田中,Right,湯浅,Right,0,0,1,Fastball,InPlay,131,Out,GroundBall,,
3,2026/7/19,2,1,田中,Right,野田,Left,1,0,0,Fastball,BallCalled,141,,,,
4,2026/7/19,2,2,田中,Right,野田,Left,1,1,0,Fastball,FoulBallFieldable,139,,,,
5,2026/7/19,2,3,田中,Right,野田,Left,1,1,1,Slider,BallCalled,122,,,,
6,2026/7/19,2,4,田中,Right,野田,Left,1,2,1,Fastball,FoulBallFieldable,140,,,,
7,2026/7/19,2,5,田中,Right,野田,Left,1,2,2,ChangeUp,FoulBallFieldable,127,,,,
8,2026/7/19,2,6,田中,Right,野田,Left,1,2,2,ChangeUp,BallCalled,127,,,,
9,2026/7/19,2,7,田中,Right,野田,Left,1,3,2,Fastball,InPlay,139,Out,GroundBall,,
10,2026/7/19,3,1,田中,Right,石松,Left,2,0,0,Fastball,StrikeCalled,140,,,,
11,2026/7/19,3,2,田中,Right,石松,Left,2,0,1,Fastball,StrikeCalled,140,,,,
12,2026/7/19,3,3,田中,Right,石松,Left,2,0,2,ChangeUp,InPlay,121,Out,GroundBall,,
1,2026/7/19,1,1,千葉,Left,津田,Left,0,0,0,Slider,FoulBallFieldable,125,,,,
2,2026/7/19,1,2,千葉,Left,津田,Left,0,0,1,Slider,BallCalled,124,,,,
3,2026/7/19,1,3,千葉,Left,津田,Left,0,1,1,Curveball,BallCalled,104,,,,
4,2026/7/19,1,4,千葉,Left,津田,Left,0,2,1,Slider,InPlay,125,Out,FlyBall,,
5,2026/7/19,2,1,千葉,Left,黒須,Left,1,0,0,Curveball,BallCalled,-,,,,
6,2026/7/19,2,2,千葉,Left,黒須,Left,1,1,0,,FoulBallFieldable,-,,,,
7,2026/7/19,2,3,千葉,Left,黒須,Left,1,1,1,,BallCalled,128,,,,
8,2026/7/19,2,4,千葉,Left,黒須,Left,1,2,1,,FoulBallFieldable,129,,,,
9,2026/7/19,2,5,千葉,Left,黒須,Left,1,2,2,Curveball,FoulBallFieldable,108,,,,
10,2026/7/19,2,6,千葉,Left,黒須,Left,1,2,2,,StrikeCalled,130,Out,,,
11,2026/7/19,3,1,千葉,Left,中村吏,Right,2,0,0,Curveball,BallCalled,88,,,,
12,2026/7/19,3,2,千葉,Left,中村吏,Right,2,1,0,Slider,BallCalled,126,,,,
13,2026/7/19,3,3,千葉,Left,中村吏,Right,2,2,0,Slider,InPlay,127,Out,Popup,,
1,2026/7/19,1,1,田中,Right,古田,Right,0,0,0,Fastball,StrikeCalled,139,,,,
2,2026/7/19,1,2,田中,Right,古田,Right,0,0,1,Slider,BallCalled,128,,,,
3,2026/7/19,1,3,田中,Right,古田,Right,0,1,1,Fastball,BallCalled,139,,,,
4,2026/7/19,1,4,田中,Right,古田,Right,0,2,1,Fastball,FoulBallFieldable,138,,,,
5,2026/7/19,1,5,田中,Right,古田,Right,0,2,2,ChangeUp,InPlay,126,Error,GroundBall,,
6,2026/7/19,2,1,田中,Right,山元,Right,0,0,0,,InPlay,-,Sacrifice,GroundBall,,
7,2026/7/19,3,1,田中,Right,小松騎,Right,1,0,0,Slider,StrikeCalled,,,,,
8,2026/7/19,3,2,田中,Right,小松騎,Right,1,0,1,Fastball,InPlay,136,Out,GroundBall,,
9,2026/7/19,4,1,田中,Right,西谷,Left,2,0,0,ChangeUp,BallCalled,122,,,,
10,2026/7/19,4,2,田中,Right,西谷,Left,2,1,0,Fastball,BallCalled,135,,,,
11,2026/7/19,4,3,田中,Right,西谷,Left,2,2,0,Fastball,InPlay,136,Out,FlyBall,,
1,2026/7/19,1,1,千葉,Left,大平,Right,0,0,0,Curveball,StrikeCalled,106,,,,
2,2026/7/19,1,2,千葉,Left,大平,Right,0,0,1,Slider,FoulBallFieldable,128,,,,
3,2026/7/19,1,3,千葉,Left,大平,Right,0,0,2,,StrikeSwinging,,Out,,,
4,2026/7/19,2,1,千葉,Left,片岡,Left,1,0,0,,BallCalled,,,,,
5,2026/7/19,2,2,千葉,Left,片岡,Left,1,1,0,,BallCalled,127,,,,
6,2026/7/19,2,3,千葉,Left,片岡,Left,1,2,0,,StrikeCalled,126,,,,
7,2026/7/19,2,4,千葉,Left,片岡,Left,1,2,1,,InPlay,126,Single,GroundBall,,
8,2026/7/19,3,1,千葉,Left,渡邊康,Right,2,0,0,Curveball,StrikeCalled,105,,,,
9,2026/7/19,3,2,千葉,Left,渡邊康,Right,2,0,1,Curveball,FoulBallFieldable,90,,,,
10,2026/7/19,3,3,千葉,Left,渡邊康,Right,2,0,2,Slider,StrikeCalled,129,Out,,,
1,2026/7/19,1,1,田中,Right,荘川,Left,0,0,0,Fastball,StrikeCalled,-,,,,
2,2026/7/19,1,2,田中,Right,荘川,Left,0,0,1,Fastball,FoulBallFieldable,141,,,,
3,2026/7/19,1,3,田中,Right,荘川,Left,0,0,2,,BallCalled,126,,,,
4,2026/7/19,1,4,田中,Right,荘川,Left,0,1,2,Fastball,InPlay,141,Single,LineDrive,,
5,2026/7/19,2,1,田中,Right,江﨑,Left,0,0,0,Fastball,StrikeCalled,134,,,,
6,2026/7/19,2,2,田中,Right,江﨑,Left,0,0,1,Fastball,FoulBallFieldable,133,,,,
7,2026/7/19,2,3,田中,Right,江﨑,Left,0,0,2,Fastball,BallCalled,133,,,,
8,2026/7/19,2,4,田中,Right,江﨑,Left,0,1,2,ChangeUp,StrikeSwinging,124,Out,,,
9,2026/7/19,3,1,田中,Right,湯浅,Left,1,0,0,Slider,InPlay,124,Single,GroundBall,,
10,2026/7/19,4,1,田中,Right,野田,Left,1,0,0,ChangeUp,BallCalled,123,,,,
11,2026/7/19,4,2,田中,Right,野田,Left,1,1,0,Fastball,StrikeCalled,133,,,,
12,2026/7/19,4,3,田中,Right,野田,Left,1,1,1,,BallCalled,123,FieldersChoice,GroundBall,,
13,2026/7/19,5,1,田中,Right,石松,Left,1,0,0,Fastball,BallCalled,134,,,,
14,2026/7/19,5,2,田中,Right,石松,Left,1,1,0,Fastball,FoulBallFieldable,135,,,,
15,2026/7/19,5,3,田中,Right,石松,Left,1,1,1,Fastball,InPlay,135,Out,GroundBall,,
16,2026/7/19,6,1,田中,Right,古田,Left,2,0,0,Slider,StrikeCalled,124,,,,
17,2026/7/19,6,2,田中,Right,古田,Left,2,0,1,,InPlay,127,Single,GroundBall,,
18,2026/7/19,7,1,田中,Right,山元,Right,2,0,0,Curveball,FoulBallFieldable,114,,,,
19,2026/7/19,7,2,田中,Right,山元,Right,2,0,1,Curveball,FoulBallFieldable,104,,,,
20,2026/7/19,7,3,田中,Right,山元,Right,2,0,2,Curveball,BallCalled,112,,,,
21,2026/7/19,7,4,田中,Right,山元,Right,2,1,2,Splitter,InPlay,,Sacrifice,GroundBall,,
1,2026/7/19,1,1,千葉,Left,小室,Right,0,0,0,,BallCalled,128,,,,
2,2026/7/19,1,2,千葉,Left,小室,Right,0,1,0,Curveball,StrikeCalled,105,,,,
3,2026/7/19,1,3,千葉,Left,小室,Right,0,1,1,Curveball,InPlay,105,Single,LineDrive,,
4,2026/7/19,2,1,千葉,Left,津田,Left,0,0,0,,StrikeCalled,125,,,,
5,2026/7/19,2,2,千葉,Left,津田,Left,0,0,1,,BallCalled,127,,,,
6,2026/7/19,2,3,千葉,Left,津田,Left,0,1,1,Curveball,StrikeSwinging,103,,,,
7,2026/7/19,2,4,千葉,Left,津田,Left,0,1,2,Slider,BallCalled,117,,,,
8,2026/7/19,2,5,千葉,Left,津田,Left,0,2,2,Slider,InPlay,130,Out,LineDrive,,
9,2026/7/19,3,1,千葉,Left,黒須,Left,1,0,0,Curveball,BallCalled,107,,,,
10,2026/7/19,3,2,千葉,Left,黒須,Left,1,1,0,Slider,BallCalled,127,,,,
11,2026/7/19,3,3,千葉,Left,黒須,Left,1,2,0,Slider,InPlay,127,Single,GroundBall,,ここらへんおかしい
12,2026/7/19,4,1,千葉,Left,中村吏,Right,2,0,0,Slider,BallCalled,127,,,,
