PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/7/23,1,1,俵積田,Right,佐藤寛,Left,0,0,0,Fastball,InPlay,130,Error,GroundBall
2,2026/7/23,2,1,俵積田,Right,金子,Right,0,0,0,Fastball,StrikeCalled,121,,
3,2026/7/23,2,2,俵積田,Right,金子,Right,0,0,1,Slider,BallCalled,111,,
4,2026/7/23,2,3,俵積田,Right,金子,Right,0,1,1,Slider,StrikeCalled,-,,
5,2026/7/23,2,4,俵積田,Right,金子,Right,0,1,2,Fastball,InPlay,122,Single,GroundBall
6,2026/7/23,3,1,俵積田,Right,細谷,Left,0,0,0,Fastball,BallCalled,130,,
7,2026/7/23,3,2,俵積田,Right,細谷,Left,0,1,0,Fastball,BallCalled,132,,
8,2026/7/23,3,3,俵積田,Right,細谷,Left,0,2,0,Fastball,BallCalled,131,,
9,2026/7/23,3,4,俵積田,Right,細谷,Left,0,3,0,Fastball,StrikeCalled,126,,
10,2026/7/23,3,5,俵積田,Right,細谷,Left,0,3,1,Fastball,BallCalled,131,Walk,
11,2026/7/23,4,1,俵積田,Right,山元,Right,0,0,0,Slider,BallCalled,111,,
12,2026/7/23,4,2,俵積田,Right,山元,Right,0,1,0,Fastball,InPlay,-,Out,FlyBall
13,2026/7/23,5,1,俵積田,Right,西谷,Left,1,0,0,Fastball,BallCalled,134,,
14,2026/7/23,5,2,俵積田,Right,西谷,Left,1,1,0,Fastball,StrikeCalled,132,,
15,2026/7/23,5,3,俵積田,Right,西谷,Left,1,1,1,ChangeUp,InPlay,121,Sacrifice,FlyBall
16,2026/7/23,6,1,俵積田,Right,箭原,Right,2,0,0,Fastball,StrikeCalled,132,,
17,2026/7/23,6,2,俵積田,Right,箭原,Right,2,0,1,ChangeUp,BallCalled,118,,
18,2026/7/23,6,3,俵積田,Right,箭原,Right,2,1,1,Fastball,BallCalled,124,,
19,2026/7/23,6,4,俵積田,Right,箭原,Right,2,2,1,Fastball,StrikeSwinging,132,,
20,2026/7/23,6,5,俵積田,Right,箭原,Right,2,2,2,Slider,BallCalled,117,,
21,2026/7/23,6,6,俵積田,Right,箭原,Right,2,3,2,Fastball,StrikeCalled,133,Strikeout,
1,2026/7/23,1,1,安東,Right,高橋隆,Left,0,0,0,Fastball,FoulBallFieldable,132,,
2,2026/7/23,1,2,安東,Right,高橋隆,Left,0,0,1,ChangeUp,StrikeSwinging,126,,
3,2026/7/23,1,3,安東,Right,高橋隆,Left,0,0,2,Fastball,BallCalled,130,,
4,2026/7/23,1,4,安東,Right,高橋隆,Left,0,1,2,Slider,FoulBallFieldable,129,,
5,2026/7/23,1,5,安東,Right,高橋隆,Left,0,1,2,Fastball,BallCalled,136,,
6,2026/7/23,1,6,安東,Right,高橋隆,Left,0,2,2,Slider,InPlay,-,Triple,FlyBall
7,2026/7/23,2,1,安東,Right,三澤,Right,0,0,0,Slider,StrikeCalled,128,,
8,2026/7/23,2,2,安東,Right,三澤,Right,0,0,1,Slider,StrikeSwinging,119,,
9,2026/7/23,2,3,安東,Right,三澤,Right,0,0,2,Slider,StrikeSwinging,119,Strikeout,
10,2026/7/23,3,1,安東,Right,片岡,Left,1,0,0,Fastball,BallCalled,136,,
11,2026/7/23,3,2,安東,Right,片岡,Left,1,1,0,Fastball,FoulBallFieldable,135,,
12,2026/7/23,3,3,安東,Right,片岡,Left,1,1,1,Slider,StrikeSwinging,-,,
13,2026/7/23,3,4,安東,Right,片岡,Left,1,1,2,Slider,FoulBallFieldable,-,,
14,2026/7/23,3,5,安東,Right,片岡,Left,1,1,2,Fastball,BallCalled,140,,
15,2026/7/23,3,6,安東,Right,片岡,Left,1,2,2,Slider,FoulBallFieldable,124,,
16,2026/7/23,3,7,安東,Right,片岡,Left,1,2,2,ChangeUp,BallCalled,131,,
17,2026/7/23,3,8,安東,Right,片岡,Left,1,3,2,Slider,FoulBallFieldable,130,,
18,2026/7/23,3,9,安東,Right,片岡,Left,1,3,2,Fastball,InPlay,137,Single,LineDrive
19,2026/7/23,4,1,安東,Right,大平,Left,1,0,0,Slider,FoulBallFieldable,121,,
20,2026/7/23,4,2,安東,Right,大平,Left,1,0,1,Fastball,BallCalled,132,,
21,2026/7/23,4,3,安東,Right,大平,Left,1,1,1,Fastball,InPlay,129,FieldersChoice,GroundBall
