PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,,
1,2026/7/25,1,1,中村心,Left,1,Left,0,0,0,Fastball,StrikeCalled,,,,,
2,2026/7/25,1,2,中村心,Left,1,Left,0,0,1,Fastball,BallCalled,143,,,,
3,2026/7/25,1,3,中村心,Left,1,Left,0,1,1,Fastball,StrikeCalled,144,,,,
4,2026/7/25,1,4,中村心,Left,1,Left,0,1,2,Fastball,BallCalled,,,,,
5,2026/7/25,1,5,中村心,Left,1,Left,0,2,2,Fastball,StrikeSwinging,144,Strikeout,,,
6,2026/7/25,2,1,中村心,Left,2,Right,1,0,0,Fastball,BallCalled,141,,,,
7,2026/7/25,2,2,中村心,Left,2,Right,1,1,0,Fastball,BallCalled,140,,,,
8,2026/7/25,2,3,中村心,Left,2,Right,1,2,0,Cutter,StrikeCalled,132,,,,
9,2026/7/25,2,4,中村心,Left,2,Right,1,2,1,Cutter,InPlay,128,Out,GroundBall,,
10,2026/7/25,3,1,中村心,Left,3,Left,2,0,0,Fastball,BallCalled,141,,,,
11,2026/7/25,3,2,中村心,Left,3,Left,2,1,0,Cutter,StrikeCalled,129,,,,
12,2026/7/25,3,3,中村心,Left,3,Left,2,1,1,Cutter,FoulBallFieldable,,,,,
13,2026/7/25,3,4,中村心,Left,3,Left,2,1,2,Fastball,BallCalled,139,,,,
14,2026/7/25,3,5,中村心,Left,3,Left,2,2,2,Fastball,FoulBallFieldable,145,,,,
15,2026/7/25,3,6,中村心,Left,3,Left,2,2,2,Cutter,BallCalled,134,,,,
16,2026/7/25,3,7,中村心,Left,3,Left,2,3,2,Fastball,FoulBallFieldable,143,,,,
17,2026/7/25,3,8,中村心,Left,3,Left,2,3,2,Fastball,InPlay,,Out,GroundBall,,
18,2026/7/25,1,1,中村心,Left,4,Left,0,0,0,Cutter,StrikeSwinging,135,,,,
19,2026/7/25,1,2,中村心,Left,4,Left,0,0,1,Fastball,FoulBallFieldable,,,,,
20,2026/7/25,1,3,中村心,Left,4,Left,0,0,2,Fastball,BallCalled,132,,,,
21,2026/7/25,1,4,中村心,Left,4,Left,0,1,2,Fastball,StrikeSwinging,140,Strikeout,,,
22,2026/7/25,2,1,中村心,Left,5,Left,1,0,0,Fastball,StrikeSwinging,,,,,
23,2026/7/25,2,2,中村心,Left,5,Left,1,0,1,Fastball,StrikeCalled,,,,,
24,2026/7/25,2,3,中村心,Left,5,Left,1,0,2,Slider,StrikeCalled,120,Strikeout,,,
25,2026/7/25,3,1,中村心,Left,6,Right,2,0,0,Fastball,BallCalled,,,,,
26,2026/7/25,3,2,中村心,Left,6,Right,2,1,0,ChangeUp,StrikeSwinging,128,,,,
27,2026/7/25,3,3,中村心,Left,6,Right,2,1,1,ChangeUp,BallCalled,126,,,,
28,2026/7/25,3,4,中村心,Left,6,Right,2,2,1,Fastball,StrikeSwinging,,,,,
29,2026/7/25,3,5,中村心,Left,6,Right,2,2,2,Fastball,BallCalled,,,,,
30,2026/7/25,3,6,中村心,Left,6,Right,2,3,2,Fastball,StrikeSwinging,140,Strikeout,,,
31,2026/7/25,1,1,中村心,Left,7,Right,0,0,0,Fastball,InPlay,,Out,GroundBall,,
32,2026/7/25,2,1,中村心,Left,8,Right,1,0,0,Fastball,FoulBallFieldable,139,,,,
33,2026/7/25,2,2,中村心,Left,8,Right,1,0,1,Fastball,BallCalled,141,,,,
34,2026/7/25,2,3,中村心,Left,8,Right,1,1,1,Cutter,StrikeCalled,,,,,
35,2026/7/25,2,4,中村心,Left,8,Right,1,1,2,Slider,FoulBallFieldable,120,,,,
36,2026/7/25,2,5,中村心,Left,8,Right,1,1,2,ChangeUp,FoulBallFieldable,,,,,
37,2026/7/25,2,6,中村心,Left,8,Right,1,1,2,ChangeUp,FoulBallFieldable,,,,,
38,2026/7/25,2,7,中村心,Left,8,Right,1,1,2,Fastball,StrikeCalled,140,Strikeout,,,
39,2026/7/25,3,1,中村心,Left,9,Right,2,0,0,Cutter,BallCalled,,,,,
40,2026/7/25,3,2,中村心,Left,9,Right,2,1,0,Slider,InPlay,123,Out,FlyBall,,
1,2026/7/25,1,1,山﨑,Right,1,Left,0,0,0,Fastball,FoulBallFieldable,137,,,,
2,2026/7/25,1,2,山﨑,Right,1,Left,0,0,1,Slider,StrikeCalled,115,,,,
3,2026/7/25,1,3,山﨑,Right,1,Left,0,0,2,Fastball,BallCalled,,,,,
4,2026/7/25,1,4,山﨑,Right,1,Left,0,1,2,ChangeUp,InPlay,123,Out,GroundBall,,
5,2026/7/25,2,1,山﨑,Right,2,Right,1,0,0,Curveball,StrikeCalled,,,,,
6,2026/7/25,2,2,山﨑,Right,2,Right,1,0,1,Fastball,InPlay,,Out,GroundBall,,
7,2026/7/25,3,1,山﨑,Right,3,Left,2,0,0,Fastball,InPlay,135,Out,FlyBall,,
1,2026/7/25,1,1,山田翔,Left,4,Left,0,0,0,Fastball,StrikeSwinging,,,,,
2,2026/7/25,1,2,山田翔,Left,4,Left,0,0,1,Fastball,InPlay,128,Out,FlyBall,,
3,2026/7/25,2,1,山田翔,Left,5,Left,1,0,0,Slider,BallCalled,,,,,
4,2026/7/25,2,2,山田翔,Left,5,Left,1,1,0,Fastball,BallCalled,133,,,,
5,2026/7/25,2,3,山田翔,Left,5,Left,1,2,0,Slider,InPlay,123,Out,GroundBall,,
6,2026/7/25,3,1,山田翔,Left,6,Right,2,0,0,Fastball,StrikeSwinging,132,,,,
7,2026/7/25,3,2,山田翔,Left,6,Right,2,0,1,Fastball,BallCalled,133,,,,
8,2026/7/25,3,3,山田翔,Left,6,Right,2,1,1,Fastball,StrikeSwinging,131,,,,
9,2026/7/25,3,4,山田翔,Left,6,Right,2,1,2,Fastball,FoulBallFieldable,,,,,
10,2026/7/25,3,5,山田翔,Left,6,Right,2,1,2,Fastball,InPlay,133,Out,GroundBall,,
1,2026/7/25,1,1,田中,Right,7,Right,0,0,0,Fastball,StrikeCalled,,,,,
2,2026/7/25,1,2,田中,Right,7,Right,0,0,1,Fastball,StrikeCalled,,,,,
3,2026/7/25,1,3,田中,Right,7,Right,0,0,2,Fastball,BallCalled,138,,,,
4,2026/7/25,1,4,田中,Right,7,Right,0,1,2,Fastball,StrikeSwinging,,Strikeout,,,
5,2026/7/25,2,1,田中,Right,8,Right,1,0,0,Fastball,BallCalled,135,,,,
6,2026/7/25,2,2,田中,Right,8,Right,1,1,0,Fastball,BallCalled,132,,,,
7,2026/7/25,2,3,田中,Right,8,Right,1,2,0,Fastball,InPlay,,Single,GroundBall,,
8,2026/7/25,3,1,田中,Right,9,Right,1,0,0,TwoSeamFastball,BallCalled,129,,,,
9,2026/7/25,3,2,田中,Right,9,Right,1,1,0,Fastball,StrikeSwinging,,,,,
10,2026/7/25,3,3,田中,Right,9,Right,1,1,1,TwoSeamFastball,StrikeSwinging,128,,,,
11,2026/7/25,3,4,田中,Right,9,Right,1,1,2,Fastball,StrikeSwinging,133,Strikeout,,,
12,2026/7/25,4,1,田中,Right,1,Left,2,0,0,TwoSeamFastball,InPlay,121,Out,GroundBall,,
1,2026/7/25,1,1,松本宗,Right,2,Right,0,0,0,Fastball,StrikeCalled,,,,,
2,2026/7/25,1,2,松本宗,Right,2,Right,0,0,1,Fastball,FoulBallFieldable,135,,,,
3,2026/7/25,1,3,松本宗,Right,2,Right,0,0,2,Fastball,InPlay,141,Out,GroundBall,,
4,2026/7/25,2,1,松本宗,Right,3,Left,1,0,0,Fastball,BallCalled,140,,,,
5,2026/7/25,2,2,松本宗,Right,3,Left,1,1,0,Fastball,StrikeCalled,,,,,
6,2026/7/25,2,3,松本宗,Right,3,Left,1,1,1,Splitter,StrikeCalled,121,,,,
7,2026/7/25,2,4,松本宗,Right,3,Left,1,1,2,Splitter,StrikeSwinging,126,Strikeout,,,
8,2026/7/25,3,1,松本宗,Right,4,Right,2,0,0,Fastball,InPlay,139,Out,GroundBall,,
1,2026/7/25,1,1,岡村,Right,5,Left,0,0,0,Curveball,BallCalled,109,,,,
2,2026/7/25,1,2,岡村,Right,5,Left,0,1,0,Fastball,StrikeSwinging,,,,,
3,2026/7/25,1,3,岡村,Right,5,Left,0,1,1,Fastball,StrikeSwinging,137,,,,
4,2026/7/25,1,4,岡村,Right,5,Left,0,1,2,Fastball,StrikeSwinging,133,Strikeout,,,
5,2026/7/25,2,1,岡村,Right,6,Right,1,0,0,Curveball,BallCalled,,,,,
6,2026/7/25,2,2,岡村,Right,6,Right,1,1,0,Fastball,StrikeCalled,,,,,
7,2026/7/25,2,3,岡村,Right,6,Right,1,1,1,Fastball,StrikeSwinging,139,,,,
8,2026/7/25,2,4,岡村,Right,6,Right,1,1,2,Fastball,BallCalled,139,,,,
9,2026/7/25,2,5,岡村,Right,6,Right,1,2,2,Fastball,BallCalled,,,,,
10,2026/7/25,2,6,岡村,Right,6,Right,1,3,2,Fastball,FoulBallFieldable,133,,,,
11,2026/7/25,2,7,岡村,Right,6,Right,1,3,2,Fastball,BallCalled,137,Walk,,,
12,2026/7/25,3,1,岡村,Right,7,Right,1,0,0,Fastball,StrikeSwinging,132,,,,
13,2026/7/25,3,2,岡村,Right,7,Right,1,0,1,ChangeUp,InPlay,124,Out,FlyBall,,
14,2026/7/25,4,1,岡村,Right,8,Right,2,0,0,Fastball,BallCalled,134,,,,
15,2026/7/25,4,2,岡村,Right,8,Right,2,1,0,Fastball,FoulBallFieldable,135,,,,
16,2026/7/25,4,3,岡村,Right,8,Right,2,1,1,Cutter,StrikeSwinging,121,,,,
17,2026/7/25,4,4,岡村,Right,8,Right,2,1,2,Cutter,InPlay,121,Single,FlyBall,,
18,2026/7/25,5,1,岡村,Right,9,Left,2,0,0,Fastball,StrikeCalled,,,,,
19,2026/7/25,5,2,岡村,Right,9,Left,2,0,1,ChangeUp,BallCalled,117,,,,
20,2026/7/25,5,3,岡村,Right,9,Left,2,1,1,Fastball,StrikeSwinging,137,,,,
21,2026/7/25,5,4,岡村,Right,9,Left,2,1,2,Fastball,BallCalled,,,,,
22,2026/7/25,5,5,岡村,Right,9,Left,2,2,2,ChangeUp,BallCalled,127,,,,
23,2026/7/25,5,6,岡村,Right,9,Left,2,3,2,Fastball,StrikeSwinging,137,Strikeout,,,
24,2026/7/25,1,1,岡村,Right,1,Left,0,0,0,Fastball,StrikeSwinging,,,,,
25,2026/7/25,1,2,岡村,Right,1,Left,0,0,1,Fastball,FoulBallFieldable,136,,,,
26,2026/7/25,1,3,岡村,Right,1,Left,0,0,2,ChangeUp,BallCalled,124,,,,
27,2026/7/25,1,4,岡村,Right,1,Left,0,1,2,Fastball,StrikeCalled,134,Strikeout,,,
28,2026/7/25,2,1,岡村,Right,2,Right,1,0,0,Curveball,InPlay,,Out,FlyBall,,
29,2026/7/25,3,1,岡村,Right,3,Left,2,0,0,ChangeUp,StrikeSwinging,127,,,,
30,2026/7/25,3,2,岡村,Right,3,Left,2,0,1,Fastball,BallCalled,,,,,
31,2026/7/25,3,3,岡村,Right,3,Left,2,1,1,ChangeUp,BallCalled,123,,,,
32,2026/7/25,3,4,岡村,Right,3,Left,2,2,1,Fastball,FoulBallFieldable,137,,,,
33,2026/7/25,3,5,岡村,Right,3,Left,2,2,2,Fastball,BallCalled,135,,,,
34,2026/7/25,3,6,岡村,Right,3,Left,2,3,2,Fastball,InPlay,137,Out,FlyBall,,
