PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/7/30,1,1,宮城,Left,井櫻,Left,0,0,0,Fastball,FoulBallFieldable,138,,
2,2026/7/30,1,2,宮城,Left,井櫻,Left,0,0,1,Fastball,InPlay,140,Out,GroundBall
3,2026/7/30,2,1,宮城,Left,山根,Right,1,0,0,Fastball,BallCalled,136,,
4,2026/7/30,2,2,宮城,Left,山根,Right,1,1,0,Fastball,InPlay,140,Out,GroundBall
5,2026/7/30,3,1,宮城,Left,佐藤寛,Left,2,0,0,Fastball,BallCalled,137,,
6,2026/7/30,3,2,宮城,Left,佐藤寛,Left,2,1,0,Fastball,StrikeSwinging,147,,
7,2026/7/30,3,3,宮城,Left,佐藤寛,Left,2,1,1,Fastball,InPlay,139,Out,GroundBall
1,2026/7/30,1,1,高橋煌,Right,寺尾,Right,0,0,0,OneSeam,BallCalled,131,,
2,2026/7/30,1,2,高橋煌,Right,寺尾,Right,0,1,0,Cutter,BallCalled,127,,
3,2026/7/30,1,3,高橋煌,Right,寺尾,Right,0,2,0,Cutter,StrikeCalled,131,,
4,2026/7/30,1,4,高橋煌,Right,寺尾,Right,0,2,1,Cutter,BallCalled,131,,
5,2026/7/30,1,5,高橋煌,Right,寺尾,Right,0,3,1,OneSeam,StrikeCalled,132,,
6,2026/7/30,1,6,高橋煌,Right,寺尾,Right,0,3,2,OneSeam,BallCalled,133,Walk,
7,2026/7/30,2,1,高橋煌,Right,德丸,Left,0,0,0,Cutter,BallCalled,116,,
8,2026/7/30,2,2,高橋煌,Right,德丸,Left,0,1,0,Fastball,FoulBallFieldable,146,,
9,2026/7/30,2,3,高橋煌,Right,德丸,Left,0,1,1,OneSeam,BallCalled,135,,
10,2026/7/30,2,4,高橋煌,Right,德丸,Left,0,2,1,Fastball,InPlay,143,Out,FlyBall
11,2026/7/30,3,1,高橋煌,Right,霜,Right,1,0,0,Cutter,InPlay,132,Out,FlyBall
12,2026/7/30,4,1,高橋煌,Right,尾形,Right,2,0,0,OneSeam,StrikeCalled,133,,
13,2026/7/30,4,2,高橋煌,Right,尾形,Right,2,0,1,Fastball,BallCalled,146,,
14,2026/7/30,4,3,高橋煌,Right,尾形,Right,2,1,1,Fastball,FoulBallFieldable,145,,
15,2026/7/30,4,4,高橋煌,Right,尾形,Right,2,1,2,Fastball,StrikeSwinging,144,,
16,2026/7/30,4,5,高橋煌,Right,尾形,Right,2,1,2,Cutter,FoulBallFieldable,,Out,GroundBall
1,2026/7/30,1,1,宮城,Left,坂口,Right,0,0,0,Fastball,FoulBallFieldable,137,,
2,2026/7/30,1,2,宮城,Left,坂口,Right,0,0,1,Curveball,InPlay,103,Double,FlyBall
3,2026/7/30,2,1,宮城,Left,大内,Left,0,0,0,Splitter,InPlay,,Sacrifice,GroundBall
4,2026/7/30,3,1,宮城,Left,寺尾,Right,1,0,0,Splitter,BallCalled,127,,
5,2026/7/30,3,2,宮城,Left,寺尾,Right,1,1,0,Fastball,StrikeCalled,142,,
6,2026/7/30,3,3,宮城,Left,寺尾,Right,1,1,1,Splitter,BallCalled,134,,
7,2026/7/30,3,4,宮城,Left,寺尾,Right,1,2,1,Splitter,BallCalled,129,,
8,2026/7/30,3,5,宮城,Left,寺尾,Right,1,3,1,Fastball,InPlay,140,Single,FlyBall
9,2026/7/30,4,1,宮城,Left,大内,Left,1,0,0,Fastball,InPlay,137,Single,GroundBall
10,2026/7/30,5,1,宮城,Left,井櫻,Left,1,0,0,Cutter,BallCalled,125,,
11,2026/7/30,5,2,宮城,Left,井櫻,Left,1,1,0,Cutter,StrikeSwinging,128,,
12,2026/7/30,5,3,宮城,Left,井櫻,Left,1,1,1,Fastball,InPlay,,Out,GroundBall
1,2026/7/30,1,1,高橋煌,Right,山根,Right,0,0,0,Curveball,BallCalled,114,,
2,2026/7/30,1,2,高橋煌,Right,山根,Right,0,1,0,Curveball,StrikeCalled,115,,
3,2026/7/30,1,3,高橋煌,Right,山根,Right,0,1,1,Fastball,InPlay,141,Out,GroundBall
4,2026/7/30,2,1,高橋煌,Right,佐藤寛,Left,1,0,0,Fastball,StrikeCalled,146,,
5,2026/7/30,2,2,高橋煌,Right,佐藤寛,Left,1,0,1,Fastball,FoulBallFieldable,146,,
6,2026/7/30,2,3,高橋煌,Right,佐藤寛,Left,1,0,2,Fastball,BallCalled,146,,
7,2026/7/30,2,4,高橋煌,Right,佐藤寛,Left,1,1,2,Fastball,BallCalled,145,,
8,2026/7/30,2,5,高橋煌,Right,佐藤寛,Left,1,2,2,OneSeam,FoulBallFieldable,135,,
9,2026/7/30,2,6,高橋煌,Right,佐藤寛,Left,1,2,2,Curveball,BallCalled,119,,
10,2026/7/30,2,7,高橋煌,Right,佐藤寛,Left,1,3,2,OneSeam,FoulBallFieldable,133,,
11,2026/7/30,2,8,高橋煌,Right,佐藤寛,Left,1,3,2,Fastball,BallCalled,147,Walk,
12,2026/7/30,3,1,高橋煌,Right,寺尾,Right,1,0,0,OneSeam,BallCalled,136,,
13,2026/7/30,3,2,高橋煌,Right,寺尾,Right,1,1,0,OneSeam,StrikeCalled,139,,
14,2026/7/30,3,3,高橋煌,Right,寺尾,Right,1,1,1,Cutter,InPlay,118,Out,FlyBall
15,2026/7/30,4,1,高橋煌,Right,德丸,Left,2,0,0,Curveball,BallCalled,115,,
16,2026/7/30,4,2,高橋煌,Right,德丸,Left,2,1,0,Fastball,FoulBallFieldable,145,,
17,2026/7/30,4,3,高橋煌,Right,德丸,Left,2,1,1,OneSeam,InPlay,136,HomeRun,
18,2026/7/30,5,1,高橋煌,Right,霜,Right,2,0,0,Curveball,StrikeCalled,115,,
19,2026/7/30,5,2,高橋煌,Right,霜,Right,2,0,1,Cutter,BallCalled,134,,
20,2026/7/30,5,3,高橋煌,Right,霜,Right,2,1,1,Curveball,StrikeCalled,118,,
21,2026/7/30,5,4,高橋煌,Right,霜,Right,2,1,2,Cutter,BallCalled,129,,
22,2026/7/30,5,5,高橋煌,Right,霜,Right,2,2,2,Fastball,InPlay,142,Out,GroundBall
1,2026/7/30,1,1,宮城,Left,尾形,Left,0,0,0,Slider,BallCalled,121,,
2,2026/7/30,1,2,宮城,Left,尾形,Left,0,1,0,Slider,StrikeSwinging,119,,
3,2026/7/30,1,3,宮城,Left,尾形,Left,0,1,1,Slider,StrikeCalled,120,,
4,2026/7/30,1,4,宮城,Left,尾形,Left,0,1,2,Splitter,StrikeCalled,132,Strikeout,
5,2026/7/30,2,1,宮城,Left,坂口,Right,1,0,0,Splitter,FoulBallFieldable,130,,
6,2026/7/30,2,2,宮城,Left,坂口,Right,1,0,1,Slider,BallCalled,120,,
7,2026/7/30,2,3,宮城,Left,坂口,Right,1,1,1,Fastball,StrikeSwinging,137,,
8,2026/7/30,2,4,宮城,Left,坂口,Right,1,1,2,Fastball,,,Strikeout,
9,2026/7/30,3,1,宮城,Left,大内,Left,2,0,0,Curveball,BallCalled,,,
10,2026/7/30,3,2,宮城,Left,大内,Left,2,1,0,Slider,BallCalled,126,,
11,2026/7/30,3,3,宮城,Left,大内,Left,2,2,0,Fastball,StrikeCalled,134,,
12,2026/7/30,3,4,宮城,Left,大内,Left,2,2,1,Cutter,BallCalled,,,
13,2026/7/30,3,5,宮城,Left,大内,Left,2,3,1,Cutter,FoulBallFieldable,,,
14,2026/7/30,3,6,宮城,Left,大内,Left,2,3,2,Fastball,InPlay,,Out,FlyBall
15,2026/7/30,1,1,宮城,Left,佐藤寛,Left,0,0,0,Fastball,FoulBallFieldable,,,
16,2026/7/30,1,2,宮城,Left,佐藤寛,Left,0,0,1,Curveball,BallCalled,101,,
17,2026/7/30,1,3,宮城,Left,佐藤寛,Left,0,1,1,Fastball,StrikeCalled,,,
18,2026/7/30,1,4,宮城,Left,佐藤寛,Left,0,1,2,Fastball,StrikeCalled,143,,
19,2026/7/30,1,5,宮城,Left,佐藤寛,Left,0,1,2,Splitter,InPlay,130,Out,FlyBall
1,2026/7/30,1,1,安田,Right,中村俊,Left,0,0,0,Slider,StrikeCalled,122,,
2,2026/7/30,1,2,安田,Right,中村俊,Left,0,0,1,TwoSeamFastball,StrikeCalled,124,,
3,2026/7/30,1,3,安田,Right,中村俊,Left,0,0,2,Fastball,BallCalled,142,,
4,2026/7/30,1,4,安田,Right,中村俊,Left,0,1,2,Curveball,BallCalled,107,,
5,2026/7/30,1,5,安田,Right,中村俊,Left,0,2,2,Fastball,FoulBallFieldable,136,,
6,2026/7/30,1,6,安田,Right,中村俊,Left,0,2,2,ChangeUp,InPlay,108,Out,Popup
7,2026/7/30,2,1,安田,Right, 高橋海,Right,1,0,0,Slider,BallCalled,129,,
8,2026/7/30,2,2,安田,Right, 高橋海,Right,1,1,0,Fastball,FoulBallFieldable,134,,
9,2026/7/30,2,3,安田,Right, 高橋海,Right,1,1,1,Slider,BallCalled,,,
10,2026/7/30,2,4,安田,Right, 高橋海,Right,1,2,1,Fastball,StrikeCalled,130,,
11,2026/7/30,2,5,安田,Right, 高橋海,Right,1,2,2,Slider,BallCalled,118,,
12,2026/7/30,2,6,安田,Right, 高橋海,Right,1,3,2,ChangeUp,StrikeSwinging,117,Out,
13,2026/7/30,3,1,安田,Right, 川尻,Right,2,0,0,Fastball,BallCalled,142,,
14,2026/7/30,3,2,安田,Right, 川尻,Right,2,1,0,Fastball,BallCalled,137,,
15,2026/7/30,3,3,安田,Right, 川尻,Right,2,2,0,ChangeUp,StrikeCalled,,,
16,2026/7/30,3,4,安田,Right, 川尻,Right,2,2,1,Fastball,InPlay,,Single,GroundBall
17,2026/7/30,4,1,安田,Right,三戸,Left,2,0,0,TwoSeamFastball,BallCalled,119,,
18,2026/7/30,4,2,安田,Right,三戸,Left,2,1,0,TwoSeamFastball,StrikeCalled,119,,
19,2026/7/30,4,3,安田,Right,三戸,Left,2,1,1,Fastball,FoulBallFieldable,137,,
20,2026/7/30,4,4,安田,Right,三戸,Left,2,1,2,Slider,FoulBallFieldable,134,,
21,2026/7/30,4,5,安田,Right,三戸,Left,2,1,2,TwoSeamFastball,BallCalled,122,,
22,2026/7/30,4,6,安田,Right,三戸,Left,2,2,2,TwoSeamFastball,FoulBallFieldable,127,,
23,2026/7/30,4,7,安田,Right,三戸,Left,2,2,2,Fastball,BallCalled,139,,
24,2026/7/30,4,8,安田,Right,三戸,Left,2,3,2,ChangeUp,BallCalled,117,Walk,
25,2026/7/30,5,1,安田,Right,湯浅,Right,2,0,0,Curveball,FoulBallFieldable,102,,
26,2026/7/30,5,2,安田,Right,湯浅,Right,2,0,1,Curveball,BallCalled,108,,
27,2026/7/30,5,3,安田,Right,湯浅,Right,2,1,1,ChangeUp,InPlay,117,Out,FlyBall
1,2026/7/30,1,1,中村心,Left,小室,Left,0,0,0,Fastball,InPlay,140,Double,FlyBall
2,2026/7/30,2,1,中村心,Left,岩﨑遼,Right,0,0,0,Fastball,BallCalled,139,,
3,2026/7/30,2,2,中村心,Left,岩﨑遼,Right,0,1,0,Fastball,InPlay,138,Sacrifice,GroundBall
4,2026/7/30,3,1,中村心,Left,大越,Right,1,0,0,Fastball,StrikeCalled,141,,
5,2026/7/30,3,2,中村心,Left,大越,Right,1,0,1,Cutter,StrikeCalled,133,,
6,2026/7/30,3,3,中村心,Left,大越,Right,1,0,2,Fastball,InPlay,142,Sacrifice,FlyBall
7,2026/7/30,4,1,中村心,Left,三戸,Left,2,0,0,Cutter,FoulBallFieldable,132,Out,Popup
1,2026/7/30,1,1,安田,Right,坂口,Right,0,0,0,Fastball,BallCalled,137,,
2,2026/7/30,1,2,安田,Right,坂口,Right,0,1,0,Fastball,StrikeCalled,130,,
3,2026/7/30,1,3,安田,Right,坂口,Right,0,1,1,ChangeUp,StrikeCalled,115,,
4,2026/7/30,1,4,安田,Right,坂口,Right,0,1,2,Fastball,FoulBallFieldable,138,,
5,2026/7/30,1,5,安田,Right,坂口,Right,0,1,2,TwoSeamFastball,StrikeCalled,121,Strikeout,
6,2026/7/30,2,1,安田,Right,津田,Left,1,0,0,TwoSeamFastball,StrikeSwinging,121,,
7,2026/7/30,2,2,安田,Right,津田,Left,1,0,1,ChangeUp,BallCalled,,,
8,2026/7/30,2,3,安田,Right,津田,Left,1,1,1,TwoSeamFastball,InPlay,120,Single,FlyBall
9,2026/7/30,3,1,安田,Right,吉田,Left,1,0,0,Fastball,BallCalled,134,,
10,2026/7/30,3,2,安田,Right,吉田,Left,1,1,0,TwoSeamFastball,BallCalled,119,,
11,2026/7/30,3,3,安田,Right,吉田,Left,1,2,0,TwoSeamFastball,StrikeCalled,118,,
12,2026/7/30,3,4,安田,Right,吉田,Left,1,2,1,Fastball,InPlay,136,Out,FlyBall
13,2026/7/30,4,1,安田,Right,黒須,Left,2,0,0,TwoSeamFastball,StrikeCalled,123,,
14,2026/7/30,4,2,安田,Right,黒須,Left,2,0,1,Fastball,BallCalled,139,,
1,2026/7/30,1,3,中村心,Left,黒須,Left,0,1,1,Cutter,BallCalled,130,,
2,2026/7/30,1,4,中村心,Left,黒須,Left,0,2,1,Cutter,BallCalled,130,,
3,2026/7/30,1,5,中村心,Left,黒須,Left,0,3,1,Cutter,StrikeCalled,131,,
4,2026/7/30,1,6,中村心,Left,黒須,Left,0,3,2,Cutter,InPlay,129,Out,FlyBall
5,2026/7/30,2,1,中村心,Left,小松騎,Right,1,0,0,Fastball,InPlay,140,Out,GroundBall
6,2026/7/30,3,1,中村心,Left,大平,Right,2,0,0,Fastball,BallCalled,,,
7,2026/7/30,3,2,中村心,Left,大平,Right,2,1,0,Cutter,BallCalled,131,,
8,2026/7/30,3,3,中村心,Left,大平,Right,2,2,0,Cutter,StrikeCalled,128,,
9,2026/7/30,3,4,中村心,Left,大平,Right,2,2,1,Fastball,FoulBallFieldable,139,,
10,2026/7/30,3,5,中村心,Left,大平,Right,2,2,2,Fastball,BallCalled,143,,
11,2026/7/30,3,6,中村心,Left,大平,Right,2,3,2,Cutter,InPlay,,Out,FlyBall
1,2026/7/30,1,1,安田,Right,石松,Left,0,0,0,ChangeUp,StrikeCalled,109,,
2,2026/7/30,1,2,安田,Right,石松,Left,0,0,1,Fastball,InPlay,128,Out,FlyBall
3,2026/7/30,2,1,安田,Right,高橋隆,Left,1,0,0,Fastball,FoulBallFieldable,138,,
4,2026/7/30,2,2,安田,Right,高橋隆,Left,1,0,1,Curveball,StrikeSwinging,110,,
5,2026/7/30,2,3,安田,Right,高橋隆,Left,1,0,2,Fastball,BallCalled,141,,
6,2026/7/30,2,4,安田,Right,高橋隆,Left,1,1,2,TwoSeamFastball,StrikeSwinging,119,Out,
7,2026/7/30,3,1,安田,Right,中村吏,Right,2,0,0,ChangeUp,FoulBallFieldable,117,,
8,2026/7/30,3,2,安田,Right,中村吏,Right,2,0,1,Fastball,InPlay,133,Single,LineDrive
