PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/3/23,1,1,池,Left,西谷,Left,0,0,0,Fastball,BallCalled,,,
2,2026/3/23,1,2,池,Left,西谷,Left,0,1,0,Fastball,StrikeCalled,,,
3,2026/3/23,1,3,池,Left,西谷,Left,0,1,1,Fastball,BallCalled,131,,
4,2026/3/23,1,4,池,Left,西谷,Left,0,2,1,Cutter,BallCalled,125,,
5,2026/3/23,1,5,池,Left,西谷,Left,0,3,1,Cutter,StrikeCalled,117,,
6,2026/3/23,1,6,池,Left,西谷,Left,0,3,2,Cutter,BallCalled,119,Walk,
7,2026/3/23,2,1,池,Left,金子,Right,0,0,0,Fastball,StrikeCalled,133,,
8,2026/3/23,2,2,池,Left,金子,Right,0,0,1,Slider,BallCalled,116,,
9,2026/3/23,2,3,池,Left,金子,Right,0,1,1,Fastball,BallCalled,128,,
10,2026/3/23,2,4,池,Left,金子,Right,0,2,1,Cutter,InPlay,117,Sacrifice,
11,2026/3/23,3,1,池,Left,渥美,Left,1,0,0,Slider,StrikeCalled,112,,
12,2026/3/23,3,2,池,Left,渥美,Left,1,0,1,Slider,BallCalled,114,,
13,2026/3/23,3,3,池,Left,渥美,Left,1,1,1,Fastball,FoulBallFieldable,130,,
14,2026/3/23,3,4,池,Left,渥美,Left,1,1,2,Cutter,StrikeSwinging,123,,
15,2026/3/23,3,5,池,Left,渥美,Left,1,1,2,Cutter,FoulBallFieldable,121,,
16,2026/3/23,3,6,池,Left,渥美,Left,1,1,2,Fastball,BallCalled,133,,
17,2026/3/23,3,7,池,Left,渥美,Left,1,2,2,Cutter,StrikeSwinging,123,Strikeout,
18,2026/3/23,4,1,池,Left,古田,Left,2,0,0,ChangeUp,StrikeCalled,121,,
19,2026/3/23,4,2,池,Left,古田,Left,2,0,1,ChangeUp,StrikeSwinging,122,,
20,2026/3/23,4,3,池,Left,古田,Left,2,0,2,Fastball,BallCalled,131,,
21,2026/3/23,4,4,池,Left,古田,Left,2,1,2,ChangeUp,BallCalled,124,,
22,2026/3/23,4,5,池,Left,古田,Left,2,2,2,ChangeUp,FoulBallFieldable,124,,
23,2026/3/23,4,6,池,Left,古田,Left,2,2,2,ChangeUp,InPlay,123,Single,LineDrive
24,2026/3/23,5,1,池,Left,野田,Left,2,0,0,Fastball,BallCalled,129,,
25,2026/3/23,5,2,池,Left,野田,Left,2,1,0,Fastball,StrikeCalled,129,,
26,2026/3/23,5,3,池,Left,野田,Left,2,1,1,Curveball,BallCalled,113,,
27,2026/3/23,5,4,池,Left,野田,Left,2,2,1,Fastball,FoulBallFieldable,131,,
28,2026/3/23,5,5,池,Left,野田,Left,2,2,2,Cutter,StrikeSwinging,121,Strikeout,
29,2026/3/23,1,1,池,Left,舟橋,Right,0,0,0,Fastball,BallCalled,129,,
30,2026/3/23,1,2,池,Left,舟橋,Right,0,1,0,Slider,BallCalled,119,,
31,2026/3/23,1,3,池,Left,舟橋,Right,0,2,0,Fastball,InPlay,133,Single,FlyBall
32,2026/3/23,2,1,池,Left,小薗井,Right,0,0,0,Fastball,BallCalled,,,
33,2026/3/23,2,2,池,Left,小薗井,Right,0,1,0,Fastball,FoulBallFieldable,131,,
34,2026/3/23,2,3,池,Left,小薗井,Right,0,1,1,Slider,InPlay,116,Sacrifice,GroundBall
35,2026/3/23,3,1,池,Left,箭原,Left,1,0,0,Fastball,BallCalled,130,,
36,2026/3/23,3,2,池,Left,箭原,Left,1,1,0,Slider,BallCalled,117,,
37,2026/3/23,3,3,池,Left,箭原,Left,1,2,0,Fastball,InPlay,127,Out,FlyBall
38,2026/3/23,4,1,池,Left,三澤,Right,2,0,0,Fastball,BallCalled,130,,
39,2026/3/23,4,2,池,Left,三澤,Right,2,1,0,Slider,BallCalled,116,,
40,2026/3/23,4,3,池,Left,三澤,Right,2,2,0,Fastball,InPlay,126,Single,GroundBall
41,2026/3/23,5,1,池,Left,秋田,Right,2,0,0,Curveball,FoulBallFieldable,111,,
42,2026/3/23,5,2,池,Left,秋田,Right,2,0,1,Fastball,BallCalled,125,,
43,2026/3/23,5,3,池,Left,秋田,Right,2,1,1,Curveball,BallCalled,109,,
44,2026/3/23,5,4,池,Left,秋田,Right,2,2,1,ChangeUp,BallCalled,120,,
45,2026/3/23,5,5,池,Left,秋田,Right,2,3,1,Slider,BallCalled,112,Walk,
46,2026/3/23,6,1,池,Left,茨木,Left,2,0,0,Slider,BallCalled,117,,
47,2026/3/23,6,2,池,Left,茨木,Left,2,1,0,Slider,InPlay,,Out,FlyBall
48,2026/3/23,1,1,池,Left,西谷,Left,0,0,0,Fastball,BallCalled,131,,
49,2026/3/23,1,2,池,Left,西谷,Left,0,1,0,Slider,StrikeCalled,114,,
50,2026/3/23,1,3,池,Left,西谷,Left,0,1,1,Slider,InPlay,116,Out,GroundBall
51,2026/3/23,2,1,池,Left,金子,Right,1,0,0,ChangeUp,BallCalled,123,,
52,2026/3/23,2,2,池,Left,金子,Right,1,1,0,ChangeUp,BallCalled,117,,
53,2026/3/23,2,3,池,Left,金子,Right,1,2,0,Fastball,BallCalled,133,,
54,2026/3/23,2,4,池,Left,金子,Right,1,3,0,Fastball,BallCalled,131,Walk,
55,2026/3/23,3,1,池,Left,小薗井,Right,1,0,0,ChangeUp,InPlay,128,Out,FlyBall
56,2026/3/23,4,1,池,Left,秋田,Right,2,0,0,Slider,StrikeCalled,116,,
57,2026/3/23,4,2,池,Left,秋田,Right,2,0,1,Cutter,BallCalled,122,,
58,2026/3/23,4,3,池,Left,秋田,Right,2,1,1,Fastball,StrikeSwinging,130,,
59,2026/3/23,4,4,池,Left,秋田,Right,2,1,2,ChangeUp,InPlay,125,Single,GroundBall
60,2026/3/23,5,1,池,Left,金子,Right,2,0,0,Slider,InPlay,112,Out,GroundBall
1,2026/3/23,1,1,伊藤櫂,Right,西谷,Left,0,0,0,Fastball,BallCalled,,,
2,2026/3/23,1,2,伊藤櫂,Right,西谷,Left,0,1,0,Fastball,InPlay,121,Out,GroundBall
3,2026/3/23,2,1,伊藤櫂,Right,金子,Right,1,0,0,Slider,BallCalled,117,,
4,2026/3/23,2,2,伊藤櫂,Right,金子,Right,1,1,0,Slider,StrikeCalled,114,,
5,2026/3/23,2,3,伊藤櫂,Right,金子,Right,1,1,1,Fastball,InPlay,121,Out,FlyBall
6,2026/3/23,3,1,伊藤櫂,Right,大野,Left,2,0,0,Slider,BallCalled,112,,
7,2026/3/23,3,2,伊藤櫂,Right,大野,Left,2,1,0,Fastball,FoulBallFieldable,126,,
8,2026/3/23,3,3,伊藤櫂,Right,大野,Left,2,1,1,Fastball,BallCalled,125,,
9,2026/3/23,3,4,伊藤櫂,Right,大野,Left,2,2,1,Fastball,BallCalled,122,,
10,2026/3/23,3,5,伊藤櫂,Right,大野,Left,2,3,1,Slider,BallCalled,114,Walk,
11,2026/3/23,4,1,伊藤櫂,Right,古田,Right,2,0,0,Fastball,StrikeCalled,124,,
12,2026/3/23,4,2,伊藤櫂,Right,古田,Right,2,0,1,Slider,StrikeCalled,114,,
