PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
1,2026/7/31,1,1,俵積田,Right,新井,Left,0,0,0,Fastball,FoulBallFieldable,130,,,
2,2026/7/31,1,2,俵積田,Right,新井,Left,0,0,1,ChangeUp,FoulBallFieldable,120,,,
3,2026/7/31,1,3,俵積田,Right,新井,Left,0,0,2,Fastball,FoulBallFieldable,134,,,
4,2026/7/31,1,4,俵積田,Right,新井,Left,0,0,2,ChangeUp,StrikeSwinging,121,Strikeout,,
5,2026/7/31,2,1,俵積田,Right,荘川,Left,1,0,0,Slider,BallCalled,121,,,
6,2026/7/31,2,2,俵積田,Right,荘川,Left,1,1,0,Fastball,BallCalled,132,,,
7,2026/7/31,2,3,俵積田,Right,荘川,Left,1,2,0,Fastball,FoulBallFieldable,131,,,
8,2026/7/31,2,4,俵積田,Right,荘川,Left,1,2,1,Fastball,StrikeCalled,131,,,
9,2026/7/31,2,5,俵積田,Right,荘川,Left,1,2,2,ChangeUp,BallCalled,121,,,
10,2026/7/31,2,6,俵積田,Right,荘川,Left,1,3,2,Fastball,BallCalled,,Walk,,
11,2026/7/31,3,1,俵積田,Right,高崎,Right,1,0,0,Fastball,StrikeCalled,127,,,
12,2026/7/31,3,2,俵積田,Right,高崎,Right,1,0,1,Slider,BallCalled,113,,,
13,2026/7/31,3,3,俵積田,Right,高崎,Right,1,1,1,Slider,InPlay,109,Out,FlyBall,
14,2026/7/31,4,1,俵積田,Right,古田,Right,2,0,0,Fastball,BallCalled,131,,,
15,2026/7/31,4,2,俵積田,Right,古田,Right,2,1,0,Slider,StrikeCalled,114,,,
16,2026/7/31,4,3,俵積田,Right,古田,Right,2,1,1,Curveball,BallCalled,111,,,
17,2026/7/31,4,4,俵積田,Right,古田,Right,2,2,1,Fastball,InPlay,129,Out,GroundBall,
1,2026/7/31,1,1,足達,Right,西谷,Left,0,0,0,Fastball,BallCalled,131,,,
2,2026/7/31,1,2,足達,Right,西谷,Left,0,1,0,Fastball,StrikeCalled,132,,,
3,2026/7/31,1,3,足達,Right,西谷,Left,0,1,1,Slider,StrikeCalled,107,,,
4,2026/7/31,1,4,足達,Right,西谷,Left,0,1,2,Cutter,BallCalled,118,,,
5,2026/7/31,1,5,足達,Right,西谷,Left,0,2,2,Fastball,BallCalled,131,,,
6,2026/7/31,1,6,足達,Right,西谷,Left,0,3,2,Fastball,InPlay,129,Single,FlyBall,
7,2026/7/31,2,1,足達,Right,金子,Right,0,0,0,Fastball,InPlay,129,Sacrifice,Bunt,
8,2026/7/31,3,1,足達,Right,舟橋,Right,1,0,0,Slider,StrikeCalled,104,,,
9,2026/7/31,3,2,足達,Right,舟橋,Right,1,0,1,Fastball,BallCalled,134,,,
10,2026/7/31,3,3,足達,Right,舟橋,Right,1,1,1,Fastball,FoulBallFieldable,131,,,
11,2026/7/31,3,4,足達,Right,舟橋,Right,1,1,2,Slider,BallCalled,111,,,
12,2026/7/31,3,5,足達,Right,舟橋,Right,1,2,2,Fastball,BallCalled,131,,,
13,2026/7/31,3,6,足達,Right,舟橋,Right,1,3,2,Fastball,InPlay,130,Error,GroundBall,
14,2026/7/31,4,1,足達,Right,永田,Right,1,0,0,Fastball,BallCalled,129,,,
15,2026/7/31,4,2,足達,Right,永田,Right,1,1,0,Fastball,FoulBallFieldable,130,,,
16,2026/7/31,4,3,足達,Right,永田,Right,1,1,1,Fastball,InPlay,131,Out,FlyBall,
17,2026/7/31,5,1,足達,Right,渡邊康,Right,2,0,0,Cutter,StrikeCalled,121,,,
18,2026/7/31,5,2,足達,Right,渡邊康,Right,2,0,1,Slider,BallCalled,109,,,
19,2026/7/31,5,3,足達,Right,渡邊康,Right,2,1,1,Fastball,BallCalled,130,,,
20,2026/7/31,5,4,足達,Right,渡邊康,Right,2,2,1,Fastball,InPlay,128,Out,FlyBall,
1,2026/7/31,1,1,俵積田,Right,細谷,Left,0,0,0,Slider,InPlay,116,Out,FlyBall,
2,2026/7/31,2,1,俵積田,Right,片岡,Left,1,0,0,Fastball,StrikeCalled,132,,,
3,2026/7/31,2,2,俵積田,Right,片岡,Left,1,0,1,Slider,FoulBallFieldable,117,,,
4,2026/7/31,2,3,俵積田,Right,片岡,Left,1,0,2,Fastball,FoulBallFieldable,133,,,
5,2026/7/31,2,4,俵積田,Right,片岡,Left,1,0,2,ChangeUp,BallCalled,120,,,
6,2026/7/31,2,5,俵積田,Right,片岡,Left,1,1,2,Fastball,InPlay,132,Out,LineDrive,
7,2026/7/31,3,1,俵積田,Right,今野,Right,2,0,0,Slider,InPlay,110,Out,GroundBall,
1,2026/7/31,1,1,足達,Right,箭原,Left,0,0,0,Fastball,BallCalled,131,,,
2,2026/7/31,1,2,足達,Right,箭原,Left,0,1,0,Fastball,InPlay,129,Error,GroundBall,
3,2026/7/31,2,1,足達,Right,豊田,Right,0,0,0,Fastball,FoulBallFieldable,123,,,
4,2026/7/31,2,2,足達,Right,豊田,Right,0,0,1,Fastball,InPlay,126,Error,Bunt,
5,2026/7/31,3,1,足達,Right,江﨑,Left,0,0,0,Fastball,BallCalled,130,,,
6,2026/7/31,3,2,足達,Right,江﨑,Left,0,1,0,Fastball,FoulBallFieldable,132,,,
7,2026/7/31,3,3,足達,Right,江﨑,Left,0,1,1,Slider,StrikeCalled,108,,,
8,2026/7/31,3,4,足達,Right,江﨑,Left,0,1,2,Fastball,BallCalled,133,,,
9,2026/7/31,3,5,足達,Right,江﨑,Left,0,2,2,Fastball,BallCalled,133,,,
10,2026/7/31,3,6,足達,Right,江﨑,Left,0,3,2,Fastball,BallCalled,127,Walk,,
11,2026/7/31,4,1,足達,Right,原口,Right,0,0,0,Fastball,BallCalled,128,,,
12,2026/7/31,4,2,足達,Right,原口,Right,0,1,0,Fastball,FoulBallFieldable,125,,,
13,2026/7/31,4,3,足達,Right,原口,Right,0,1,1,Fastball,BallCalled,128,,,
14,2026/7/31,4,4,足達,Right,原口,Right,0,2,1,Fastball,BallCalled,128,,,
15,2026/7/31,4,5,足達,Right,原口,Right,0,3,1,Fastball,StrikeCalled,127,Walk,,
1,2026/7/31,1,1,岩﨑龍,Left,西谷,Left,0,0,0,Fastball,BallCalled,128,,,
2,2026/7/31,1,2,岩﨑龍,Left,西谷,Left,0,1,0,Cutter,StrikeCalled,121,,,
3,2026/7/31,1,3,岩﨑龍,Left,西谷,Left,0,1,1,Cutter,InPlay,121,Single,GroundBall,
