PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,RelSpeed
1,2026/7/4,1,1,松田,Right,阿部,Left,0,0,0,Fastball,StrikeCalled,,
2,2026/7/4,1,2,松田,Right,阿部,Left,0,0,1,Fastball,StrikeCalled,,
3,2026/7/4,1,3,松田,Right,阿部,Left,0,0,2,Cutter,BallCalled,,
4,2026/7/4,1,4,松田,Right,阿部,Left,0,1,2,Cutter,FoulBallFieldable,,
5,2026/7/4,1,5,松田,Right,阿部,Left,0,1,2,Fastball,FoulBallFieldable,,
6,2026/7/4,1,6,松田,Right,阿部,Left,0,1,2,Curveball,FoulBallFieldable,,
7,2026/7/4,1,7,松田,Right,阿部,Left,0,1,2,Cutter,InPlay,Out,
8,2026/7/4,2,1,松田,Right,川尻,Right,1,0,0,Slider,FoulBallFieldable,,
9,2026/7/4,2,2,松田,Right,川尻,Right,1,0,1,Cutter,BallCalled,,
10,2026/7/4,2,3,松田,Right,川尻,Right,1,1,1,Fastball,StrikeCalled,,
11,2026/7/4,2,4,松田,Right,川尻,Right,1,1,2,Fastball,FoulBallFieldable,,
12,2026/7/4,2,5,松田,Right,川尻,Right,1,1,2,Fastball,InPlay,Double,
13,2026/7/4,3,1,松田,Right,霜,Right,1,0,0,Cutter,BallCalled,,
14,2026/7/4,3,2,松田,Right,霜,Right,1,1,0,Cutter,StrikeSwinging,,
15,2026/7/4,3,3,松田,Right,霜,Right,1,1,1,Fastball,InPlay,Out,
16,2026/7/4,4,1,松田,Right,寺尾,Right,2,0,0,Fastball,FoulBallFieldable,,
17,2026/7/4,4,2,松田,Right,寺尾,Right,2,0,1,Fastball,BallCalled,,
18,2026/7/4,4,3,松田,Right,寺尾,Right,2,1,1,Fastball,InPlay,Out,
1,2026/7/4,1,1,前田歩,Right,井櫻,Left,0,0,0,Fastball,BallCalled,,
2,2026/7/4,1,2,前田歩,Right,井櫻,Left,0,1,0,Fastball,StrikeCalled,,
3,2026/7/4,1,3,前田歩,Right,井櫻,Left,0,1,1,ChangeUp,BallCalled,,
4,2026/7/4,1,4,前田歩,Right,井櫻,Left,0,2,1,Fastball,InPlay,Out,
5,2026/7/4,2,1,前田歩,Right,山根,Right,1,0,0,Fastball,BallCalled,,
6,2026/7/4,2,2,前田歩,Right,山根,Right,1,1,0,Fastball,FoulBallFieldable,,
7,2026/7/4,2,3,前田歩,Right,山根,Right,1,1,1,Fastball,FoulBallFieldable,,
8,2026/7/4,2,4,前田歩,Right,山根,Right,1,1,2,Slider,BallCalled,,
9,2026/7/4,2,5,前田歩,Right,山根,Right,1,2,2,Slider,StrikeCalled,Out,
10,2026/7/4,3,1,前田歩,Right,岡西,Left,2,0,0,Fastball,BallCalled,,
11,2026/7/4,3,2,前田歩,Right,岡西,Left,2,1,0,Fastball,BallCalled,,
12,2026/7/4,3,3,前田歩,Right,岡西,Left,2,2,0,Fastball,StrikeCalled,,
13,2026/7/4,3,4,前田歩,Right,岡西,Left,2,2,1,Fastball,BallCalled,,
14,2026/7/4,3,5,前田歩,Right,岡西,Left,2,3,1,Slider,BallCalled,,
15,2026/7/4,3,6,前田歩,Right,岡西,Left,2,0,1,Fastball,InPlay,Out,
1,2026/7/4,1,1,松田,Right,尾形,Left,0,0,0,Cutter,InPlay,HomeRun,
2,2026/7/4,2,1,松田,Right,三戸,Left,0,0,0,Fastball,InPlay,Single,
3,2026/7/4,3,1,松田,Right,深谷,Right,0,0,0,Cutter,InPlay,Out,
4,2026/7/4,4,1,松田,Right,渡邊康,Right,1,0,0,Cutter,BallCalled,,
5,2026/7/4,4,2,松田,Right,渡邊康,Right,1,1,0,Cutter,StrikeCalled,,
6,2026/7/4,4,3,松田,Right,渡邊康,Right,1,1,1,Cutter,BallCalled,,
7,2026/7/4,4,4,松田,Right,渡邊康,Right,1,2,1,Cutter,BallCalled,,
8,2026/7/4,4,5,松田,Right,渡邊康,Right,1,3,1,Fastball,BallCalled,Undefined,
9,2026/7/4,5,1,松田,Right,吉田壮,Left,1,0,0,Fastball,StrikeCalled,,
10,2026/7/4,5,2,松田,Right,吉田壮,Left,1,0,1,Fastball,BallCalled,,
11,2026/7/4,5,3,松田,Right,吉田壮,Left,1,1,1,Splitter,BallCalled,,
12,2026/7/4,5,4,松田,Right,吉田壮,Left,1,2,1,Cutter,BallCalled,,
13,2026/7/4,5,5,松田,Right,吉田壮,Left,1,3,1,Fastball,BallCalled,Undefined,
1,2026/7/4,1,1,田中柊,Right,阿部,Left,1,0,0,Cutter,BallCalled,,
2,2026/7/4,1,2,田中柊,Right,阿部,Left,1,1,0,Fastball,FoulBallFieldable,,
