PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/7/4,1,1,平井,Right,野田,Left,0,0,0,Fastball,FoulBallFieldable,,,
2,2026/7/4,1,2,平井,Right,野田,Left,0,0,1,Splitter,BallCalled,,,
3,2026/7/4,1,3,平井,Right,野田,Left,0,1,1,Fastball,BallCalled,,,
4,2026/7/4,1,4,平井,Right,野田,Left,0,2,1,Fastball,FoulBallFieldable,,,
5,2026/7/4,1,5,平井,Right,野田,Left,0,2,2,Slider,BallCalled,,,
6,2026/7/4,1,6,平井,Right,野田,Left,0,3,2,Fastball,BallCalled,,Walk,
7,2026/7/4,2,1,平井,Right,池田,Left,0,0,0,Fastball,StrikeCalled,,,
8,2026/7/4,2,2,平井,Right,池田,Left,0,0,1,Slider,InPlay,,Sacrifice,GroundBall
9,2026/7/4,3,1,平井,Right,石松,Left,1,0,0,Fastball,StrikeCalled,,,
10,2026/7/4,3,2,平井,Right,石松,Left,1,0,1,Slider,FoulBallFieldable,,,
11,2026/7/4,3,3,平井,Right,石松,Left,1,0,2,Fastball,BallCalled,,,
12,2026/7/4,3,4,平井,Right,石松,Left,1,1,2,Fastball,InPlay,,Out,GroundBall
13,2026/7/4,4,1,平井,Right,新井,Left,2,0,0,Splitter,StrikeSwinging,,,
14,2026/7/4,4,2,平井,Right,新井,Left,2,0,1,Slider,StrikeSwinging,,,
15,2026/7/4,4,3,平井,Right,新井,Left,2,0,2,Slider,BallCalled,,,
16,2026/7/4,4,4,平井,Right,新井,Left,2,1,2,Splitter,BallCalled,,,
17,2026/7/4,4,5,平井,Right,新井,Left,2,2,2,Slider,StrikeSwinging,,Strikeout,
1,2026/7/4,1,1,石島,Right,箭原,Right,0,0,0,Fastball,BallCalled,,,
2,2026/7/4,1,2,石島,Right,箭原,Right,0,1,0,Fastball,FoulBallFieldable,,,
3,2026/7/4,1,3,石島,Right,箭原,Right,0,1,1,Slider,BallCalled,,,
4,2026/7/4,1,4,石島,Right,箭原,Right,0,2,1,Slider,BallCalled,,,
5,2026/7/4,1,5,石島,Right,箭原,Right,0,3,1,Fastball,BallCalled,,Walk,
6,2026/7/4,2,1,石島,Right,岩﨑遼,Right,0,0,0,Fastball,StrikeCalled,,,
7,2026/7/4,2,2,石島,Right,岩﨑遼,Right,0,0,1,Fastball,FoulBallFieldable,,,
8,2026/7/4,2,3,石島,Right,岩﨑遼,Right,0,0,2,Slider,BallCalled,,,
9,2026/7/4,2,4,石島,Right,岩﨑遼,Right,0,1,2,Fastball,StrikeCalled,,Strikeout,
10,2026/7/4,3,1,石島,Right,原口,Right,1,0,0,Splitter,BallCalled,,,
11,2026/7/4,3,2,石島,Right,原口,Right,1,1,0,Splitter,BallCalled,,,
12,2026/7/4,3,3,石島,Right,原口,Right,1,2,0,Slider,FoulBallFieldable,,,
13,2026/7/4,3,4,石島,Right,原口,Right,1,2,1,Fastball,BallCalled,,,
14,2026/7/4,3,5,石島,Right,原口,Right,1,3,1,Slider,BallCalled,,Walk,
1,2026/7/4,1,1,福山,Right,古田,Right,0,0,0,Slider,StrikeCalled,,,
2,2026/7/4,1,2,福山,Right,古田,Right,0,0,1,Slider,InPlay,,Out,FlyBall
3,2026/7/4,2,1,福山,Right,國光,Left,1,0,0,Fastball,InPlay,,Out,GroundBall
1,2026/7/4,1,1,平井,Right,茨木,Left,0,0,0,Fastball,StrikeCalled,,,
2,2026/7/4,1,2,平井,Right,茨木,Left,0,0,1,Fastball,BallCalled,,,
3,2026/7/4,1,3,平井,Right,茨木,Left,0,1,1,Fastball,InPlay,,Out,FlyBall
4,2026/7/4,2,1,平井,Right,荘川,Left,1,0,0,Slider,StrikeCalled,,,
