PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/8/2,1,1,千葉,Left,新井,Left,0,0,0,Slider,InPlay,103,Out,FlyBall
2,2026/8/2,2,1,千葉,Left,髙橋海,Right,1,0,0,Slider,BallCalled,105,,
3,2026/8/2,2,2,千葉,Left,髙橋海,Right,1,1,0,Fastball,StrikeCalled,,,
4,2026/8/2,2,3,千葉,Left,髙橋海,Right,1,1,1,Curveball,FoulBallFieldable,94,,
5,2026/8/2,2,4,千葉,Left,髙橋海,Right,1,1,2,Fastball,BallCalled,,,
6,2026/8/2,2,5,千葉,Left,髙橋海,Right,1,2,2,Slider,BallCalled,101,,
7,2026/8/2,2,6,千葉,Left,髙橋海,Right,1,3,2,Fastball,BallCalled,131,Walk,
8,2026/8/2,3,1,千葉,Left,小松騎,Right,1,0,0,Slider,StrikeCalled,,,
9,2026/8/2,3,2,千葉,Left,小松騎,Right,1,0,1,Fastball,BallCalled,124,,
10,2026/8/2,3,3,千葉,Left,小松騎,Right,1,1,1,Slider,InPlay,105,Out,GroundBall
11,2026/8/2,4,1,千葉,Left,寺尾,Right,2,0,0,Curveball,BallCalled,91,,
12,2026/8/2,4,2,千葉,Left,寺尾,Right,2,1,0,Slider,InPlay,102,Out,FlyBall
1,2026/8/2,1,1,中村心,Left,津田,Left,0,0,0,Fastball,StrikeCalled,139,,
2,2026/8/2,1,2,中村心,Left,津田,Left,0,0,1,Fastball,InPlay,,Out,GroundBall
3,2026/8/2,2,1,中村心,Left,岩﨑遼,Right,1,0,0,Fastball,BallCalled,,,
4,2026/8/2,2,2,中村心,Left,岩﨑遼,Right,1,1,0,Fastball,BallCalled,138,,
5,2026/8/2,2,3,中村心,Left,岩﨑遼,Right,1,2,0,Slider,StrikeCalled,,,
6,2026/8/2,2,4,中村心,Left,岩﨑遼,Right,1,2,1,Cutter,InPlay,128,Error,Popup
7,2026/8/2,3,1,中村心,Left,岡西,Left,1,0,0,Cutter,StrikeCalled,128,,
8,2026/8/2,3,2,中村心,Left,岡西,Left,1,0,1,Fastball,BallCalled,,,
9,2026/8/2,3,3,中村心,Left,岡西,Left,1,1,1,Cutter,BallCalled,129,,
10,2026/8/2,3,4,中村心,Left,岡西,Left,1,2,1,Fastball,BallCalled,,,
11,2026/8/2,3,5,中村心,Left,岡西,Left,1,3,1,Cutter,StrikeSwinging,128,,
12,2026/8/2,3,6,中村心,Left,岡西,Left,1,3,2,Cutter,FoulBallFieldable,129,,
13,2026/8/2,3,7,中村心,Left,岡西,Left,1,3,2,Cutter,InPlay,128,Out,FlyBall
14,2026/8/2,4,1,中村心,Left,大平,Right,2,0,0,Fastball,StrikeCalled,142,,
15,2026/8/2,4,2,中村心,Left,大平,Right,2,0,1,Fastball,InPlay,144,Out,GroundBall
1,2026/8/2,1,1,千葉,Left,中村吏,Right,0,0,0,Slider,BallCalled,118,,
2,2026/8/2,1,2,千葉,Left,中村吏,Right,0,1,0,Curveball,StrikeCalled,102,,
3,2026/8/2,1,3,千葉,Left,中村吏,Right,0,1,1,Fastball,InPlay,,Single,GroundBall
4,2026/8/2,2,1,千葉,Left,石松,Left,0,0,0,ChangeUp,FoulBallFieldable,112,,
5,2026/8/2,2,2,千葉,Left,石松,Left,0,0,1,Curveball,StrikeCalled,100,,
6,2026/8/2,2,3,千葉,Left,石松,Left,0,0,2,Slider,FoulBallFieldable,103,Out,
7,2026/8/2,3,1,千葉,Left,小室,Right,1,0,0,Fastball,BallCalled,124,,
8,2026/8/2,3,2,千葉,Left,小室,Right,1,1,0,Curveball,BallCalled,99,,
9,2026/8/2,3,3,千葉,Left,小室,Right,1,2,0,Slider,BallCalled,,,
10,2026/8/2,3,4,千葉,Left,小室,Right,1,3,0,Slider,StrikeCalled,,,
11,2026/8/2,3,5,千葉,Left,小室,Right,1,3,1,Fastball,InPlay,122,Out,GroundBall
1,2026/8/2,1,1,中村心,Left,片岡,Left,0,0,0,ChangeUp,StrikeCalled,131,,
2,2026/8/2,1,2,中村心,Left,片岡,Left,0,0,1,Fastball,StrikeCalled,140,,
3,2026/8/2,1,3,中村心,Left,片岡,Left,0,0,2,Fastball,InPlay,143,Out,GroundBall
4,2026/8/2,2,1,中村心,Left,渡邊康,Right,1,0,0,ChangeUp,InPlay,134,Out,FlyBall
5,2026/8/2,3,1,中村心,Left,茨木,Left,2,0,0,Fastball,StrikeCalled,140,,
6,2026/8/2,3,2,中村心,Left,茨木,Left,2,0,1,Cutter,BallCalled,129,,
7,2026/8/2,3,3,中村心,Left,茨木,Left,2,1,1,Fastball,InPlay,141,Out,FlyBall
1,2026/8/2,1,1,千葉,Left,今野,Right,0,0,0,Fastball,InPlay,,Out,FlyBall
2,2026/8/2,2,1,千葉,Left,野田,Left,1,0,0,Curveball,BallCalled,102,,
3,2026/8/2,2,2,千葉,Left,野田,Left,1,1,0,Fastball,StrikeCalled,116,,
4,2026/8/2,2,3,千葉,Left,野田,Left,1,1,1,Fastball,BallCalled,122,,
5,2026/8/2,2,4,千葉,Left,野田,Left,1,2,1,Curveball,StrikeCalled,105,,
6,2026/8/2,2,5,千葉,Left,野田,Left,1,2,2,ChangeUp,BallCalled,,,
7,2026/8/2,2,6,千葉,Left,野田,Left,1,3,2,Fastball,InPlay,124,Out,GroundBall
8,2026/8/2,3,1,千葉,Left,新井,Left,2,0,0,Curveball,StrikeCalled,91,,
9,2026/8/2,3,2,千葉,Left,新井,Left,2,0,1,Curveball,BallCalled,104,,
10,2026/8/2,3,3,千葉,Left,新井,Left,2,1,1,Slider,BallCalled,,,
11,2026/8/2,3,4,千葉,Left,新井,Left,2,2,1,Fastball,FoulBallFieldable,120,,
12,2026/8/2,3,5,千葉,Left,新井,Left,2,2,2,Slider,StrikeSwinging,109,Out,
1,2026/8/2,1,1,中村心,Left,髙橋隆,Left,0,0,0,Fastball,BallCalled,137,,
2,2026/8/2,1,2,中村心,Left,髙橋隆,Left,0,1,0,Cutter,FoulBallFieldable,129,,
3,2026/8/2,1,3,中村心,Left,髙橋隆,Left,0,1,1,Fastball,StrikeCalled,142,,
4,2026/8/2,1,4,中村心,Left,髙橋隆,Left,0,1,2,ChangeUp,InPlay,135,Out,GroundBall
5,2026/8/2,2,1,中村心,Left,江﨑,Left,1,0,0,Cutter,StrikeCalled,130,,
6,2026/8/2,2,2,中村心,Left,江﨑,Left,1,0,1,Fastball,StrikeSwinging,,,
7,2026/8/2,2,3,中村心,Left,江﨑,Left,1,0,2,Fastball,FoulBallFieldable,143,,
8,2026/8/2,2,4,中村心,Left,江﨑,Left,1,0,2,Fastball,FoulBallFieldable,142,,
9,2026/8/2,2,5,中村心,Left,江﨑,Left,1,0,2,Cutter,InPlay,130,Out,GroundBall
10,2026/8/2,3,1,中村心,Left,津田,Left,2,0,0,Fastball,InPlay,136,Out,FlyBall
1,2026/8/2,1,1,千葉,Left,髙橋海,Right,0,0,0,Curveball,StrikeCalled,92,,
2,2026/8/2,1,2,千葉,Left,髙橋海,Right,0,0,1,Fastball,BallCalled,126,,
3,2026/8/2,1,3,千葉,Left,髙橋海,Right,0,1,1,Slider,BallCalled,105,,
4,2026/8/2,1,4,千葉,Left,髙橋海,Right,0,2,1,Fastball,InPlay,124,Out,Popup
5,2026/8/2,2,1,千葉,Left,小松騎,Right,1,0,0,Fastball,InPlay,123,Error,GroundBall
6,2026/8/2,3,1,千葉,Left,寺尾,Right,1,0,0,ChangeUp,StrikeCalled,,,
7,2026/8/2,3,2,千葉,Left,寺尾,Right,1,0,1,Slider,BallCalled,102,,
8,2026/8/2,3,3,千葉,Left,寺尾,Right,1,1,1,Fastball,BallCalled,123,,
9,2026/8/2,3,4,千葉,Left,寺尾,Right,1,2,1,Slider,BallCalled,105,,
10,2026/8/2,3,5,千葉,Left,寺尾,Right,1,3,1,Fastball,BallCalled,123,Walk,
11,2026/8/2,4,1,千葉,Left,中村吏,Right,1,0,0,Slider,StrikeCalled,106,,
12,2026/8/2,4,2,千葉,Left,中村吏,Right,1,0,1,ChangeUp,BallCalled,,,
13,2026/8/2,4,3,千葉,Left,中村吏,Right,1,1,1,Slider,BallCalled,104,,
14,2026/8/2,4,4,千葉,Left,中村吏,Right,1,2,1,Slider,FoulBallFieldable,104,,
15,2026/8/2,4,5,千葉,Left,中村吏,Right,1,2,2,Fastball,InPlay,124,Out,FlyBall
