PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
1,2026/3/23,1,1,宮城,Left,1,Left,0,0,0,Fastball,StrikeCalled,137,,,
2,2026/3/23,1,2,宮城,Left,1,Left,0,0,1,Fastball,FoulBallFieldable,139,,,
3,2026/3/23,1,3,宮城,Left,1,Left,0,0,2,Cutter,StrikeSwinging,125,Strikeout,,
4,2026/3/23,2,1,宮城,Left,2,Right,1,0,0,Fastball,BallCalled,138,,,
5,2026/3/23,2,2,宮城,Left,2,Right,1,1,0,Fastball,FoulBallFieldable,,,,
6,2026/3/23,2,3,宮城,Left,2,Right,1,1,1,Fastball,InPlay,138,Single,GroundBall,
7,2026/3/23,3,1,宮城,Left,3,Left,1,0,0,Cutter,BallCalled,,HitByPitch,,
8,2026/3/23,4,1,宮城,Left,4,Left,1,0,0,Fastball,BallCalled,140,,,
9,2026/3/23,4,2,宮城,Left,4,Left,1,1,0,Fastball,StrikeSwinging,142,,,
10,2026/3/23,4,3,宮城,Left,4,Left,1,1,1,Cutter,BallCalled,128,,,
11,2026/3/23,4,4,宮城,Left,4,Left,1,2,1,Cutter,FoulBallFieldable,127,,,
12,2026/3/23,4,5,宮城,Left,4,Left,1,2,2,Cutter,StrikeSwinging,,Strikeout,,
13,2026/3/23,5,1,宮城,Left,5,Right,2,0,0,Splitter,StrikeSwinging,130,,,
14,2026/3/23,5,2,宮城,Left,5,Right,2,0,1,Fastball,BallCalled,138,,,
15,2026/3/23,5,3,宮城,Left,5,Right,2,1,1,Fastball,StrikeCalled,137,,,
16,2026/3/23,5,4,宮城,Left,5,Right,2,1,2,Splitter,StrikeSwinging,133,Strikeout,,
17,2026/3/23,1,1,宮城,Left,6,Right,0,0,0,Splitter,BallCalled,127,,,
18,2026/3/23,1,2,宮城,Left,6,Right,0,1,0,Splitter,InPlay,122,Out,GroundBall,
19,2026/3/23,2,1,宮城,Left,7,Left,1,0,0,Fastball,StrikeCalled,138,,,
20,2026/3/23,2,2,宮城,Left,7,Left,1,0,1,Cutter,StrikeSwinging,125,,,
21,2026/3/23,2,3,宮城,Left,7,Left,1,0,2,Fastball,BallCalled,139,,,
22,2026/3/23,2,4,宮城,Left,7,Left,1,1,2,Splitter,FoulBallFieldable,131,,,
23,2026/3/23,2,5,宮城,Left,7,Left,1,1,2,Slider,BallCalled,117,,,
24,2026/3/23,2,6,宮城,Left,7,Left,1,2,2,Cutter,InPlay,127,Out,GroundBall,
25,2026/3/23,3,1,宮城,Left,8,Right,2,0,0,Fastball,BallCalled,,,,
26,2026/3/23,3,2,宮城,Left,8,Right,2,1,0,Splitter,BallCalled,127,,,
27,2026/3/23,3,3,宮城,Left,8,Right,2,2,0,Fastball,BallCalled,140,,,
28,2026/3/23,3,4,宮城,Left,8,Right,2,3,0,Fastball,StrikeCalled,142,,,
29,2026/3/23,3,5,宮城,Left,8,Right,2,3,1,Cutter,InPlay,,Single,LineDrive,
30,2026/3/23,4,1,宮城,Left,9,Right,2,0,0,Fastball,StrikeCalled,139,,,
31,2026/3/23,4,2,宮城,Left,9,Right,2,0,1,Fastball,FoulBallFieldable,140,,,
32,2026/3/23,4,3,宮城,Left,9,Right,2,0,2,Splitter,BallCalled,121,,,
33,2026/3/23,4,4,宮城,Left,9,Right,2,1,2,Fastball,InPlay,135,Out,GroundBall,
34,2026/3/23,1,1,宮城,Left,1,Left,0,0,0,Fastball,StrikeCalled,137,,,
35,2026/3/23,1,2,宮城,Left,1,Left,0,0,1,Fastball,StrikeSwinging,141,,,
36,2026/3/23,1,3,宮城,Left,1,Left,0,0,2,Fastball,FoulBallFieldable,139,,,
37,2026/3/23,1,4,宮城,Left,1,Left,0,0,2,Fastball,InPlay,140,Single,LineDrive,
38,2026/3/23,2,1,宮城,Left,2,Left,0,0,0,Cutter,BallCalled,123,,,
39,2026/3/23,2,2,宮城,Left,2,Left,0,1,0,Cutter,InPlay,128,Single,LineDrive,
40,2026/3/23,3,1,宮城,Left,3,Left,0,0,0,Cutter,FoulBallFieldable,128,,,
41,2026/3/23,3,2,宮城,Left,3,Left,0,0,1,Cutter,FoulBallFieldable,124,,,
42,2026/3/23,3,3,宮城,Left,3,Left,0,0,2,Cutter,InPlay,128,Out,GroundBall,
43,2026/3/23,4,1,宮城,Left,4,Left,1,0,0,Splitter,BallCalled,130,,,
44,2026/3/23,4,2,宮城,Left,4,Left,1,1,0,Fastball,BallCalled,141,HitByPitch,,
45,2026/3/23,5,1,宮城,Left,5,Right,1,0,0,Splitter,InPlay,127,Out,GroundBall,
46,2026/3/23,6,1,宮城,Left,6,Right,2,0,0,Fastball,BallCalled,135,,,
47,2026/3/23,6,2,宮城,Left,6,Right,2,1,0,Fastball,StrikeCalled,135,,,
48,2026/3/23,6,3,宮城,Left,6,Right,2,1,1,Fastball,StrikeCalled,,,,
49,2026/3/23,6,4,宮城,Left,6,Right,2,1,2,Cutter,FoulBallFieldable,122,,,
50,2026/3/23,6,5,宮城,Left,6,Right,2,1,2,Splitter,BallCalled,133,,,
51,2026/3/23,6,6,宮城,Left,6,Right,2,2,2,Fastball,FoulBallFieldable,,,,
52,2026/3/23,6,7,宮城,Left,6,Right,2,2,2,Cutter,FoulBallFieldable,127,,,
53,2026/3/23,6,8,宮城,Left,6,Right,2,2,2,Slider,InPlay,123,Out,FlyBall,
54,2026/3/23,1,1,宮城,Left,7,Left,0,0,0,Slider,InPlay,121,Out,GroundBall,
55,2026/3/23,2,1,宮城,Left,8,Right,1,0,0,Fastball,StrikeCalled,,,,
56,2026/3/23,2,2,宮城,Left,8,Right,1,0,1,Fastball,StrikeCalled,136,,,
57,2026/3/23,2,3,宮城,Left,8,Right,1,0,2,Splitter,BallCalled,130,,,
58,2026/3/23,2,4,宮城,Left,8,Right,1,1,2,Fastball,BallCalled,139,,,
59,2026/3/23,2,5,宮城,Left,8,Right,1,2,2,Cutter,InPlay,128,Single,FlyBall,
60,2026/3/23,3,1,宮城,Left,9,Right,1,0,0,Fastball,BallCalled,138,,,
61,2026/3/23,3,2,宮城,Left,9,Right,1,1,0,Slider,InPlay,,Sacrifice,Bunt,
62,2026/3/23,4,1,宮城,Left,1,Left,2,0,0,Slider,FoulBallFieldable,120,,,
63,2026/3/23,4,2,宮城,Left,1,Left,2,0,1,Splitter,StrikeSwinging,,,,
64,2026/3/23,4,3,宮城,Left,1,Left,2,0,2,Fastball,BallCalled,,,,
65,2026/3/23,4,4,宮城,Left,1,Left,2,1,2,Splitter,BallCalled,132,,,
66,2026/3/23,4,5,宮城,Left,1,Left,2,2,2,Cutter,InPlay,131,Single,GroundBall,
67,2026/3/23,5,1,宮城,Left,2,Left,2,0,0,Cutter,InPlay,125,Single,GroundBall,
68,2026/3/23,1,1,宮城,Left,3,Left,0,0,0,Slider,StrikeSwinging,120,,,
69,2026/3/23,1,2,宮城,Left,3,Left,0,0,1,Slider,StrikeSwinging,125,,,
70,2026/3/23,1,3,宮城,Left,3,Left,0,0,2,Slider,FoulBallFieldable,118,,,
71,2026/3/23,1,4,宮城,Left,3,Left,0,0,2,Cutter,StrikeSwinging,126,Strikeout,,
72,2026/3/23,2,1,宮城,Left,4,Left,1,0,0,Fastball,BallCalled,140,HitByPitch,,
73,2026/3/23,3,1,宮城,Left,5,Right,1,0,0,Fastball,StrikeCalled,,,,
74,2026/3/23,3,2,宮城,Left,5,Right,1,0,1,Fastball,BallCalled,,,,
