PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
1,2026/9/1,1,1,佐宗,Left,1,Right,0,0,0,Fastball,FoulBallFieldable,128,,,
2,2026/9/1,1,2,佐宗,Left,1,Right,0,0,1,Fastball,StrikeSwinging,126,,,
3,2026/9/1,1,3,佐宗,Left,1,Right,0,0,2,TwoSeamFastball,InPlay,134,Single,GroundBall,
4,2026/9/1,2,1,佐宗,Left,2,Left,0,0,0,Fastball,InPlay,-,FieldersChoice,GroundBall,
5,2026/9/1,3,1,佐宗,Left,3,Right,1,0,0,Fastball,BallCalled,-,,,
6,2026/9/1,3,2,佐宗,Left,3,Right,1,1,0,Fastball,BallCalled,141,HitByPitch,,
7,2026/9/1,4,1,佐宗,Left,4,Right,1,0,0,Slider,InPlay,128,Double,GroundBall,
8,2026/9/1,5,1,佐宗,Left,5,Right,1,0,0,Fastball,InPlay,145,Single,LineDrive,
9,2026/9/1,6,1,佐宗,Left,6,Right,1,0,0,Fastball,StrikeSwinging,142,,,
10,2026/9/1,6,2,佐宗,Left,6,Right,1,0,1,Fastball,FoulBallFieldable,141,,,
11,2026/9/1,6,3,佐宗,Left,6,Right,1,0,2,Fastball,BallCalled,130,,,
12,2026/9/1,6,4,佐宗,Left,6,Right,1,1,2,TwoSeamFastball,InPlay,143,Out,GroundBall,
13,2026/9/1,7,1,佐宗,Left,7,Right,2,0,0,Fastball,StrikeCalled,-,,,
14,2026/9/1,7,2,佐宗,Left,7,Right,2,0,1,TwoSeamFastball,StrikeSwinging,-,,,
15,2026/9/1,7,3,佐宗,Left,7,Right,2,0,2,Fastball,BallCalled,-,,,
16,2026/9/1,7,4,佐宗,Left,7,Right,2,1,2,TwoSeamFastball,InPlay,-,Out,GroundBall,
17,2026/9/1,1,1,佐宗,Left,8,Left,0,0,0,Slider,BallCalled,128,,,
18,2026/9/1,1,2,佐宗,Left,8,Left,0,1,0,Fastball,FoulBallFieldable,141,,,
19,2026/9/1,1,3,佐宗,Left,8,Left,0,1,1,Slider,FoulBallFieldable,127,,,
20,2026/9/1,1,4,佐宗,Left,8,Left,0,1,2,Fastball,BallCalled,142,,,
21,2026/9/1,1,5,佐宗,Left,8,Left,0,2,2,Fastball,InPlay,142,Single,GroundBall,
22,2026/9/1,2,1,佐宗,Left,9,Right,0,0,0,Fastball,InPlay,139,Sacrifice,GroundBall,
23,2026/9/1,3,1,佐宗,Left,1,Right,1,0,0,TwoSeamFastball,BallCalled,131,,,
24,2026/9/1,3,2,佐宗,Left,1,Right,1,1,0,Fastball,FoulBallFieldable,140,,,
25,2026/9/1,3,3,佐宗,Left,1,Right,1,1,1,Slider,InPlay,128,Out,FlyBall,
26,2026/9/1,4,1,佐宗,Left,2,Left,2,0,0,Fastball,BallCalled,138,,,
27,2026/9/1,4,2,佐宗,Left,2,Left,2,1,0,Fastball,BallCalled,139,,,
28,2026/9/1,4,3,佐宗,Left,2,Left,2,2,0,Slider,BallCalled,127,,,
29,2026/9/1,4,4,佐宗,Left,2,Left,2,3,0,Fastball,InPlay,-,Out,GroundBall,2
30,2026/9/1,1,1,佐宗,Left,3,Right,0,0,0,TwoSeamFastball,BallCalled,131,,,
31,2026/9/1,1,2,佐宗,Left,3,Right,0,1,0,Fastball,BallCalled,-,,,
32,2026/9/1,1,3,佐宗,Left,3,Right,0,2,0,TwoSeamFastball,StrikeSwinging,136,,,
33,2026/9/1,1,4,佐宗,Left,3,Right,0,2,1,Slider,InPlay,129,Out,FlyBall,
34,2026/9/1,2,1,佐宗,Left,4,Right,1,0,0,Fastball,BallCalled,141,,,
35,2026/9/1,2,2,佐宗,Left,4,Right,1,1,0,Slider,BallCalled,131,,,
36,2026/9/1,2,3,佐宗,Left,4,Right,1,2,0,Fastball,StrikeCalled,137,,,
37,2026/9/1,2,4,佐宗,Left,4,Right,1,2,1,Fastball,InPlay,139,Out,FlyBall,
38,2026/9/1,3,1,佐宗,Left,5,Right,2,0,0,Slider,BallCalled,124,,,
39,2026/9/1,3,2,佐宗,Left,5,Right,2,1,0,Fastball,BallCalled,140,,,
40,2026/9/1,3,3,佐宗,Left,5,Right,2,2,0,TwoSeamFastball,StrikeSwinging,137,,,
41,2026/9/1,3,4,佐宗,Left,5,Right,2,2,1,Fastball,StrikeCalled,140,,,
42,2026/9/1,3,5,佐宗,Left,5,Right,2,2,2,TwoSeamFastball,InPlay,131,Out,FlyBall,
43,2026/9/1,1,1,佐宗,Left,6,Right,0,0,0,Slider,FoulBallFieldable,126,,,
44,2026/9/1,1,2,佐宗,Left,6,Right,0,0,1,Curveball,BallCalled,100,,,
45,2026/9/1,1,3,佐宗,Left,6,Right,0,1,1,Fastball,StrikeCalled,139,,,
46,2026/9/1,1,4,佐宗,Left,6,Right,0,1,2,Slider,StrikeCalled,129,Single,FlyBall,
47,2026/9/1,2,1,佐宗,Left,7,Right,0,0,0,TwoSeamFastball,InPlay,130,Out,GroundBall,
48,2026/9/1,3,1,佐宗,Left,8,Left,2,0,0,Fastball,FoulBallFieldable,137,,,
49,2026/9/1,3,2,佐宗,Left,8,Left,2,0,1,Curveball,BallCalled,99,,,
50,2026/9/1,3,3,佐宗,Left,8,Left,2,1,1,Cutter,StrikeSwinging,128,,,
51,2026/9/1,3,4,佐宗,Left,8,Left,2,1,2,Cutter,BallCalled,134,,,
52,2026/9/1,3,5,佐宗,Left,8,Left,2,2,2,Cutter,InPlay,131,Out,GroundBall,
53,2026/9/1,1,1,佐宗,Left,9,Right,0,0,0,TwoSeamFastball,BallCalled,137,,,
54,2026/9/1,1,2,佐宗,Left,9,Right,0,1,0,Fastball,FoulBallFieldable,139,,,
55,2026/9/1,1,3,佐宗,Left,9,Right,0,1,1,Curveball,BallCalled,101,,,
56,2026/9/1,1,4,佐宗,Left,9,Right,0,2,1,TwoSeamFastball,InPlay,135,Single,GroundBall,
57,2026/9/1,2,1,佐宗,Left,1,Right,0,0,0,TwoSeamFastball,InPlay,130,Out,GroundBall,
58,2026/9/1,3,1,佐宗,Left,2,Left,1,0,0,Cutter,InPlay,132,Single,LineDrive,
59,2026/9/1,4,1,佐宗,Left,3,Right,1,0,0,Slider,BallCalled,123,,,
60,2026/9/1,4,2,佐宗,Left,3,Right,1,1,0,Fastball,StrikeCalled,138,,,
61,2026/9/1,4,3,佐宗,Left,3,Right,1,1,1,TwoSeamFastball,StrikeCalled,135,,,
62,2026/9/1,4,4,佐宗,Left,3,Right,1,1,2,Splitter,FoulBallFieldable,130,,,
63,2026/9/1,4,5,佐宗,Left,3,Right,1,1,2,Fastball,FoulBallFieldable,140,,,
64,2026/9/1,4,6,佐宗,Left,3,Right,1,1,2,TwoSeamFastball,InPlay,138,Single,LineDrive,
65,2026/9/1,5,1,佐宗,Left,4,Right,1,0,0,TwoSeamFastball,BallCalled,134,,,
66,2026/9/1,5,2,佐宗,Left,4,Right,1,1,0,TwoSeamFastball,InPlay,134,Out,GroundBall,
1,2026/9/1,1,1,田中,Right,5,Right,0,0,0,Cutter,BallCalled,132,,,
2,2026/9/1,1,2,田中,Right,5,Right,0,1,0,Fastball,StrikeCalled,-,,,
3,2026/9/1,1,3,田中,Right,5,Right,0,1,1,Fastball,BallCalled,137,,,
4,2026/9/1,1,4,田中,Right,5,Right,0,2,1,Slider,BallCalled,120,,,
5,2026/9/1,1,5,田中,Right,5,Right,0,3,1,Fastball,FoulBallFieldable,-,,,
6,2026/9/1,1,6,田中,Right,5,Right,0,3,2,Fastball,StrikeSwinging,138,Out,,
7,2026/9/1,2,1,田中,Right,6,Right,1,0,0,ChangeUp,StrikeSwinging,117,,,
