PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/9/10,1,1,宮城,Left,井櫻,Left,0,0,0,Cutter,StrikeCalled,126,,
2,2026/9/10,1,2,宮城,Left,井櫻,Left,0,0,1,Slider,BallCalled,121,,
3,2026/9/10,1,3,宮城,Left,井櫻,Left,0,1,1,Fastball,InPlay,142,Single,
4,2026/9/10,2,1,宮城,Left,山根,Right,0,0,0,Splitter,StrikeCalled,126,,
5,2026/9/10,2,2,宮城,Left,山根,Right,0,0,1,Cutter,InPlay,126,Sacrifice,Bunt
6,2026/9/10,3,1,宮城,Left,岡西,Left,1,0,0,Fastball,StrikeCalled,141,,
7,2026/9/10,3,2,宮城,Left,岡西,Left,1,0,1,Slider,StrikeSwinging,123,,
8,2026/9/10,3,3,宮城,Left,岡西,Left,1,0,2,Cutter,FoulBallFieldable,128,,
9,2026/9/10,3,4,宮城,Left,岡西,Left,1,0,2,Fastball,BallCalled,142,,
10,2026/9/10,3,5,宮城,Left,岡西,Left,1,1,2,Slider,FoulBallFieldable,122,,
11,2026/9/10,3,6,宮城,Left,岡西,Left,1,1,2,Cutter,StrikeSwinging,126,Strikeout,
12,2026/9/10,4,1,宮城,Left,川尻,Right,2,0,0,Splitter,StrikeCalled,129,,
13,2026/9/10,4,2,宮城,Left,川尻,Right,2,0,1,Fastball,StrikeCalled,144,,
14,2026/9/10,4,3,宮城,Left,川尻,Right,2,0,2,Fastball,BallCalled,142,,
15,2026/9/10,4,4,宮城,Left,川尻,Right,2,1,2,Fastball,InPlay,,Out,FlyBall
16,2026/9/10,1,1,宮城,Left,德丸,Left,0,0,0,Fastball,StrikeCalled,142,,
17,2026/9/10,1,2,宮城,Left,德丸,Left,0,0,1,Curveball,InPlay,104,HitByPitch,
18,2026/9/10,2,1,宮城,Left,髙橋海,Right,0,0,0,Slider,BallCalled,140,,
19,2026/9/10,2,2,宮城,Left,髙橋海,Right,0,1,0,Cutter,StrikeCalled,126,,
20,2026/9/10,2,3,宮城,Left,髙橋海,Right,0,1,1,Splitter,InPlay,127,Out,GroundBall
21,2026/9/10,3,1,宮城,Left,黒須,Left,2,0,0,Curveball,StrikeCalled,110,,
22,2026/9/10,3,2,宮城,Left,黒須,Left,2,0,1,Fastball,BallCalled,,,
23,2026/9/10,3,3,宮城,Left,黒須,Left,2,1,1,Fastball,InPlay,142,Out,GroundBall
24,2026/9/10,1,1,宮城,Left,阿部,Left,0,0,0,Fastball,StrikeSwinging,141,,
25,2026/9/10,1,2,宮城,Left,阿部,Left,0,0,1,Slider,BallCalled,123,,
26,2026/9/10,1,3,宮城,Left,阿部,Left,0,1,1,Cutter,StrikeSwinging,130,,
27,2026/9/10,1,4,宮城,Left,阿部,Left,0,1,2,Fastball,BallCalled,136,,
28,2026/9/10,1,5,宮城,Left,阿部,Left,0,2,2,Slider,InPlay,124,Out,FlyBall
29,2026/9/10,2,1,宮城,Left,大内,Left,1,0,0,Fastball,BallCalled,139,,
30,2026/9/10,2,2,宮城,Left,大内,Left,1,1,0,Fastball,StrikeCalled,140,,
31,2026/9/10,2,3,宮城,Left,大内,Left,1,1,1,Fastball,InPlay,140,Out,GroundBall
32,2026/9/10,3,1,宮城,Left,中村吏,Right,2,0,0,Splitter,BallCalled,128,,
33,2026/9/10,3,2,宮城,Left,中村吏,Right,2,1,0,Fastball,BallCalled,139,,
34,2026/9/10,3,3,宮城,Left,中村吏,Right,2,2,0,Splitter,BallCalled,128,,
35,2026/9/10,3,4,宮城,Left,中村吏,Right,2,3,0,Fastball,StrikeCalled,139,,
36,2026/9/10,3,5,宮城,Left,中村吏,Right,2,3,1,Fastball,StrikeCalled,138,,
37,2026/9/10,3,6,宮城,Left,中村吏,Right,2,3,2,Fastball,BallCalled,139,Walk,
38,2026/9/10,4,1,宮城,Left,山根,Right,2,0,0,Fastball,FoulBallFieldable,136,,
39,2026/9/10,4,2,宮城,Left,山根,Right,2,0,1,Splitter,FoulBallFieldable,127,,
40,2026/9/10,4,3,宮城,Left,山根,Right,2,0,2,Fastball,BallCalled,141,,
41,2026/9/10,4,4,宮城,Left,山根,Right,2,1,2,Splitter,StrikeCalled,128,,
42,2026/9/10,4,5,宮城,Left,山根,Right,2,1,2,Cutter,InPlay,130,Single,LineDrive
43,2026/9/10,5,1,宮城,Left,德丸,Left,2,0,0,Cutter,BallCalled,126,,
44,2026/9/10,5,2,宮城,Left,德丸,Left,2,1,0,Slider,FoulBallFieldable,122,,
45,2026/9/10,5,3,宮城,Left,德丸,Left,2,1,1,Fastball,BallCalled,141,,
