PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/3/23,1,1,安田,Right,1,Left,0,0,0,Fastball,FoulBallFieldable,,,
2,2026/3/23,1,2,安田,Right,1,Left,0,0,1,Fastball,FoulBallFieldable,,,
3,2026/3/23,1,3,安田,Right,1,Left,0,#REF!,#REF!,Fastball,BallCalled,,,
4,2026/3/23,1,4,安田,Right,1,Left,0,#REF!,#REF!,ChangeUp,BallCalled,,,
5,2026/3/23,1,5,安田,Right,1,Left,0,#REF!,#REF!,TwoSeamFastball,StrikeSwinging,,Strikeout,
6,2026/3/23,2,1,安田,Right,2,Right,1,0,0,Fastball,BallCalled,,,
7,2026/3/23,2,2,安田,Right,2,Right,1,1,0,Fastball,FoulBallFieldable,,,
8,2026/3/23,2,3,安田,Right,2,Right,1,1,1,Slider,FoulBallNotFieldable,,,
9,2026/3/23,2,4,安田,Right,2,Right,1,1,2,Fastball,FoulBallNotFieldable,,,
10,2026/3/23,2,5,安田,Right,2,Right,1,1,2,ChangeUp,StrikeSwinging,,Strikeout,
11,2026/3/23,3,1,安田,Right,3,Left,2,0,0,ChangeUp,InPlay,,Out,GroundBall
1,2026/3/23,1,1,安田,Right,4,Right,0,0,0,ChangeUp,FoulBallFieldable,,,
2,2026/3/23,1,2,安田,Right,4,Right,0,0,1,Slider,InPlay,,Out,FlyBall
3,2026/3/23,2,1,安田,Right,5,Right,1,0,0,Curveball,StrikeCalled,109,,
4,2026/3/23,2,2,安田,Right,5,Right,1,0,1,Fastball,FoulBallNotFieldable,142,,
5,2026/3/23,2,3,安田,Right,5,Right,1,0,2,Slider,BallCalled,124,,
6,2026/3/23,2,4,安田,Right,5,Right,1,1,2,Fastball,BallCalled,142,,
7,2026/3/23,2,5,安田,Right,5,Right,1,2,2,TwoSeamFastball,FoulBallNotFieldable,118,,
8,2026/3/23,2,6,安田,Right,5,Right,1,2,2,TwoSeamFastball,InPlay,118,Out,GroundBall
9,2026/3/23,3,1,安田,Right,6,Left,2,0,0,Fastball,FoulBallFieldable,139,,
10,2026/3/23,3,2,安田,Right,6,Left,2,0,1,ChangeUp,BallCalled,123,,
11,2026/3/23,3,3,安田,Right,6,Left,2,1,1,ChangeUp,BallCalled,,,
12,2026/3/23,3,4,安田,Right,6,Left,2,2,1,TwoSeamFastball,InPlay,120,Out,GroundBall
1,2026/3/23,1,1,安田,Right,7,Right,0,0,0,Fastball,FoulBallNotFieldable,,,
2,2026/3/23,1,2,安田,Right,7,Right,0,0,1,TwoSeamFastball,InPlay,,Single,FlyBall
3,2026/3/23,2,1,安田,Right,8,Right,0,0,0,Fastball,StrikeCalled,138,,
4,2026/3/23,2,2,安田,Right,8,Right,0,0,1,ChangeUp,FoulBallNotFieldable,122,,
5,2026/3/23,2,3,安田,Right,8,Right,0,0,2,Fastball,StrikeCalled,,Strikeout,
6,2026/3/23,3,1,安田,Right,9,Right,1,0,0,Fastball,BallCalled,,,
7,2026/3/23,3,2,安田,Right,9,Right,1,1,0,Fastball,StrikeCalled,,,
8,2026/3/23,3,3,安田,Right,9,Right,1,1,1,ChangeUp,InPlay,120,Sacrifice,GroundBall
9,2026/3/23,4,1,安田,Right,1,Left,2,0,0,Fastball,StrikeCalled,,,
10,2026/3/23,4,2,安田,Right,1,Left,2,0,1,Fastball,BallCalled,,,
11,2026/3/23,4,3,安田,Right,1,Left,2,1,1,TwoSeamFastball,FoulBallFieldable,,,
12,2026/3/23,4,4,安田,Right,1,Left,2,1,2,ChangeUp,StrikeSwinging,,Out,
1,2026/3/23,1,1,山田翔,Left,2,Right,0,0,0,Fastball,FoulBallFieldable,,,
2,2026/3/23,1,2,山田翔,Left,2,Right,0,0,1,Fastball,BallCalled,,,
3,2026/3/23,1,3,山田翔,Left,2,Right,0,0,1,Slider,InPlay,,Single,GroundBall
4,2026/3/23,2,1,山田翔,Left,3,Left,0,0,0,Slider,FoulBallFieldable,127,,
5,2026/3/23,2,2,山田翔,Left,3,Left,0,0,1,Fastball,InPlay,,Sacrifice,GroundBall
6,2026/3/23,3,1,山田翔,Left,4,Right,1,0,0,Slider,BallCalled,116,,
7,2026/3/23,3,2,山田翔,Left,4,Right,1,1,0,Fastball,BallCalled,129,,
8,2026/3/23,3,3,山田翔,Left,4,Right,1,2,0,Fastball,InPlay,131,Out,Popup
9,2026/3/23,4,1,山田翔,Left,5,Right,2,0,0,Fastball,BallCalled,,,
10,2026/3/23,4,2,山田翔,Left,5,Right,2,1,0,Fastball,BallCalled,129,,
11,2026/3/23,4,3,山田翔,Left,5,Right,2,2,0,Slider,BallCalled,121,,
12,2026/3/23,4,4,山田翔,Left,5,Right,2,3,0,Slider,BallCalled,123,Walk,
13,2026/3/23,5,1,山田翔,Left,6,Left,2,0,0,Slider,BallCalled,118,,
14,2026/3/23,5,2,山田翔,Left,6,Left,2,1,0,Slider,StrikeCalled,,,
15,2026/3/23,5,3,山田翔,Left,6,Left,2,1,1,Fastball,BallCalled,130,,
16,2026/3/23,5,4,山田翔,Left,6,Left,2,2,1,Fastball,BallCalled,129,,
17,2026/3/23,5,5,山田翔,Left,6,Left,2,3,1,Slider,StrikeCalled,118,,
18,2026/3/23,5,6,山田翔,Left,6,Left,2,3,2,Slider,FoulBallFieldable,118,,
19,2026/3/23,5,7,山田翔,Left,6,Left,2,3,2,Slider,InPlay,119,Walk,
20,2026/3/23,6,1,山田翔,Left,7,Right,2,0,0,Fastball,InPlay,124,Out,GroundBall
1,2026/3/23,1,1,北澤,Left,中村俊,Left,0,0,0,Curveball,StrikeCalled,108,,
1,2026/3/23,1,1,山田翔,Left,8,Right,0,0,0,Fastball,BallCalled,,,
2,2026/3/23,1,2,山田翔,Left,8,Right,0,1,0,Fastball,InPlay,127,Out,FlyBall
3,2026/3/23,2,1,山田翔,Left,9,Right,1,0,0,Fastball,StrikeCalled,125,,
4,2026/3/23,2,2,山田翔,Left,9,Right,1,0,1,Fastball,InPlay,129,Single,LineDrive
5,2026/3/23,3,1,山田翔,Left,1,Left,1,0,0,Slider,InPlay,117,Out,GroundBall
1,2026/3/23,1,1,小松一,Right,2,Right,0,0,0,Fastball,BallCalled,134,,
2,2026/3/23,1,2,小松一,Right,2,Right,0,1,0,Slider,StrikeCalled,132,,
3,2026/3/23,1,3,小松一,Right,2,Right,0,1,1,Slider,BallCalled,132,,
4,2026/3/23,1,4,小松一,Right,2,Right,0,2,1,Slider,StrikeCalled,132,,
5,2026/3/23,1,5,小松一,Right,2,Right,0,2,2,Slider,BallCalled,133,,
6,2026/3/23,1,6,小松一,Right,2,Right,0,3,2,Slider,FoulBallFieldable,132,,
7,2026/3/23,1,7,小松一,Right,2,Right,0,3,2,Slider,FoulBallFieldable,133,,
8,2026/3/23,1,8,小松一,Right,2,Right,0,3,2,Slider,BallCalled,133,Walk,
9,2026/3/23,2,1,小松一,Right,3,Left,0,0,0,Splitter,InPlay,133,Sacrifice,GroundBall
10,2026/3/23,3,1,小松一,Right,4,Right,1,0,0,Fastball,InPlay,145,HitByPitch,
11,2026/3/23,4,1,小松一,Right,5,Right,1,0,0,Fastball,FoulBallFieldable,145,,
12,2026/3/23,4,2,小松一,Right,5,Right,1,0,1,Fastball,BallCalled,145,,
13,2026/3/23,4,3,小松一,Right,5,Right,1,1,1,Slider,FoulBallFieldable,134,,
14,2026/3/23,4,4,小松一,Right,5,Right,1,1,2,Fastball,InPlay,136,Out,GroundBall
1,2026/3/23,1,1,小松,Right,先村,Left,0,0,0,Slider,BallCalled,132,,
2,2026/3/23,1,2,小松,Right,先村,Left,0,1,0,Slider,StrikeCalled,130,,
3,2026/3/23,1,3,小松,Right,先村,Left,0,1,1,Splitter,Inplay,132,Out,GroundBall
4,2026/3/23,2,1,小松,Right,平山,Right,1,0,0,Fastball,BallCalled,145,,
5,2026/3/23,2,2,小松,Right,平山,Right,1,1,0,Fastball,Inplay,142,Out,FlyBall
6,2026/3/23,3,1,小松,Right,山城,Right,2,0,0,Fastball,StrikeSwinging,144,,
7,2026/3/23,3,2,小松,Right,山城,Right,2,0,1,Fastball,StrikeCalled,143,,
8,2026/3/23,3,3,小松,Right,山城,Right,2,0,2,Fastball,FoulBallFieldable,145,,
9,2026/3/23,3,4,小松,Right,山城,Right,2,0,2,Slider,StrikeSwinging,132,Strikeout,
1,2026/3/23,1,1,佐宗,Left,多久,Right,0,0,0,Fastball,StrikeSwinging,143,,
2,2026/3/23,1,2,佐宗,Left,多久,Right,0,0,1,Fastball,FoulBallNotFieldable,145,,
3,2026/3/23,1,3,佐宗,Left,多久,Right,0,0,2,Fastball,BallCalled,145,,
4,2026/3/23,1,4,佐宗,Left,多久,Right,0,1,2,Slider,BallCalled,131,,
5,2026/3/23,1,5,佐宗,Left,多久,Right,0,2,2,Fastball,Inplay,144,LineDrive,
6,2026/3/23,2,1,佐宗,Left,田中,Left,1,0,0,Fastball,StrikeCalled,144,,
7,2026/3/23,2,2,佐宗,Left,田中,Left,1,0,1,Slider,Inplay,130,Out,GroundBall
8,2026/3/23,3,1,佐宗,Left,荒井,Right,2,0,0,Slider,BallCalled,129,,
9,2026/3/23,3,2,佐宗,Left,荒井,Right,2,1,0,Fastball,FoulBallNotFieldable,144,,
10,2026/3/23,3,3,佐宗,Left,荒井,Right,2,1,1,TwoSeamFastball,BallCalled,139,,
11,2026/3/23,3,4,佐宗,Left,荒井,Right,2,2,1,TwoSeamFastball,BallCalled,138,,
12,2026/3/23,3,5,佐宗,Left,荒井,Right,2,3,1,Fastball,BallCalled,144,Walk,
13,2026/3/23,4,1,佐宗,Left,木村,Left,2,0,0,Slider,BallCalled,127,,
14,2026/3/23,4,2,佐宗,Left,木村,Left,2,1,0,Slider,StrikeCalled,129,,
15,2026/3/23,4,3,佐宗,Left,木村,Left,2,1,1,Slider,BallCalled,130,,
16,2026/3/23,4,4,佐宗,Left,木村,Left,2,0,1,Slider,Inplay,129,Single,GroundBall
1,2026/3/23,1,1,佐宗,Left,福田,Right,0,0,0,Fastball,Inplay,142,Out,Flyball
2,2026/3/23,2,1,佐宗,Left,坂本,Right,1,0,0,Fastball,Inplay,143,Out,Flyball
3,2026/3/23,3,1,佐宗,Left,山田,Right,2,0,0,TwoSeamFastball,StrikeCalled,134,,
4,2026/3/23,3,2,佐宗,Left,山田,Right,2,0,1,TwoSeamFastBall,BallCalled,134,,
5,2026/3/23,3,3,佐宗,Left,山田,Right,2,1,1,TwoSeamFastBall,FoulBallNotFieldable,133,,
6,2026/3/23,3,4,佐宗,Left,山田,Right,2,1,2,Fastball,StrikeSwinging,143,Out,
