PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/9/3,1,1,安田,Right,1,Right,0,0,0,ChangeUp,FoulBallFieldable,109,,
2,2026/9/3,1,2,安田,Right,1,Right,0,0,1,Slider,InPlay,112,Out,FlyBall
3,2026/9/3,2,1,安田,Right,2,Left,1,0,0,Slider,FoulBallFieldable,112,,
4,2026/9/3,2,2,安田,Right,2,Left,1,0,1,TwoSeamFastball,FoulBallFieldable,127,,
5,2026/9/3,2,3,安田,Right,2,Left,1,0,2,Fastball,BallCalled,144,,
6,2026/9/3,2,4,安田,Right,2,Left,1,1,2,TwoSeamFastball,StrikeSwinging,123,Out,
7,2026/9/3,3,1,安田,Right,3,Right,2,0,0,Fastball,BallCalled,136,,
8,2026/9/3,3,2,安田,Right,3,Right,2,1,0,ChangeUp,InPlay,110,Triple,FlyBall
9,2026/9/3,4,1,安田,Right,4,Left,2,0,0,TwoSeamFastball,FoulBallFieldable,127,,
10,2026/9/3,4,2,安田,Right,4,Left,2,0,1,Fastball,BallCalled,143,,
11,2026/9/3,4,3,安田,Right,4,Left,2,1,1,Fastball,StrikeSwinging,141,,
12,2026/9/3,4,4,安田,Right,4,Left,2,1,2,TwoSeamFastball,InPlay,127,Triple,GroundBall
13,2026/9/3,5,1,安田,Right,5,Right,2,0,0,Fastball,BallCalled,-,,
14,2026/9/3,5,2,安田,Right,5,Right,2,1,0,Fastball,BallCalled,133,,
15,2026/9/3,5,3,安田,Right,5,Right,2,2,0,ChangeUp,StrikeSwinging,,,
16,2026/9/3,5,4,安田,Right,5,Right,2,2,1,Fastball,StrikeSwinging,,,
17,2026/9/3,5,5,安田,Right,5,Right,2,2,2,Fastball,BallCalled,141,,
18,2026/9/3,5,6,安田,Right,5,Right,2,3,2,TwoSeamFastball,InPlay,118,Out,GroundBall
19,2026/9/3,1,1,安田,Right,6,Right,0,0,0,Fastball,FoulBallFieldable,140,,
20,2026/9/3,1,2,安田,Right,6,Right,0,0,1,Curveball,BallCalled,99,,
