PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
1,2026/9/5,1,1,髙橋煌,Right,1,Right,0,0,0,Fastball,StrikeSwinging,,,,
2,2026/9/5,1,2,髙橋煌,Right,1,Right,0,0,1,Fastball,StrikeSwinging,,,,
3,2026/9/5,1,3,髙橋煌,Right,1,Right,0,0,2,Fastball,StrikeSwinging,147,Strikeout,,
4,2026/9/5,2,1,髙橋煌,Right,2,Left,1,0,0,Cutter,BallCalled,137,,,
5,2026/9/5,2,2,髙橋煌,Right,2,Left,1,1,0,Cutter,InPlay,129,Single,GroundBall,
6,2026/9/5,3,1,髙橋煌,Right,3,Left,1,0,0,Fastball,BallCalled,146,,,
7,2026/9/5,3,2,髙橋煌,Right,3,Left,1,1,0,Fastball,FoulBallFieldable,144,,,
8,2026/9/5,3,3,髙橋煌,Right,3,Left,1,1,1,Fastball,StrikeSwinging,147,,,
9,2026/9/5,3,4,髙橋煌,Right,3,Left,1,1,2,Fastball,StrikeCalled,142,Strikeout,,
10,2026/9/5,4,1,髙橋煌,Right,4,Right,2,0,0,Cutter,BallCalled,135,,,
11,2026/9/5,4,2,髙橋煌,Right,4,Right,2,1,0,Slider,InPlay,131,HomeRun,FlyBall,
12,2026/9/5,5,1,髙橋煌,Right,5,Right,2,0,0,Fastball,BallCalled,145,,,
13,2026/9/5,5,2,髙橋煌,Right,5,Right,2,1,0,Fastball,BallCalled,144,,,
14,2026/9/5,5,3,髙橋煌,Right,5,Right,2,2,0,Fastball,StrikeCalled,144,,,
15,2026/9/5,5,4,髙橋煌,Right,5,Right,2,2,1,Cutter,StrikeCalled,133,,,
16,2026/9/5,5,5,髙橋煌,Right,5,Right,2,2,2,Curveball,StrikeSwinging,129,,,
17,2026/9/5,5,6,髙橋煌,Right,5,Right,2,2,2,Fastball,FoulBallFieldable,143,,,
18,2026/9/5,5,7,髙橋煌,Right,5,Right,2,2,2,Fastball,FoulBallFieldable,147,,,
19,2026/9/5,5,8,髙橋煌,Right,5,Right,2,2,2,Cutter,BallCalled,133,Walk,,
20,2026/9/5,6,1,髙橋煌,Right,6,Left,2,0,0,Fastball,BallCalled,145,,,
21,2026/9/5,6,2,髙橋煌,Right,6,Left,2,1,0,OneSeam,StrikeSwinging,135,,,
22,2026/9/5,6,3,髙橋煌,Right,6,Left,2,1,1,Cutter,InPlay,136,Out,GroundBall,
23,2026/9/5,1,1,髙橋煌,Right,7,Left,0,0,0,Curveball,BallCalled,112,,,
24,2026/9/5,1,2,髙橋煌,Right,7,Left,0,1,0,Fastball,StrikeCalled,143,,,
25,2026/9/5,1,3,髙橋煌,Right,7,Left,0,1,1,Cutter,FoulBallFieldable,136,,,
26,2026/9/5,1,4,髙橋煌,Right,7,Left,0,1,2,Fastball,FoulBallFieldable,147,,,
27,2026/9/5,1,5,髙橋煌,Right,7,Left,0,1,2,Cutter,FoulBallFieldable,130,,,
28,2026/9/5,1,6,髙橋煌,Right,7,Left,0,1,2,OneSeam,FoulBallFieldable,133,,,
29,2026/9/5,1,7,髙橋煌,Right,7,Left,0,1,2,Fastball,FoulBallFieldable,145,,,
30,2026/9/5,1,8,髙橋煌,Right,7,Left,0,1,2,OneSeam,FoulBallFieldable,135,,,
31,2026/9/5,1,9,髙橋煌,Right,7,Left,0,1,2,Fastball,StrikeCalled,145,Strikeout,,
32,2026/9/5,2,1,髙橋煌,Right,8,Right,1,0,0,Cutter,BallCalled,126,,,
33,2026/9/5,2,2,髙橋煌,Right,8,Right,1,1,0,Fastball,BallCalled,146,,,
34,2026/9/5,2,3,髙橋煌,Right,8,Right,1,2,0,Fastball,BallCalled,141,,,
35,2026/9/5,2,4,髙橋煌,Right,8,Right,1,3,0,Fastball,StrikeCalled,144,,,
36,2026/9/5,2,5,髙橋煌,Right,8,Right,1,3,1,Fastball,StrikeCalled,147,,,
37,2026/9/5,2,6,髙橋煌,Right,8,Right,1,3,2,Fastball,BallCalled,145,Walk,,
38,2026/9/5,3,1,髙橋煌,Right,9,Left,1,0,0,OneSeam,InPlay,134,Error,GroundBall,
39,2026/9/5,4,1,髙橋煌,Right,1,Right,1,0,0,Cutter,BallCalled,128,,,
40,2026/9/5,4,2,髙橋煌,Right,1,Right,1,1,0,Cutter,StrikeSwinging,132,,,
41,2026/9/5,4,3,髙橋煌,Right,1,Right,1,1,1,Cutter,BallCalled,132,,,
42,2026/9/5,4,4,髙橋煌,Right,1,Right,1,2,1,Cutter,FoulBallFieldable,135,,,
43,2026/9/5,4,5,髙橋煌,Right,1,Right,1,2,2,Fastball,StrikeSwinging,144,Strikeout,,
44,2026/9/5,5,1,髙橋煌,Right,2,Left,2,0,0,Fastball,BallCalled,143,,,
45,2026/9/5,5,2,髙橋煌,Right,2,Left,2,1,0,Fastball,StrikeCalled,142,,,
46,2026/9/5,5,3,髙橋煌,Right,2,Left,2,1,1,OneSeam,InPlay,138,Out,GroundBall,
47,2026/9/5,1,1,髙橋煌,Right,3,Left,0,0,0,Cutter,InPlay,131,Out,GroundBall,
48,2026/9/5,2,1,髙橋煌,Right,4,Right,1,0,0,Fastball,BallCalled,145,,,
49,2026/9/5,2,2,髙橋煌,Right,4,Right,1,1,0,Fastball,StrikeCalled,146,,,
50,2026/9/5,2,3,髙橋煌,Right,4,Right,1,1,1,Curveball,FoulBallFieldable,,,,
