PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
1,2026/9/8,1,1,越井,Right,1,Left,0,0,0,Curveball,BallCalled,100,,,
2,2026/9/8,1,2,越井,Right,1,Left,0,1,0,Splitter,StrikeCalled,128,,,
3,2026/9/8,1,3,越井,Right,1,Left,0,1,1,Splitter,BallCalled,122,,,
4,2026/9/8,1,4,越井,Right,1,Left,0,2,1,Fastball,BallCalled,140,,,
5,2026/9/8,1,5,越井,Right,1,Left,0,3,1,Fastball,StrikeCalled,140,,,
6,2026/9/8,1,6,越井,Right,1,Left,0,3,2,Fastball,StrikeCalled,144,,,
7,2026/9/8,1,7,越井,Right,1,Left,0,3,2,Cutter,InPlay,131,Out,FlyBall,
8,2026/9/8,2,1,越井,Right,2,Left,1,0,0,Splitter,StrikeCalled,124,,,
9,2026/9/8,2,2,越井,Right,2,Left,1,0,1,Cutter,BallCalled,127,,,
10,2026/9/8,2,3,越井,Right,2,Left,1,1,1,Fastball,StrikeSwinging,144,,,
11,2026/9/8,2,4,越井,Right,2,Left,1,1,2,Fastball,InPlay,146,Out,GroundBall,
12,2026/9/8,3,1,越井,Right,3,Left,2,0,0,Fastball,StrikeSwinging,144,,,
13,2026/9/8,3,2,越井,Right,3,Left,2,0,1,Slider,BallCalled,121,,,
14,2026/9/8,3,3,越井,Right,3,Left,2,1,1,Splitter,BallCalled,123,,,
15,2026/9/8,3,4,越井,Right,3,Left,2,2,1,Cutter,BallCalled,133,,,
16,2026/9/8,3,5,越井,Right,3,Left,2,3,1,Splitter,FoulBallFieldable,132,,,
17,2026/9/8,3,6,越井,Right,3,Left,2,3,2,Fastball,StrikeSwinging,145,Strikeout,,
18,2026/9/8,1,1,越井,Right,4,Right,0,0,0,Curveball,StrikeCalled,115,,,
19,2026/9/8,1,2,越井,Right,4,Right,0,0,1,Fastball,StrikeSwinging,139,,,
20,2026/9/8,1,3,越井,Right,4,Right,0,0,2,Slider,BallCalled,123,,,
21,2026/9/8,1,4,越井,Right,4,Right,0,1,2,Cutter,InPlay,134,Single,FlyBall,
22,2026/9/8,2,1,越井,Right,5,Left,0,0,0,Fastball,BallCalled,139,,,
23,2026/9/8,2,2,越井,Right,5,Left,0,1,0,Cutter,BallCalled,,,,
24,2026/9/8,2,3,越井,Right,5,Left,0,2,0,Cutter,StrikeCalled,,,,
25,2026/9/8,2,4,越井,Right,5,Left,0,2,1,Splitter,InPlay,120,Out,GroundBall,
26,2026/9/8,3,1,越井,Right,6,Right,1,0,0,Cutter,StrikeCalled,131,,,
27,2026/9/8,3,2,越井,Right,6,Right,1,0,1,Slider,FoulBallFieldable,116,,,
28,2026/9/8,3,3,越井,Right,6,Right,1,0,2,Fastball,BallCalled,140,,,
29,2026/9/8,3,4,越井,Right,6,Right,1,1,2,Cutter,BallCalled,131,,,
30,2026/9/8,3,5,越井,Right,6,Right,1,2,2,Cutter,InPlay,132,Out,LineDrive,
31,2026/9/8,4,1,越井,Right,7,Left,2,0,0,Cutter,BallCalled,,,,
32,2026/9/8,4,2,越井,Right,7,Left,2,1,0,Cutter,StrikeSwinging,130,,,
33,2026/9/8,4,3,越井,Right,7,Left,2,1,1,Splitter,BallCalled,124,,,
34,2026/9/8,4,4,越井,Right,7,Left,2,2,1,Fastball,FoulBallFieldable,,,,
35,2026/9/8,4,5,越井,Right,7,Left,2,2,2,Splitter,BallCalled,,,,
36,2026/9/8,4,6,越井,Right,7,Left,2,3,2,Splitter,BallCalled,131,Walk,,
37,2026/9/8,5,1,越井,Right,8,Left,2,0,0,Splitter,StrikeCalled,124,,,
38,2026/9/8,5,2,越井,Right,8,Left,2,0,1,Splitter,BallCalled,126,,,
39,2026/9/8,5,3,越井,Right,8,Left,2,1,1,Curveball,StrikeCalled,106,,,
40,2026/9/8,5,4,越井,Right,8,Left,2,1,2,Fastball,StrikeSwinging,142,Strikeout,,
41,2026/9/8,1,1,越井,Right,9,Right,0,0,0,Curveball,InPlay,111,Out,FlyBall,
42,2026/9/8,2,1,越井,Right,1,Left,1,0,0,Fastball,FoulBallFieldable,144,,,
43,2026/9/8,2,2,越井,Right,1,Left,1,0,1,Fastball,BallCalled,138,,,
44,2026/9/8,2,3,越井,Right,1,Left,1,1,1,Cutter,BallCalled,125,,,
45,2026/9/8,2,4,越井,Right,1,Left,1,2,1,Fastball,FoulBallFieldable,145,,,
46,2026/9/8,2,5,越井,Right,1,Left,1,2,2,Fastball,FoulBallFieldable,143,,,
47,2026/9/8,2,6,越井,Right,1,Left,1,2,2,Fastball,BallCalled,146,,,
48,2026/9/8,2,7,越井,Right,1,Left,1,3,2,Cutter,FoulBallFieldable,134,,,
49,2026/9/8,2,8,越井,Right,1,Left,1,3,2,Fastball,StrikeSwinging,142,Strikeout,,
50,2026/9/8,3,1,越井,Right,2,Left,2,0,0,Cutter,BallCalled,133,,,
51,2026/9/8,3,2,越井,Right,2,Left,2,1,0,Splitter,BallCalled,120,,,
52,2026/9/8,3,3,越井,Right,2,Left,2,2,0,Fastball,FoulBallFieldable,,,,
53,2026/9/8,3,4,越井,Right,2,Left,2,2,1,Cutter,BallCalled,136,,,
54,2026/9/8,3,5,越井,Right,2,Left,2,3,1,Cutter,StrikeCalled,131,,,
55,2026/9/8,3,6,越井,Right,2,Left,2,3,2,Splitter,StrikeSwinging,135,Strikeout,,
56,2026/9/8,1,1,越井,Right,3,Left,0,0,0,Curveball,BallCalled,114,,,
57,2026/9/8,1,2,越井,Right,3,Left,0,1,0,Fastball,StrikeCalled,144,,,
58,2026/9/8,1,3,越井,Right,3,Left,0,1,1,Splitter,BallCalled,124,,,
59,2026/9/8,1,4,越井,Right,3,Left,0,2,1,Cutter,StrikeCalled,133,,,
60,2026/9/8,1,5,越井,Right,3,Left,0,2,2,Fastball,BallCalled,144,,,
61,2026/9/8,1,6,越井,Right,3,Left,0,3,2,Fastball,StrikeSwinging,144,Strikeout,,
62,2026/9/8,2,1,越井,Right,4,Right,1,0,0,Fastball,StrikeCalled,145,,,
63,2026/9/8,2,2,越井,Right,4,Right,1,0,1,Fastball,BallCalled,144,,,
64,2026/9/8,2,3,越井,Right,4,Right,1,1,1,Slider,InPlay,121,Out,GroundBall,
65,2026/9/8,3,1,越井,Right,5,Left,2,0,0,Splitter,BallCalled,123,,,
66,2026/9/8,3,2,越井,Right,5,Left,2,1,0,Curveball,BallCalled,101,,,
67,2026/9/8,3,3,越井,Right,5,Left,2,2,0,Splitter,FoulBallFieldable,,,,
68,2026/9/8,3,4,越井,Right,5,Left,2,2,1,Curveball,FoulBallFieldable,118,,,
69,2026/9/8,3,5,越井,Right,5,Left,2,2,2,Fastball,InPlay,144,Out,FlyBall,
70,2026/9/8,1,1,越井,Right,6,Right,0,0,0,Curveball,BallCalled,109,,,
71,2026/9/8,1,2,越井,Right,6,Right,0,1,0,Fastball,BallCalled,138,,,
72,2026/9/8,1,3,越井,Right,6,Right,0,2,0,Cutter,StrikeCalled,125,,,
73,2026/9/8,1,4,越井,Right,6,Right,0,2,1,Curveball,FoulBallFieldable,114,,,
74,2026/9/8,1,5,越井,Right,6,Right,0,2,2,Cutter,BallCalled,131,,,
75,2026/9/8,1,6,越井,Right,6,Right,0,3,2,Cutter,InPlay,132,Out,FlyBall,
76,2026/9/8,2,1,越井,Right,7,Left,1,0,0,Fastball,StrikeSwinging,142,,,
77,2026/9/8,2,2,越井,Right,7,Left,1,0,1,Curveball,BallCalled,,,,
78,2026/9/8,2,3,越井,Right,7,Left,1,1,1,Fastball,FoulBallFieldable,,,,
79,2026/9/8,2,4,越井,Right,7,Left,1,1,2,Fastball,FoulBallFieldable,144,,,
80,2026/9/8,2,5,越井,Right,7,Left,1,1,2,Fastball,BallCalled,138,,,
81,2026/9/8,2,6,越井,Right,7,Left,1,2,2,Fastball,FoulBallFieldable,144,,,
82,2026/9/8,2,7,越井,Right,7,Left,1,2,2,Cutter,BallCalled,133,,,
83,2026/9/8,2,8,越井,Right,7,Left,1,3,2,Fastball,InPlay,146,Out,FlyBall,
84,2026/9/8,3,1,越井,Right,8,Right,2,0,0,Slider,BallCalled,121,,,
85,2026/9/8,3,2,越井,Right,8,Right,2,1,0,Fastball,BallCalled,137,,,
86,2026/9/8,3,3,越井,Right,8,Right,2,2,0,Fastball,InPlay,143,Out,FlyBall,
1,2026/9/8,1,1,香西,Left,9,Right,0,0,0,Slider,StrikeSwinging,,,,
2,2026/9/8,1,2,香西,Left,9,Right,0,0,1,Splitter,BallCalled,121,,,
3,2026/9/8,1,3,香西,Left,9,Right,0,1,1,Splitter,BallCalled,124,,,k
4,2026/9/8,1,4,香西,Left,9,Right,0,2,1,Fastball,StrikeCalled,133,,,
5,2026/9/8,1,5,香西,Left,9,Right,0,2,2,Fastball,BallCalled,134,,,
6,2026/9/8,1,6,香西,Left,9,Right,0,3,2,Splitter,FoulBallFieldable,123,,,
7,2026/9/8,1,7,香西,Left,9,Right,0,3,2,Fastball,BallCalled,134,Walk,,
8,2026/9/8,2,1,香西,Left,1,Left,0,0,0,Cutter,InPlay,127,Sacrifice,Bunt,
9,2026/9/8,3,1,香西,Left,2,Left,1,0,0,Slider,BallCalled,120,,,
10,2026/9/8,3,2,香西,Left,2,Left,1,1,0,Splitter,BallCalled,126,,,
11,2026/9/8,3,3,香西,Left,2,Left,1,2,0,Fastball,StrikeCalled,,,,
12,2026/9/8,3,4,香西,Left,2,Left,1,2,1,Fastball,StrikeCalled,130,,,
13,2026/9/8,3,5,香西,Left,2,Left,1,2,2,Cutter,InPlay,127,Out,GroundBall,
14,2026/9/8,4,1,香西,Left,3,Left,2,0,0,Fastball,BallCalled,136,,,
15,2026/9/8,4,2,香西,Left,3,Left,2,1,0,Fastball,BallCalled,134,,,
16,2026/9/8,4,3,香西,Left,3,Left,2,2,0,Cutter,StrikeCalled,126,,,
17,2026/9/8,4,4,香西,Left,3,Left,2,2,1,Fastball,BallCalled,134,,,
18,2026/9/8,4,5,香西,Left,3,Left,2,3,1,Fastball,BallCalled,134,Walk,,
19,2026/9/8,5,1,香西,Left,4,Right,2,0,0,Fastball,BallCalled,133,,,
20,2026/9/8,5,2,香西,Left,4,Right,2,1,0,Splitter,BallCalled,119,,,
21,2026/9/8,5,3,香西,Left,4,Right,2,2,0,Cutter,StrikeSwinging,127,,,
22,2026/9/8,5,4,香西,Left,4,Right,2,2,1,Fastball,BallCalled,134,,,
23,2026/9/8,5,5,香西,Left,4,Right,2,3,1,Cutter,BallCalled,127,Walk,,
24,2026/9/8,6,1,香西,Left,5,Right,2,0,0,Splitter,BallCalled,121,,,
25,2026/9/8,6,2,香西,Left,5,Right,2,1,0,Cutter,InPlay,125,Out,FlyBall,
1,2026/9/8,1,1,小松一,Right,6,Right,0,0,0,Fastball,InPlay,136,Out,FlyBall,
2,2026/9/8,2,1,小松一,Right,7,Left,1,0,0,Slider,FoulBallFieldable,134,,,
3,2026/9/8,2,2,小松一,Right,7,Left,1,0,1,Slider,BallCalled,134,,,
4,2026/9/8,2,3,小松一,Right,7,Left,1,1,1,Splitter,StrikeSwinging,134,,,
5,2026/9/8,2,4,小松一,Right,7,Left,1,1,2,Fastball,BallCalled,147,,,
6,2026/9/8,2,5,小松一,Right,7,Left,1,2,2,Slider,InPlay,134,Out,GroundBall,
7,2026/9/8,3,1,小松一,Right,8,Left,2,0,0,Slider,StrikeCalled,136,,,
8,2026/9/8,3,2,小松一,Right,8,Left,2,0,1,Fastball,FoulBallFieldable,145,,,
9,2026/9/8,3,3,小松一,Right,8,Left,2,0,2,Slider,BallCalled,132,,,
10,2026/9/8,3,4,小松一,Right,8,Left,2,1,2,Splitter,BallCalled,137,,,
11,2026/9/8,3,5,小松一,Right,8,Left,2,2,2,Slider,StrikeSwinging,136,Strikeout,,
1,2026/9/8,1,1,岡村,Right,9,Right,0,0,0,Fastball,FoulBallFieldable,,,,
2,2026/9/8,1,2,岡村,Right,9,Right,0,0,1,Fastball,BallCalled,139,,,
3,2026/9/8,1,3,岡村,Right,9,Right,0,1,1,Cutter,StrikeSwinging,127,,,
4,2026/9/8,1,4,岡村,Right,9,Right,0,1,2,Cutter,InPlay,127,Single,GroundBall,
5,2026/9/8,2,1,岡村,Right,1,Left,0,0,0,ChangeUp,StrikeCalled,129,,,
6,2026/9/8,2,2,岡村,Right,1,Left,0,0,1,ChangeUp,BallCalled,129,,,
7,2026/9/8,2,3,岡村,Right,1,Left,0,1,1,Fastball,BallCalled,140,,,
8,2026/9/8,2,4,岡村,Right,1,Left,0,2,1,Fastball,StrikeCalled,139,,,
9,2026/9/8,2,5,岡村,Right,1,Left,0,2,2,Cutter,BallCalled,129,Walk,,
10,2026/9/8,3,1,岡村,Right,2,Left,0,0,0,Fastball,BallCalled,139,,,
11,2026/9/8,3,2,岡村,Right,2,Left,0,1,0,ChangeUp,StrikeCalled,131,,,
12,2026/9/8,3,3,岡村,Right,2,Left,0,1,1,Fastball,BallCalled,139,,,
13,2026/9/8,3,4,岡村,Right,2,Left,0,2,1,ChangeUp,StrikeCalled,129,,,
14,2026/9/8,3,5,岡村,Right,2,Left,0,2,2,ChangeUp,BallCalled,129,,,
15,2026/9/8,3,6,岡村,Right,2,Left,0,3,2,Fastball,FoulBallFieldable,,,,
16,2026/9/8,3,7,岡村,Right,2,Left,0,3,2,ChangeUp,BallCalled,127,Walk,,
17,2026/9/8,4,1,岡村,Right,3,Left,0,0,0,ChangeUp,BallCalled,127,,,
18,2026/9/8,4,2,岡村,Right,3,Left,0,1,0,ChangeUp,BallCalled,128,,,
19,2026/9/8,4,3,岡村,Right,3,Left,0,2,0,ChangeUp,FoulBallFieldable,124,,,
20,2026/9/8,4,4,岡村,Right,3,Left,0,2,1,ChangeUp,BallCalled,126,,,
21,2026/9/8,4,5,岡村,Right,3,Left,0,3,1,Fastball,StrikeCalled,138,,,
22,2026/9/8,4,6,岡村,Right,3,Left,0,3,2,Cutter,InPlay,,Single,LineDrive,
23,2026/9/8,5,1,岡村,Right,4,Right,0,0,0,Cutter,FoulBallFieldable,139,,,
24,2026/9/8,5,2,岡村,Right,4,Right,0,0,1,Cutter,BallCalled,127,,,
25,2026/9/8,5,3,岡村,Right,4,Right,0,1,1,Fastball,BallCalled,140,,,
26,2026/9/8,5,4,岡村,Right,4,Right,0,2,1,ChangeUp,FoulBallFieldable,127,,,
27,2026/9/8,5,5,岡村,Right,4,Right,0,2,2,ChangeUp,FoulBallFieldable,126,,,
28,2026/9/8,5,6,岡村,Right,4,Right,0,2,2,Fastball,BallCalled,140,HitByPitch,,
29,2026/9/8,6,1,岡村,Right,5,Left,0,0,0,ChangeUp,BallCalled,125,,,
30,2026/9/8,6,2,岡村,Right,5,Left,0,1,0,Cutter,StrikeCalled,130,,,
31,2026/9/8,6,3,岡村,Right,5,Left,0,1,1,ChangeUp,InPlay,119,Double,LineDrive,
1,2026/9/8,1,1,安田,Right,6,Right,0,0,0,TwoSeamFastball,StrikeCalled,125,,,
2,2026/9/8,1,2,安田,Right,6,Right,0,0,1,TwoSeamFastball,BallCalled,124,,,
